config,dipole_l,dipole_m,dipole_h,muL
100,2.5059,2.7695,3.0432,2.708079535777657
101,2.3598,2.5631,2.7735,2.452882044976663
102,2.5023,2.7888,3.0973,2.7281710041855987
103,2.4883,2.755,3.0367,2.6848422102995344
104,2.5747,2.878,3.1944,2.865927739080791
105,2.5516,2.8372,3.1293,2.804577680201393
106,2.5693,2.8519,3.1497,2.8269965135788095
107,2.7191,3.0628,3.4146,3.182784091042137
108,2.4572,2.7012,2.9475,2.6185287235250705
109,2.4246,2.6684,2.9265,2.5700779387181427
10,2.5566,2.8598,3.1786,2.8367619275620806
110,2.4478,2.699,2.9538,2.611664357736295
111,2.3639,2.5854,2.8142,2.469923469283431
112,1.9966,2.0553,2.1157,1.9910836761397188
113,2.8373,3.2468,3.6822,3.630530718676474
114,2.4714,2.7233,2.9842,2.645454137200764
115,2.7352,3.0897,3.4584,3.2402879276279704
116,2.4263,2.6508,2.8853,2.5571094032623054
117,2.6021,2.9195,3.2487,2.9331489835221016
118,2.3274,2.5219,2.7234,2.405270706851784
119,2.5663,2.8451,3.1334,2.8175083952578106
11,2.3447,2.5704,2.8074,2.445644787716708
120,2.2045,2.3571,2.5154,2.234295864912993
121,2.1227,2.2284,2.3348,2.130361624372385
122,2.3311,2.5295,2.7358,2.4120618346374587
123,2.4313,2.6778,2.9343,2.5826953115166664
124,2.4819,2.7281,2.9848,2.65456781580276
125,2.4107,2.6335,2.861,2.535264806509134
126,2.4932,2.7698,3.0577,2.7038652646793766
127,2.7215,3.0663,3.4225,3.190896903137004
128,2.4508,2.7074,2.9765,2.6196970767078165
129,2.4656,2.7448,3.0381,2.664604334999564
12,2.501,2.8022,3.1159,2.7458333351192836
130,2.2868,2.4775,2.6736,2.350834633387282
131,2.4949,2.7768,3.0684,2.712853369526477
132,2.36,2.5783,2.805,2.4623450426938924
133,2.2285,2.3823,2.5382,2.2643871696076388
134,2.238,2.3892,2.5414,2.27537982453221
135,2.62,2.9485,3.288,2.982588441224284
136,2.3511,2.5576,2.7714,2.443233895370029
137,2.6861,3.0304,3.3902,3.1292092909960894
138,2.2842,2.4731,2.6682,2.346566433811502
139,2.5704,2.8748,3.1958,2.8606190422428956
13,2.6117,2.9439,3.2999,2.9765631649994653
140,2.3002,2.5022,2.7161,2.372599885560186
141,2.6546,2.9777,3.3218,3.0317824987146245
142,2.4582,2.7438,3.0449,2.660077430990875
143,2.3788,2.5917,2.8121,2.48435628030715
144,2.5057,2.8103,3.129,2.757569015446315
145,2.4696,2.7434,3.0357,2.664119577348716
146,2.3651,2.5744,2.7866,2.464382927410134
147,2.4987,2.7613,3.0344,2.6962983130663867
148,2.1405,2.2458,2.3506,2.15081621524493
149,2.4435,2.6591,2.8787,2.5742815935255323
14,2.4044,2.6321,2.8683,2.5297217439036626
150,2.191,2.3452,2.5094,2.2177530325230594
151,2.4901,2.7826,3.0956,2.7167431469879983
152,2.5166,2.8006,3.092,2.7488112547549672
153,2.4253,2.6721,2.9281,2.5745319434489984
154,2.6396,2.9962,3.3618,3.0723226659782417
155,2.2603,2.4558,2.6592,2.317981945098777
156,2.5016,2.7744,3.0598,2.7119306434733543
157,2.3014,2.5099,2.7294,2.3775047148354287
158,2.3688,2.6019,2.8426,2.484483843685978
159,2.2103,2.3899,2.5823,2.24773819408377
15,2.2521,2.4193,2.5883,2.297907754366236
160,2.4867,2.7336,2.985,2.663012402143808
161,2.5739,2.8803,3.1942,2.869577631926815
162,2.2149,2.3612,2.5101,2.2456972080441573
163,2.53,2.7923,3.0609,2.7424905108495676
164,2.3853,2.5836,2.7878,2.48356340610567
165,2.4383,2.6864,2.9506,2.593112981026954
166,2.1396,2.2564,2.3744,2.150942420400996
167,2.4372,2.6752,2.9254,2.5832290244873795
168,2.5802,2.8681,3.1633,2.851751633890113
169,2.5624,2.8513,3.1461,2.825798811828171
16,2.4072,2.6305,2.8644,2.529857039904139
170,2.5154,2.7834,3.0553,2.7279870928258374
171,2.3105,2.5105,2.7248,2.3848144839731216
172,2.5818,2.8838,3.1948,2.8753331932003867
173,2.5005,2.7678,3.0418,2.7047480140697235
174,2.4921,2.7855,3.0939,2.721697359725926
175,2.3008,2.4719,2.6474,2.3602383571001186
176,2.668,3.0077,3.3643,3.087888908697287
177,2.6101,2.9397,3.2863,2.9684287692883244
