config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.5796,2.8767,3.1803,2.8644619629791674,2,2,4
2,2.375,2.5771,2.784,2.472630086716077,1,2,3
3,2.3787,2.5887,2.8056,2.482379339813916,1,1,2
4,2.3282,2.5242,2.7308,2.406543931207241,2,0,2
5,2.5292,2.8204,3.1261,2.776791860987692,2,2,4
6,2.4686,2.7154,2.9724,2.636205624118543,1,0,1
7,2.1769,2.3148,2.4564,2.19793885157095,2,3,5
8,2.287,2.468,2.6571,2.3465047236627066,1,1,2
9,2.5778,2.8859,3.211,2.8782836305727164,2,0,2
10,2.5566,2.8598,3.1786,2.836761927562081,1,1,2
11,2.3447,2.5704,2.8074,2.445644787716708,2,1,3
12,2.501,2.8022,3.1159,2.745833335119284,0,2,2
13,2.6117,2.9439,3.2999,2.9765631649994653,1,1,2
14,2.4044,2.6321,2.8683,2.5297217439036626,2,1,3
15,2.2521,2.4193,2.5883,2.297907754366236,2,1,3
16,2.4072,2.6305,2.8644,2.529857039904139,2,1,3
17,2.427,2.67,2.9203,2.573981465513316,1,1,2
18,2.8546,3.2339,3.6257,3.53325085202211,0,1,1
19,2.5374,2.8334,3.1437,2.7961379452812567,1,1,2
20,2.4376,2.6948,2.9616,2.6015503508069,3,2,5
21,2.3388,2.5572,2.7833,2.433749145345671,2,2,4
22,2.6138,2.9445,3.2913,2.976663919011548,2,1,3
23,2.5005,2.7485,3.0078,2.682938177011795,1,2,3
24,2.4452,2.6941,2.9511,2.605054653052512,1,3,4
25,2.4703,2.7259,2.9856,2.648336949539408,2,2,4
26,2.3207,2.5116,2.7077,2.3949602311252303,1,1,2
27,2.5329,2.7974,3.064,2.7498560472042817,2,1,3
28,2.5454,2.8061,3.0758,2.7628746907725934,2,2,4
29,2.5016,2.7503,3.0008,2.686559611791683,1,1,2
30,2.1824,2.3143,2.4503,2.203337660150982,2,2,4
31,2.697,3.0416,3.3949,3.146706675803121,2,1,3
32,2.4977,2.7707,3.0544,2.706562705572813,1,0,1
33,2.5285,2.8116,3.1034,2.7657152855521603,0,1,1
34,2.5235,2.7962,3.0761,2.745298280488307,2,2,4
35,2.3921,2.6271,2.8693,2.5184222310487643,1,1,2
36,2.456,2.7198,2.9966,2.6343165177689265,1,1,2
37,2.4095,2.6513,2.9016,2.547995592076502,1,2,3
38,2.6878,3.0443,3.4205,3.16200371789622,1,1,2
39,2.5372,2.8251,3.1209,2.785416998658953,2,1,3
40,2.3016,2.4801,2.6638,2.364441905114138,1,1,2
41,2.1913,2.3435,2.5033,2.217898644853032,1,3,4
42,2.4896,2.7561,3.0341,2.6870448194084227,2,1,3
43,2.1373,2.2761,2.4269,2.1501919345059664,0,1,1
44,2.5816,2.8774,3.186,2.8654527581928546,2,2,4
45,2.5988,2.8973,3.2041,2.896771805777887,2,1,3
46,2.5074,2.7641,3.0224,2.703635845771344,2,1,3
47,2.7897,3.1791,3.59,3.4510314188997997,1,1,2
48,2.1689,2.3056,2.4519,2.187724052204798,1,2,3
49,2.3532,2.5486,2.7459,2.440312133570087,1,2,3
50,2.1351,2.2448,2.356,2.1449466222319797,1,2,3
51,2.4225,2.6599,2.9076,2.562374572638169,1,2,3
52,2.4741,2.7395,3.0141,2.663259513449983,1,1,2
53,2.1795,2.3153,2.4533,2.20077523031103,1,1,2
54,2.3641,2.5962,2.8369,2.4770849381332503,1,1,2
55,2.0949,2.1855,2.2733,2.098410375324937,2,2,4
56,2.4785,2.7444,3.0224,2.66986545536546,1,2,3
57,2.5275,2.8198,3.1301,2.775258594293325,2,0,2
58,2.4851,2.7709,3.0722,2.7016549740646303,2,1,3
59,2.5978,2.9185,3.2535,2.931813410327717,1,0,1
60,2.599,2.9174,3.2535,2.929956415065797,1,2,3
61,2.2176,2.3688,2.5229,2.250234943859115,2,3,5
62,2.3019,2.4911,2.6866,2.3695891281925854,1,2,3
63,2.4967,2.7497,3.0039,2.6841939769086003,2,1,3
64,2.2572,2.441,2.6337,2.30938661578925,1,1,2
65,2.7435,3.1289,3.5332,3.344399826933307,1,1,2
66,2.2676,2.4442,2.6247,2.3206009792350755,1,1,2
67,2.1821,2.3268,2.4804,2.205068633886217,0,0,0
68,2.4525,2.7042,2.9616,2.6185560282482814,1,1,2
69,2.4758,2.7297,2.9958,2.653347925031245,1,1,2
70,2.3088,2.4985,2.6946,2.3787469414861944,2,1,3
71,2.6241,2.951,3.2901,2.986620407466713,1,1,2
72,2.3648,2.5473,2.7313,2.447857314762006,0,0,0
73,2.4519,2.6921,2.9417,2.6063697752251103,2,1,3
74,2.2077,2.3759,2.5537,2.24177081551143,2,2,4
75,2.3446,2.54,2.7451,2.4278057967568367,1,0,1
76,2.1081,2.2224,2.3502,2.1137855434254824,2,2,4
77,2.425,2.6481,2.8792,2.5545317087647152,2,2,4
78,2.4054,2.6776,2.965,2.5668484992252525,1,1,2
79,2.5228,2.8008,3.0875,2.7506064400832817,1,1,2
80,2.4535,2.7143,2.9847,2.6282039839088926,2,2,4
81,2.481,2.7267,2.9789,2.6533741639415127,1,0,1
82,2.5962,2.8908,3.1951,2.886599886876703,2,2,4
83,2.356,2.5642,2.7762,2.4513794055335474,2,1,3
84,2.4432,2.7083,2.9841,2.617103106192449,1,1,2
85,2.7689,3.149,3.5509,3.380353981741019,2,2,4
86,2.4092,2.6568,2.9173,2.551582573225192,2,0,2
87,2.5539,2.8355,3.1291,2.802249416828117,2,1,3
88,2.4794,2.732,2.9907,2.658135242704529,1,1,2
89,2.2394,2.4055,2.5756,2.281391674916805,2,2,4
90,2.4035,2.6243,2.8541,2.5231835482809943,2,1,3
91,2.5061,2.7895,3.0921,2.7305754909149487,1,1,2
92,2.39,2.5897,2.7952,2.4906949018583804,0,2,2
93,2.4867,2.763,3.0492,2.693908146263821,0,1,1
94,2.2048,2.3406,2.4776,2.231100725492231,2,1,3
95,2.5977,2.9168,3.2456,2.9287525503836487,2,1,3
96,2.2645,2.4268,2.5935,2.311312762607474,1,0,1
97,2.3849,2.6183,2.8591,2.5071507611457355,2,0,2
98,2.4172,2.6556,2.9055,2.5555513850454643,0,1,1
99,2.4195,2.6502,2.8846,2.553793339049794,2,3,5
100,2.5059,2.7695,3.0432,2.708079535777657,0,0,0
101,2.3598,2.5631,2.7735,2.452882044976663,2,1,3
102,2.5023,2.7888,3.0973,2.7281710041855987,2,2,4
103,2.4883,2.755,3.0367,2.6848422102995344,1,1,2
104,2.5747,2.878,3.1944,2.865927739080791,2,2,4
105,2.5516,2.8372,3.1293,2.804577680201393,1,1,2
106,2.5693,2.8519,3.1497,2.826996513578809,1,2,3
107,2.7191,3.0628,3.4146,3.182784091042137,1,2,3
108,2.4572,2.7012,2.9475,2.6185287235250705,1,2,3
109,2.4246,2.6684,2.9265,2.5700779387181427,2,1,3
110,2.4478,2.699,2.9538,2.611664357736295,1,1,2
111,2.3639,2.5854,2.8142,2.469923469283431,1,1,2
112,1.9966,2.0553,2.1157,1.9910836761397188,2,1,3
113,2.8373,3.2468,3.6822,3.630530718676474,1,3,4
114,2.4714,2.7233,2.9842,2.645454137200764,1,0,1
115,2.7352,3.0897,3.4584,3.2402879276279704,1,1,2
116,2.4263,2.6508,2.8853,2.5571094032623054,0,2,2
117,2.6021,2.9195,3.2487,2.9331489835221016,1,1,2
118,2.3274,2.5219,2.7234,2.405270706851784,1,2,3
119,2.5663,2.8451,3.1334,2.8175083952578106,2,2,4
120,2.2045,2.3571,2.5154,2.234295864912993,1,2,3
121,2.1227,2.2284,2.3348,2.130361624372385,1,1,2
122,2.3311,2.5295,2.7358,2.4120618346374587,0,0,0
123,2.4313,2.6778,2.9343,2.5826953115166664,1,2,3
124,2.4819,2.7281,2.9848,2.65456781580276,2,1,3
125,2.4107,2.6335,2.861,2.535264806509134,0,2,2
126,2.4932,2.7698,3.0577,2.7038652646793766,2,1,3
127,2.7215,3.0663,3.4225,3.190896903137004,2,3,5
128,2.4508,2.7074,2.9765,2.6196970767078165,1,1,2
129,2.4656,2.7448,3.0381,2.664604334999564,2,3,5
130,2.2868,2.4775,2.6736,2.350834633387282,2,2,4
131,2.4949,2.7768,3.0684,2.712853369526477,1,1,2
132,2.36,2.5783,2.805,2.4623450426938924,2,1,3
133,2.2285,2.3823,2.5382,2.2643871696076388,0,1,1
134,2.238,2.3892,2.5414,2.27537982453221,1,2,3
135,2.62,2.9485,3.288,2.982588441224284,1,1,2
136,2.3511,2.5576,2.7714,2.443233895370029,2,3,5
137,2.6861,3.0304,3.3902,3.1292092909960894,1,2,3
138,2.2842,2.4731,2.6682,2.346566433811502,1,1,2
139,2.5704,2.8748,3.1958,2.860619042242896,1,1,2
140,2.3002,2.5022,2.7161,2.372599885560186,1,1,2
141,2.6546,2.9777,3.3218,3.0317824987146245,2,1,3
142,2.4582,2.7438,3.0449,2.660077430990875,2,1,3
143,2.3788,2.5917,2.8121,2.48435628030715,2,3,5
144,2.5057,2.8103,3.129,2.757569015446315,1,1,2
145,2.4696,2.7434,3.0357,2.664119577348716,1,1,2
146,2.3651,2.5744,2.7866,2.464382927410134,1,1,2
147,2.4987,2.7613,3.0344,2.6962983130663867,1,1,2
148,2.1405,2.2458,2.3506,2.15081621524493,1,1,2
149,2.4435,2.6591,2.8787,2.5742815935255323,2,0,2
150,2.191,2.3452,2.5094,2.2177530325230594,0,2,2
151,2.4901,2.7826,3.0956,2.7167431469879983,0,0,0
152,2.5166,2.8006,3.092,2.7488112547549672,2,1,3
153,2.4253,2.6721,2.9281,2.5745319434489984,1,1,2
154,2.6396,2.9962,3.3618,3.0723226659782417,2,1,3
155,2.2603,2.4558,2.6592,2.317981945098777,1,1,2
156,2.5016,2.7744,3.0598,2.7119306434733543,2,0,2
157,2.3014,2.5099,2.7294,2.3775047148354287,1,1,2
158,2.3688,2.6019,2.8426,2.484483843685978,2,2,4
159,2.2103,2.3899,2.5823,2.24773819408377,1,2,3
160,2.4867,2.7336,2.985,2.663012402143808,0,0,0
161,2.5739,2.8803,3.1942,2.869577631926815,1,3,4
162,2.2149,2.3612,2.5101,2.2456972080441573,2,1,3
163,2.53,2.7923,3.0609,2.742490510849568,0,2,2
164,2.3853,2.5836,2.7878,2.48356340610567,0,0,0
165,2.4383,2.6864,2.9506,2.593112981026954,1,1,2
166,2.1396,2.2564,2.3744,2.150942420400996,1,2,3
167,2.4372,2.6752,2.9254,2.5832290244873795,2,0,2
168,2.5802,2.8681,3.1633,2.851751633890113,2,0,2
169,2.5624,2.8513,3.1461,2.825798811828171,1,0,1
170,2.5154,2.7834,3.0553,2.7279870928258374,2,0,2
171,2.3105,2.5105,2.7248,2.3848144839731216,1,2,3
172,2.5818,2.8838,3.1948,2.8753331932003867,2,3,5
173,2.5005,2.7678,3.0418,2.7047480140697235,2,1,3
174,2.4921,2.7855,3.0939,2.721697359725926,1,1,2
175,2.3008,2.4719,2.6474,2.360238357100118,1,0,1
176,2.668,3.0077,3.3643,3.087888908697287,1,1,2
177,2.6101,2.9397,3.2863,2.9684287692883244,2,1,3
178,2.7434,3.1135,3.5044,3.301079730266648,2,1,3
179,2.4623,2.7163,2.9784,2.634540950910793,2,2,4
180,2.3216,2.5035,2.6872,2.3921097887349654,2,1,3
181,2.4438,2.6888,2.9403,2.599739902923765,1,2,3
182,2.3664,2.5748,2.7845,2.465814136853164,2,1,3
183,2.2432,2.4174,2.5999,2.2882823948941606,2,1,3
184,2.2571,2.4304,2.608,2.30602601924374,1,1,2
185,2.395,2.6399,2.8969,2.5292970991890966,1,1,2
186,2.4641,2.7181,2.9826,2.636769165621547,2,1,3
187,2.5865,2.8967,3.219,2.895762727639542,0,1,1
188,2.4127,2.661,2.9201,2.557537237978266,1,0,1
189,2.1251,2.24,2.3587,2.133795858746568,1,2,3
190,2.4757,2.7552,3.0509,2.679957507565204,2,1,3
191,2.6297,2.9362,3.2509,2.959034205039421,1,1,2
192,2.5577,2.8394,3.1278,2.808584320964889,1,1,2
193,2.5892,2.8807,3.1863,2.8708356019051817,2,1,3
194,2.2073,2.3688,2.5377,2.2397799028141514,2,1,3
195,2.5592,2.8598,3.1708,2.837350245428573,2,1,3
196,2.7118,3.0627,3.4336,3.192000353539208,0,1,1
197,2.527,2.797,3.0729,2.7473773594835262,1,1,2
198,2.1344,2.2435,2.3529,2.144134901052804,1,1,2
199,2.4663,2.7304,3.0042,2.6503186470320577,2,2,4
200,2.65,2.9839,3.3286,3.043663641960979,2,2,4
