config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.2387,2.421,2.6114,2.285281929680505,1,1,2
2,2.0714,2.1634,2.2584,2.0715527682271477,1,3,4
3,2.2008,2.3368,2.4745,2.226317965784696,1,1,2
4,2.0982,2.209,2.325,2.1024198889067933,1,3,4
5,2.3043,2.4949,2.6925,2.3732539088924085,1,1,2
6,2.2211,2.3895,2.566,2.258739446824752,2,2,4
7,2.4036,2.6442,2.8938,2.5386068461481544,1,2,3
8,2.3419,2.5479,2.7671,2.4297317628983963,0,1,1
9,2.3796,2.6037,2.8377,2.4927235632336524,0,0,0
10,2.5513,2.8611,3.189,2.8379366769270624,2,0,2
11,2.429,2.663,2.9032,2.569313824916721,2,1,3
12,2.3515,2.5545,2.7693,2.4409390789103718,1,1,2
13,2.2938,2.4756,2.6652,2.3555848369776955,2,2,4
14,2.7279,3.0854,3.4622,3.2374139458226083,1,1,2
15,2.3393,2.5374,2.7428,2.4227632054099195,2,2,4
16,2.3411,2.5532,2.7736,2.433023590687015,1,1,2
17,2.6142,2.9059,3.2071,2.9101859211266685,1,0,1
18,2.7303,3.0636,3.4078,3.1791560421664284,0,1,1
19,2.5333,2.8333,3.1484,2.7951292583680885,2,2,4
20,2.0746,2.1598,2.2455,2.0751081470316706,1,1,2
21,2.6202,2.9383,3.2702,2.9642676302175817,2,1,3
22,2.3787,2.609,2.8489,2.4959122620240746,2,3,5
23,2.1975,2.3579,2.5324,2.226752687998553,1,1,2
24,2.3182,2.4967,2.6777,2.3859869391804795,0,1,1
25,2.6037,2.888,3.1753,2.882615927904137,2,1,3
26,2.361,2.582,2.8097,2.4657415574928176,1,1,2
27,2.5727,2.8643,3.1614,2.845611496468522,1,1,2
28,2.3725,2.5879,2.8088,2.4778696048926245,1,0,1
29,2.2479,2.3968,2.5462,2.286810065936927,1,1,2
30,2.3843,2.5906,2.7956,2.488384324664906,0,0,0
31,2.248,2.4058,2.5694,2.2891731278337586,0,1,1
32,2.4617,2.7005,2.9444,2.619574601724748,2,1,3
33,2.3472,2.5691,2.8098,2.445436749562415,2,2,4
34,2.4563,2.6878,2.924,2.605400645150396,1,1,2
35,1.7653,1.7296,1.6921,1.778491410747784,0,2,2
36,2.3157,2.4857,2.6534,2.3790752070906898,0,0,0
37,2.2674,2.4428,2.6251,2.3194875802003683,2,1,3
38,2.5489,2.8425,3.1459,2.8111784630039303,1,0,1
39,2.4365,2.6632,2.8913,2.574374319708494,1,2,3
40,2.2259,2.3774,2.5352,2.260093907310217,0,1,1
41,2.43,2.6623,2.9002,2.5693793022738887,1,1,2
42,2.5297,2.793,3.0608,2.7434449935002623,1,1,2
