config,dipole_l,dipole_m,dipole_h,muL
178,2.6155,2.9304,3.2543,2.9506377679511093
188,2.6479,2.9781,3.3198,3.032889628871258
26,2.4328,2.6697,2.9161,2.576544367500287
30,2.4989,2.7685,3.0491,2.7044166055302115
169,2.2297,2.3747,2.5192,2.263598342070191
158,2.5893,2.8596,3.1333,2.8407225409721653
22,2.3334,2.5575,2.7974,2.4284183171495575
15,2.6247,2.9882,3.3699,3.062463337906996
37,2.6931,3.03,3.3779,3.123604006317501
47,2.8568,3.2574,3.6687,3.6105980717523267
7,2.2486,2.4169,2.592,2.293279874843948
163,2.4792,2.7466,3.0254,2.6726196722942643
173,2.4373,2.6814,2.9303,2.5899737916460928
46,2.4943,2.779,3.081,2.71425711275234
148,2.4389,2.6836,2.9343,2.5925840328303056
57,2.6122,2.9146,3.2331,2.9244390044791553
65,2.54,2.8011,3.065,2.7560844974005603
44,2.668,2.9887,3.318,3.047385654154915
12,2.3061,2.5031,2.709,2.3783909871063966
121,2.2831,2.4724,2.6704,2.3449568475553515
197,2.4241,2.6722,2.9287,2.574084448323073
40,2.516,2.7705,3.0274,2.713529400048486
60,2.2361,2.3943,2.5522,2.2753067759234162
111,3.0872,3.6079,4.1638,5.376997229640013
155,2.8146,3.2146,3.6344,3.5363754736526007
189,2.416,2.6573,2.9054,2.557062905913287
154,2.3403,2.5396,2.7535,2.423576454703752
139,2.4995,2.773,3.0594,2.709550849695259
174,2.355,2.5566,2.7659,2.445404103047446
106,2.3368,2.5443,2.7589,2.4247993492586275
25,2.3571,2.5807,2.8173,2.4610263205539726
141,2.4677,2.7292,3.0019,2.649469126323679
191,2.5806,2.882,3.1929,2.8724944911186494
76,2.5209,2.7827,3.0536,2.7282074191851278
4,2.3489,2.5553,2.7663,2.440689569482971
198,2.4082,2.6439,2.8843,2.5419023201775035
107,2.4163,2.6502,2.888,2.5519034785474206
115,2.5098,2.775,3.0457,2.7162509798492813
187,2.3167,2.5081,2.701,2.3905875355724637
100,2.3743,2.5893,2.8083,2.480287943633402
42,2.6052,2.9379,3.2849,2.9656041071241397
144,2.4729,2.7286,2.9915,2.651735575168999
85,2.3304,2.5535,2.7932,2.423594663258827
195,2.6147,2.9193,3.235,2.931940206795693
58,2.643,2.9898,3.3538,3.059231974433012
200,2.3407,2.5278,2.7164,2.419437124930475
88,2.2482,2.3975,2.5489,2.287114963342218
116,2.3901,2.5992,2.8148,2.497099062266835
184,2.5688,2.8526,3.1486,2.8280940982338625
165,2.5211,2.7901,3.0635,2.7375685581685367
159,2.395,2.6197,2.8551,2.5141505922467675
175,2.467,2.7222,2.9867,2.6423523591463867
110,2.6272,2.9569,3.3021,2.997450866651769
117,2.3709,2.5949,2.8281,2.480846778049347
69,2.5208,2.7935,3.0718,2.7414399195873425
152,2.6311,2.9535,3.2876,2.989925820842592
92,2.4908,2.7581,3.0343,2.690073472964841
33,2.4698,2.7272,2.9945,2.6485492219677327
72,2.7118,3.1017,3.5195,3.301887050327721
91,2.4469,2.7167,3.0075,2.625535632149695
133,2.4156,2.6555,2.9029,2.5552193527202283
96,2.6863,3.0386,3.4029,3.1466256525000285
164,2.5028,2.7554,3.0125,2.6921049531443924
135,2.4146,2.6595,2.9127,2.557823739222719
112,2.3386,2.5563,2.7881,2.4319940987812223
49,2.1703,2.3108,2.4577,2.1902861576315007
77,2.5789,2.8938,3.2288,2.8909484223446125
64,2.3542,2.5686,2.7904,2.4521983486384342
146,2.2086,2.3591,2.5141,2.2389052132280614
104,2.5911,2.8751,3.1713,2.862651307427292
134,2.4934,2.7743,3.0601,2.7100328200816253
27,2.8213,3.2467,3.6933,3.652829582728822
73,2.2362,2.4047,2.5812,2.2776768052552714
28,2.5825,2.8916,3.2169,2.8874936315954414
78,2.6519,3.0062,3.376,3.0908383775461754
105,2.3103,2.4939,2.6787,2.37853443536407
29,2.659,2.9796,3.3072,3.0320880438931384
101,2.6463,2.9879,3.3462,3.0540549075640486
102,2.4938,2.7408,2.9942,2.6729815826783505
38,2.2943,2.4877,2.6854,2.3619633326770937
186,2.2512,2.3999,2.5525,2.2903634769964776
1,2.4907,2.7528,3.0211,2.6845883649922038
143,2.3929,2.6229,2.8595,2.515884244280561
177,2.5043,2.7833,3.0806,2.722600217701451
123,2.173,2.2911,2.408,2.1902397340415054
132,2.3597,2.5672,2.7803,2.4555868087069324
68,2.5174,2.7934,3.0786,2.7399305930386326
130,2.5081,2.7757,3.0523,2.716061822659444
182,2.3489,2.5575,2.7698,2.442153783738955
161,2.3615,2.5738,2.7932,2.460759115253683
181,2.2741,2.4555,2.6392,2.33099239134237
56,2.4739,2.7116,2.9588,2.6350170152230743
3,2.4932,2.7607,3.0358,2.694034095205162
74,2.3598,2.5963,2.8474,2.4730441295254453
151,2.2634,2.4267,2.5904,2.310819624972039
128,2.4362,2.6738,2.9192,2.5822046227997384
118,2.2408,2.4054,2.574,2.282659560097945
125,2.3812,2.6102,2.8467,2.4988071341497116
153,2.4463,2.71,2.9982,2.6180311165670314
79,2.4343,2.6927,2.9646,2.597206844927163
67,2.1205,2.2218,2.3276,2.127352509533095
89,2.9366,3.3668,3.816,3.92869453115589
80,2.448,2.6808,2.9235,2.5941707630899202
142,2.6802,2.9867,3.2985,3.0395383113013446
31,2.6581,2.9974,3.3497,3.068992643037257
129,2.3398,2.5473,2.7661,2.428112132941726
93,2.3919,2.6276,2.8757,2.5177693923279585
6,2.488,2.7409,3.004,2.6702625141081464
113,2.5898,2.8956,3.2106,2.8940309849692794
20,2.7116,3.0808,3.4708,3.2385916983083796
172,2.4546,2.6995,2.9556,2.6142566802558367
