config,dipole_l,dipole_m,dipole_h,muL_SCEE
94,2.1278,2.3913,2.709,2.156155696975925
8,2.5421,2.9212,3.3264,3.074218969356069
24,2.5686,2.9126,3.284,3.0300451916983744
47,2.289,2.5594,2.8524,2.414632778977616
13,2.4469,2.759,3.0868,2.7306176859989497
177,2.4192,2.7222,3.0425,2.66770224145532
163,2.5042,2.837,3.2199,2.8785952673276234
147,2.0232,2.1539,2.3024,2.0137289708928052
131,2.0992,2.342,2.6201,2.1122673580171907
121,2.1689,2.4212,2.6974,2.2185321169153647
81,2.2987,2.6492,3.0867,2.492077325458625
108,2.443,2.7922,3.1676,2.7893619220708192
188,2.2017,2.4761,2.7646,2.2793924829318644
91,2.5222,2.8762,3.2426,2.957031830476926
143,2.2182,2.4171,2.6253,2.2728260186484026
86,2.6661,3.0717,3.5339,3.564017375152746
60,2.5949,2.945,3.3147,3.096336017972719
180,2.4566,2.8016,3.2277,2.809091393442349
96,2.6177,2.9686,3.3323,3.1402820632151744
196,2.0825,2.2532,2.451,2.0858586203562566
93,2.0103,2.1826,2.3678,1.9925587167782248
9,2.2196,2.4659,2.7372,2.2923999053761093
153,2.8397,3.2883,3.7204,4.038314144007878
20,2.0484,2.2394,2.4511,2.041116681951741
57,2.7954,3.2284,3.7163,4.314913673820408
198,2.3549,2.662,3.0218,2.553997616409708
117,2.4462,2.7925,3.1694,2.789971568961179
2,2.4129,2.6953,3.0,2.628373688733437
184,2.2586,2.5251,2.8064,2.3652512446233773
171,2.4464,2.761,3.0961,2.733474847219339
54,2.4835,2.8126,3.1654,2.828250965053174
140,2.0891,2.3554,2.7157,2.0973080804907025
169,2.2414,2.539,2.9066,2.3465600682306453
132,1.8375,1.9371,2.0384,1.800890254154086
105,2.2454,2.5069,2.79,2.340259835320622
115,2.4287,2.7221,3.0397,2.669563209350653
112,2.6181,2.9661,3.072,2.9266047700375712
128,2.1879,2.4553,2.7505,2.25247131762984
178,2.4825,2.8236,3.1962,2.851498850713557
48,2.3694,2.6686,3.004,2.573128450614909
137,2.309,2.5451,2.7951,2.421734996817242
102,2.2567,2.5218,2.8094,2.3599170570682384
130,2.2054,2.4707,2.764,2.278846035574594
82,2.1879,2.4703,2.7814,2.258413792892072
156,2.4239,2.7532,3.1094,2.7159521968822062
152,2.0639,2.2371,2.5046,2.062537960685199
16,2.3859,2.7109,3.0576,2.639152875963359
129,2.4085,2.7173,3.0551,2.655645216470732
158,2.4185,2.7168,3.0254,2.6607356708101073
101,2.3451,2.6659,3.036,2.553485192711441
28,2.5002,2.7989,3.1099,2.80170401605305
98,2.2246,2.4255,2.6417,2.2815635969939856
155,2.4183,2.7477,3.1095,2.705014483211167
97,2.5137,2.8165,2.951,2.745431253582084
88,2.3466,2.6973,3.1185,2.591851303107577
193,2.3287,2.6275,2.9284,2.509515253301707
22,2.3927,2.6777,2.9842,2.5981269545523813
71,2.0719,2.2784,2.4974,2.072472879078585
179,2.1468,2.3105,2.6826,2.155188550173746
46,2.6045,2.9537,3.3261,3.115554149326352
99,2.4321,2.7095,3.0034,2.654352595654054
23,2.6108,2.9639,3.3331,3.135209432217352
122,2.2004,2.4566,2.7386,2.2675477801994477
142,2.1791,2.4334,2.723,2.2331357330880826
