config,dipole_l,dipole_m,dipole_h,muL
178,2.3572,2.5676,2.7899,2.452995946525199
188,2.3779,2.6042,2.8403,2.491946207474996
26,2.3114,2.4965,2.6862,2.3801573644957332
30,2.682,3.0243,3.3773,3.116178832703502
169,2.5752,2.8901,3.2216,2.8849072171192045
158,2.4836,2.7324,2.992,2.6595961517402475
22,2.5743,2.8748,3.1869,2.8610715899440096
15,2.1962,2.3265,2.4572,2.2197025060651367
37,2.6138,2.9294,3.2473,2.9487243225777595
47,2.3732,2.5984,2.8375,2.484016366791267
7,2.6552,2.9473,3.2452,2.9745010853259326
163,2.4482,2.7369,3.049,2.6467548298594816
173,2.6572,2.9794,3.3139,3.033013656080064
46,2.324,2.5393,2.7658,2.411357589610249
148,2.5186,2.7951,3.0874,2.7415880294743946
57,2.5685,2.8627,3.1672,2.84262707807449
65,2.4002,2.6218,2.8578,2.5183568063059094
44,2.4157,2.6578,2.9083,2.5570298012333077
12,2.6172,2.9478,3.3,2.982774767489602
121,2.7575,3.1384,3.5383,3.3581923957673103
197,2.3941,2.6026,2.8168,2.5021661031421503
40,2.3581,2.583,2.8155,2.4641643926171803
60,2.3669,2.5981,2.8436,2.479367343650791
111,2.5817,2.9059,3.2461,2.911050392137548
155,2.5462,2.8534,3.1759,2.8259991400848854
189,2.2874,2.4455,2.6032,2.338668483789492
154,2.386,2.6337,2.8943,2.518518562437243
139,2.2827,2.47,2.6629,2.3440277009110475
174,2.4448,2.6859,2.9397,2.5966144141397827
106,2.63,2.924,3.2211,2.938315499675196
25,2.4364,2.7215,3.0193,2.626574221242727
141,2.3525,2.6009,2.8648,2.4707272137744205
191,2.4006,2.6253,2.8623,2.521569211539935
76,2.2584,2.4464,2.645,2.312272966094429
4,2.5459,2.841,3.1522,2.8081061143745063
198,2.3027,2.494,2.6892,2.371975222737867
107,2.2365,2.3948,2.5645,2.2745061343355384
115,2.3768,2.6047,2.8436,2.491345990509177
187,2.3587,2.5691,2.7867,2.45578889005057
100,2.6149,2.9312,3.2601,2.9522946915468027
42,2.4132,2.6471,2.8886,2.5469508031689387
144,2.232,2.3908,2.5565,2.2696214292384536
85,2.501,2.7705,3.0498,2.7075906531602185
195,2.5815,2.898,3.2311,2.897859953022104
58,2.8586,3.2935,3.7421,3.7614657651617125
200,2.3411,2.5538,2.7786,2.432748312331201
88,2.3551,2.5866,2.8288,2.4638228379084777
116,2.6954,3.0404,3.3983,3.146250071977388
184,2.6254,2.9453,3.2823,2.976379101252431
165,2.8182,3.2164,3.6309,3.5323782736337432
159,2.3712,2.5994,2.8368,2.4841363048729805
175,2.3376,2.5419,2.7537,2.423977691973831
110,2.4627,2.7292,3.0116,2.6465095137879033
117,2.5142,2.7772,3.0489,2.7197967968482395
69,2.4688,2.735,3.0065,2.656864207986434
152,2.3,2.4594,2.62,2.3546243793009287
92,2.4674,2.7291,2.9956,2.6502196067615773
33,2.5832,2.8945,3.2199,2.8921790882583296
72,2.524,2.8092,3.106,2.7612121070160844
91,2.3787,2.6072,2.846,2.4945129867251783
133,2.5709,2.8704,3.1814,2.8541844656889137
96,2.4427,2.6768,2.9135,2.589108267227001
164,2.5208,2.7947,3.0726,2.7430807086454427
135,2.3201,2.5123,2.7132,2.3943006196681367
112,2.4349,2.6918,2.9673,2.5958311144022446
49,2.529,2.8215,3.1273,2.7783274875778745
77,2.6471,2.9643,3.2933,3.006749423020734
64,2.2523,2.4386,2.635,2.3038557245612963
146,2.639,2.9634,3.3014,3.007045658612058
104,2.4131,2.6617,2.9274,2.5572704468094725
134,2.5533,2.8444,3.1463,2.814467460536703
27,2.5209,2.8023,3.0961,2.751556964805706
73,2.4415,2.6769,2.9143,2.5886678302888715
28,2.6125,2.911,3.2174,2.9183593328813444
78,2.635,2.9654,3.3068,3.0114252813593505
105,2.5319,2.8198,3.1283,2.7760183949957575
29,2.4704,2.6943,2.9288,2.617100298431027
101,2.4664,2.732,3.0089,2.6517719241056446
102,2.6499,3.0015,3.3747,3.0828343024245037
38,2.67,2.9925,3.3301,3.055437191381324
186,2.3698,2.597,2.8327,2.481638594271207
1,2.7097,3.0925,3.4926,3.26999378413992
143,2.4268,2.6905,2.9604,2.592384084453689
177,2.3965,2.6255,2.8719,2.518263976668266
123,2.3498,2.57,2.8012,2.449242560880294
132,2.4005,2.6129,2.833,2.5131789969022065
68,2.2836,2.4477,2.6184,2.335457375845358
130,2.4754,2.7374,3.0076,2.6617427039147845
182,2.9485,3.3989,3.8682,4.066491432426178
161,2.6245,2.9574,3.3071,2.9991091260790186
181,2.5862,2.8832,3.1927,2.874530856166699
56,2.5627,2.8766,3.2082,2.862819414347766
3,2.6354,2.9723,3.3255,3.0255531831095883
74,2.224,2.3863,2.5542,2.2608870622525585
151,2.3239,2.5139,2.704,2.399443807407155
128,2.526,2.8058,3.0966,2.757463929473709
118,2.4549,2.7054,2.9655,2.6202367834884677
125,2.5516,2.8427,3.1456,2.811752049220936
153,2.4454,2.6898,2.94,2.60158251577499
79,2.6434,2.9951,3.3683,3.0713531832532683
67,2.4965,2.7908,3.0991,2.729814192789312
89,2.4577,2.6902,2.9285,2.6080749740098272
80,2.7531,3.1236,3.5111,3.317844174982549
142,2.6386,2.9637,3.3027,3.007739876994351
31,2.3089,2.4924,2.6859,2.3753732384812745
129,2.5672,2.853,3.1535,2.828300658189513
93,2.4467,2.7021,2.9663,2.6131981529682564
6,2.627,2.951,3.2834,2.985734044342668
113,2.6474,2.9816,3.3309,3.0405763789592726
20,2.6751,3.0,3.3251,3.0657629974902543
172,2.5778,2.8883,3.2048,2.8822598007847033
140,2.5526,2.8224,3.101,2.784988339657633
99,2.696,3.0517,3.4226,3.1731691017621104
62,2.3084,2.5248,2.7503,2.391226430809024
83,2.4097,2.6449,2.8869,2.543241112275278
19,2.45,2.7,2.9542,2.6135966190821915
59,2.5865,2.8914,3.2055,2.8873325917041717
54,2.5403,2.8129,3.0905,2.770543574262749
149,2.7022,3.0466,3.4057,3.1574309790910546
103,2.6689,3.0415,3.4343,3.166595834305061
