config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.4045,2.6354,2.8771,2.5319314890268414,0,0,0
2,2.6174,2.9049,3.1975,2.9085035069786307,0,0,0
3,2.3748,2.5868,2.8022,2.479063641512381,1,0,1
4,2.3488,2.5471,2.7485,2.436037351489221,1,0,1
5,2.3356,2.5236,2.7202,2.412218185443705,0,0,0
6,2.757,3.1466,3.5527,3.3817124820187496,0,0,0
7,2.2729,2.4566,2.6554,2.328617054505336,0,0,0
8,2.3916,2.6195,2.8544,2.512460934893187,1,0,1
9,2.1109,2.2103,2.3089,2.1165842398405994,0,0,0
10,2.3246,2.5188,2.7168,2.401959745686556,0,0,0
11,2.2396,2.4136,2.5988,2.283322148978597,0,0,0
12,2.1695,2.3103,2.4517,2.189808218592136,1,0,1
13,2.1562,2.2934,2.4338,2.173079151157113,0,0,0
14,2.4335,2.6566,2.8878,2.566164077762114,0,0,0
15,2.3687,2.583,2.8017,2.4721980028334936,1,0,1
16,2.3534,2.5713,2.7997,2.452780995878945,0,1,1
17,1.9967,2.0589,2.1223,1.990802427229573,0,0,0
18,2.3645,2.5759,2.7955,2.4640322892246704,1,0,1
19,2.0928,2.1943,2.3004,2.095884565775858,1,0,1
20,2.2848,2.4516,2.6204,2.3386687276611693,0,0,0
21,2.1375,2.2561,2.3776,2.148612832153922,1,1,2
22,2.3595,2.5718,2.7936,2.4576688597123275,1,0,1
23,2.0816,2.1881,2.297,2.083267779541494,0,1,1
24,2.4027,2.6639,2.9412,2.5530724204660635,0,0,0
25,2.0696,2.1816,2.3019,2.069516892929676,0,0,0
26,2.5823,2.9029,3.2361,2.9059555555179,0,1,1
27,2.3585,2.5632,2.7727,2.452394580724313,1,0,1
28,2.5153,2.795,3.0831,2.741378941779945,0,0,0
29,2.5737,2.8707,3.1731,2.855103147774412,0,1,1
30,2.3773,2.5857,2.797,2.480112298614719,0,1,1
31,2.1173,2.226,2.3347,2.124423897981824,0,0,0
32,2.5962,2.9091,3.2358,2.91595277380105,0,0,0
33,2.1907,2.3362,2.487,2.215929942692392,0,0,0
34,2.2643,2.4401,2.6214,2.315898057322781,0,0,0
35,2.0371,2.1269,2.2236,2.033259388483581,1,1,2
36,2.4171,2.6333,2.8499,2.539625746412733,0,1,1
37,2.5962,2.8848,3.1799,2.877500523258355,1,0,1
38,2.5185,2.7857,3.0629,2.730905645175568,0,0,0
39,2.2734,2.4506,2.6311,2.328283937882347,1,0,1
40,2.1898,2.3303,2.4784,2.21359345245373,1,1,2
41,2.1855,2.3105,2.4346,2.20609727346513,0,0,0
42,2.1131,2.2585,2.4161,2.121814036803677,0,0,0
43,2.671,3.0023,3.3376,3.072564655250868,0,0,0
44,2.5722,2.864,3.1773,2.8443720664975904,0,1,1
45,2.3952,2.6329,2.8769,2.524980420044712,0,0,0
46,2.2821,2.4642,2.653,2.3409033633647467,1,0,1
47,2.0648,2.1614,2.2627,2.064112350948012,0,0,0
48,2.2903,2.4498,2.6103,2.3426836382848784,0,0,0
49,2.0042,2.0746,2.15,1.998329186760025,1,1,2
50,2.0822,2.1821,2.2847,2.0838275805192787,0,0,0
51,2.143,2.2558,2.3706,2.154382201287781,0,0,0
52,2.2254,2.381,2.5415,2.260787270395216,0,1,1
53,1.8557,1.8655,1.8765,1.853332175159539,1,0,1
54,2.2655,2.4347,2.6141,2.314333110644028,0,0,0
55,2.4969,2.7627,3.0346,2.697812592250037,0,0,0
56,1.9797,2.0504,2.1287,1.971808048150648,0,1,1
57,2.9133,3.3328,3.7698,3.820789430411253,0,0,0
58,2.2217,2.385,2.5564,2.258042349517494,0,0,0
59,2.1022,2.2241,2.3559,2.107481856588939,0,1,1
60,2.6398,2.9593,3.2845,2.998303587796143,0,0,0
61,2.2507,2.4055,2.5611,2.292115348363722,0,0,0
62,2.2399,2.4149,2.5984,2.2843529236322504,0,1,1
63,2.3913,2.6072,2.8272,2.50387115445976,0,0,0
64,2.4188,2.66,2.9115,2.560337722089842,0,1,1
65,2.2784,2.4558,2.6395,2.3343061671190437,0,0,0
66,2.4009,2.6391,2.886,2.5329570523090617,1,0,1
67,2.6177,2.9154,3.2261,2.925389012646081,0,0,0
68,2.2866,2.477,2.6741,2.350254717103995,1,0,1
69,2.4264,2.6809,2.9463,2.5826165636381475,0,0,0
