config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.4476,2.6924,2.9445,2.604831377165266,0,0,0
2,2.4904,2.7294,2.973,2.6602437751004824,1,0,1
3,2.5895,2.8981,3.2199,2.8980280934918725,0,1,1
4,2.2108,2.3714,2.538,2.2440236187273204,0,0,0
5,2.2005,2.3432,2.4869,2.2275462816521827,0,0,0
6,2.1844,2.336,2.4952,2.2093526328476765,1,0,1
7,2.1895,2.3531,2.5358,2.217146815006366,0,0,0
8,2.2398,2.4018,2.5679,2.2805780951778143,2,0,2
9,2.3195,2.5058,2.6988,2.390857776414335,2,1,3
10,2.4242,2.6539,2.8847,2.5599273495545485,1,2,3
11,1.7915,1.7727,1.7598,1.7989402306120323,0,0,0
12,2.3864,2.6027,2.8238,2.497403074092459,0,0,0
13,2.2051,2.3607,2.5221,2.235753398400897,0,0,0
14,2.2859,2.4851,2.6971,2.3523467643915223,1,0,1
15,2.1851,2.3215,2.46,2.2075938473021277,1,0,1
16,2.0729,2.1643,2.2578,2.0732362054410896,0,1,1
17,1.9761,2.0278,2.0795,1.969836628660341,0,1,1
18,2.0837,2.162,2.2407,2.085110629502166,0,0,0
19,2.4323,2.6478,2.869,2.55877111588767,0,0,0
20,2.3355,2.5646,2.8015,2.435663729644608,1,0,1
21,2.5744,2.8689,3.1775,2.8521435567278104,2,0,2
22,2.4075,2.6389,2.8782,2.536982384392257,1,0,1
23,2.2212,2.3779,2.5396,2.2559182687196606,1,0,1
24,1.9079,1.9367,1.9699,1.902607919924898,0,1,1
25,1.9585,2.0053,2.0533,1.9519152946827747,1,0,1
26,2.058,2.1445,2.2331,2.056601676482528,1,0,1
27,2.3519,2.565,2.784,2.4485461162020887,0,0,0
28,1.9969,2.0722,2.1551,1.9900158841117888,0,1,1
29,2.2164,2.3757,2.543,2.250392365160353,0,0,0
30,2.3721,2.605,2.8501,2.4881361563682645,1,0,1
31,2.5793,2.903,3.2416,2.906188617247784,1,0,1
32,1.9891,2.0477,2.1071,1.9829771756622847,1,1,2
33,2.286,2.4698,2.6585,2.346877260698848,0,0,0
34,2.0676,2.1427,2.2156,2.067751914210415,1,0,1
35,1.9573,1.9983,2.0392,1.951446180954341,0,1,1
36,2.3495,2.5539,2.7631,2.4402653051896976,0,1,1
37,2.0417,2.1127,2.1808,2.0396185361822448,1,0,1
38,2.1252,2.2451,2.3694,2.134335821392382,0,0,0
39,2.0091,2.0837,2.1653,2.0033901101932354,0,0,0
40,2.4084,2.6733,2.9613,2.5634133427463937,1,0,1
41,2.2302,2.3885,2.5531,2.26732054749685,0,1,1
42,2.359,2.558,2.7594,2.4499821794707644,0,0,0
43,2.6178,2.9292,3.2526,2.9484932301410405,1,1,2
44,2.2817,2.4635,2.6563,2.339662602773536,0,0,0
45,2.1829,2.2888,2.3939,2.1995144991940725,1,0,1
46,2.167,2.3147,2.4746,2.1871235306879635,0,1,1
47,1.9884,2.0465,2.1051,1.9822624762166603,2,1,3
48,2.2781,2.4442,2.6126,2.329967971914153,0,0,0
49,1.8982,1.9142,1.9292,1.8950897239020943,0,0,0
50,1.8474,1.8441,1.8384,1.849001829413305,1,1,2
51,2.2574,2.4292,2.6082,2.305493984610772,1,1,2
52,2.37,2.5689,2.7719,2.464118503158595,0,0,0
53,2.5608,2.8406,3.122,2.8110819786781325,0,2,2
54,2.0744,2.1667,2.26,2.074929301747754,0,1,1
55,2.4586,2.6843,2.9101,2.604131348978812,0,1,1
56,2.2004,2.3352,2.4693,2.225786019104821,2,0,2
57,2.4264,2.6739,2.9291,2.5769672980074287,0,0,0
58,2.1008,2.202,2.3033,2.1050643612091298,0,1,1
59,2.4167,2.6312,2.8411,2.5371355789662826,0,0,0
60,2.0607,2.1567,2.2557,2.059482255404013,0,0,0
61,2.3138,2.4949,2.6774,2.381791724039807,0,1,1
62,2.4905,2.7481,3.0097,2.679748736617819,0,1,1
63,2.3814,2.6142,2.8545,2.5018224971399023,2,1,3
64,2.2584,2.4259,2.5995,2.3053561261250657,0,1,1
65,2.2297,2.38,2.5301,2.265092544598557,0,0,0
66,2.2239,2.3868,2.5572,2.26072544794321,2,0,2
67,2.2303,2.4294,2.6463,2.2787860451248148,1,1,2
68,1.9547,1.9956,2.0365,1.9487010957083797,0,2,2
69,2.1172,2.2304,2.3467,2.1245395065200663,0,0,0
70,1.8809,1.8968,1.9142,1.8774143012604083,0,0,0
71,1.8898,1.9229,1.9673,1.883911912792402,0,0,0
72,2.156,2.2877,2.4261,2.17180651605788,1,1,2
73,1.9657,2.0147,2.0645,1.9591947880233005,1,0,1
74,2.1467,2.2711,2.3982,2.160078560025445,1,0,1
75,2.233,2.4072,2.5869,2.275734721657768,1,0,1
76,2.0004,2.0673,2.1385,1.9945023119497296,0,0,0
77,2.219,2.3824,2.5504,2.255094905072069,2,0,2
78,2.1383,2.2548,2.3728,2.149381476744616,0,0,0
79,2.1337,2.2568,2.3869,2.144460378164944,1,2,3
80,2.1461,2.2383,2.3298,2.1557061399207478,1,0,1
81,2.3701,2.5781,2.7986,2.4686329513888228,0,0,0
82,2.7147,3.0776,3.4625,3.228471644825877,0,0,0
83,2.3232,2.4981,2.6763,2.390462789388129,1,0,1
84,1.904,1.9063,1.9069,1.903992369838166,0,1,1
85,2.2327,2.4188,2.619,2.278110358499594,1,0,1
86,2.363,2.5844,2.8141,2.4684590665832142,2,0,2
87,2.3006,2.465,2.6308,2.3574871159997617,0,0,0
88,2.2189,2.3691,2.5215,2.251628823498613,0,0,0
89,2.2574,2.4252,2.5979,2.3043634727916387,1,0,1
90,2.2242,2.3718,2.52,2.2575502032786665,0,1,1
91,2.3912,2.5858,2.7804,2.4898252640253093,0,0,0
92,2.1791,2.3117,2.4462,2.1997226617985604,1,1,2
93,2.1341,2.254,2.3813,2.144572752101832,0,0,0
