config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.7425,3.1082,3.4864,3.2818725657631918,1,0,1
2,2.6148,2.9315,3.2623,2.952916990796496,2,2,4
3,2.2272,2.3953,2.5722,2.2662035784837875,2,2,4
4,2.5574,2.8565,3.1666,2.8322802457337595,2,2,4
5,2.4277,2.6878,2.9579,2.589734864820717,2,2,4
6,2.3398,2.5211,2.7067,2.4147179528520706,2,1,3
7,2.7313,3.0969,3.4846,3.266691156283962,1,2,3
8,2.7053,3.0636,3.444,3.1994035702443964,2,2,4
9,2.3998,2.6362,2.8818,2.529920619776118,2,2,4
10,2.5161,2.7938,3.0839,2.739669476177786,1,2,3
11,2.4414,2.6918,2.9529,2.60055831662038,2,2,4
12,2.3854,2.6158,2.8562,2.5052002164277654,2,1,3
13,2.7063,3.0745,3.4598,3.22408850738444,2,0,2
14,2.4884,2.7445,3.0051,2.6750307977199883,0,1,1
15,2.4178,2.674,2.9467,2.5706923549753418,2,2,4
16,2.461,2.7442,3.0409,2.6620561330817942,1,2,3
17,2.2593,2.4279,2.5994,2.3072852856966137,2,1,3
18,2.5785,2.8813,3.1928,2.871332367075013,2,1,3
19,2.6938,3.0329,3.3843,3.130036011663278,2,1,3
20,2.4807,2.7408,3.0113,2.66718531763702,2,1,3
21,2.2388,2.3931,2.5501,2.2771107990806443,2,2,4
22,2.6268,2.94,3.2608,2.965958238882072,1,2,3
23,2.8712,3.2794,3.7077,3.686850662799104,2,1,3
24,2.6319,2.9446,3.2659,2.9734277844679973,1,2,3
25,2.6177,2.9324,3.2579,2.953980860053126,2,3,5
26,2.5121,2.8003,3.1004,2.7466633586726497,1,1,2
27,2.6892,3.0314,3.3844,3.1284735563043937,2,1,3
28,2.5529,2.8389,3.1327,2.807019586467709,1,3,4
29,2.6573,2.999,3.3548,3.072872094403861,2,0,2
30,2.5943,2.9104,3.2453,2.918299811173352,1,2,3
31,2.5609,2.8566,3.1639,2.8328277247778915,1,2,3
32,2.421,2.6657,2.9235,2.565933471786718,1,1,2
33,2.5001,2.7612,3.0353,2.696350154593442,1,2,3
34,2.3673,2.5783,2.7945,2.468035701885317,2,1,3
35,2.4401,2.6682,2.9013,2.579933178425028,1,2,3
36,2.6079,2.9098,3.2326,2.916823918881888,2,1,3
37,2.5659,2.8503,3.1424,2.8247596505546646,2,2,4
38,2.6298,2.9337,3.2484,2.954896312969318,2,1,3
39,2.6448,2.9363,3.2324,2.957260630600375,0,2,2
40,2.4334,2.6725,2.9275,2.5782157811373905,0,2,2
41,2.5227,2.8195,3.1305,2.774113195908217,1,1,2
42,2.5047,2.7776,3.0617,2.7168799118089386,2,1,3
43,2.5822,2.8764,3.1802,2.864082863114344,0,1,1
44,2.5347,2.8177,3.1088,2.775116307499013,2,1,3
45,2.6907,3.0285,3.3746,3.1206562251109724,1,2,3
46,2.6158,2.9152,3.2239,2.9250618504024666,1,1,2
47,2.6014,2.9427,3.2974,2.975045495272452,2,2,4
48,2.3803,2.5945,2.8193,2.486734212267302,2,2,4
49,2.553,2.83,3.1168,2.7949056248254323,1,1,2
50,2.4979,2.7477,3.0012,2.6821681924298675,1,2,3
51,2.5703,2.861,3.1585,2.840526905624031,2,0,2
52,2.5657,2.8834,3.2134,2.873891914446337,2,1,3
53,2.6794,3.0154,3.3656,3.0990172875843447,2,1,3
54,2.5851,2.8814,3.194,2.8716351718954143,1,1,2
55,2.5818,2.8746,3.1807,2.8612421280385054,2,1,3
56,2.6058,2.915,3.229,2.925129848986516,1,1,2
57,2.6232,2.9327,3.2495,2.9536976060817635,2,2,4
58,2.4498,2.7024,2.9637,2.615037245257445,1,2,3
59,2.3877,2.6042,2.8289,2.4987284420355405,1,2,3
60,2.1762,2.3121,2.454,2.1965567878270438,1,2,3
61,2.472,2.712,2.9554,2.635482537260403,2,1,3
62,2.3005,2.4869,2.6828,2.3660066054339604,1,0,1
63,2.5682,2.8609,3.1604,2.840154680767524,1,2,3
64,2.3127,2.4943,2.6819,2.379934424884305,2,1,3
65,2.4213,2.6589,2.9042,2.561296626277492,1,1,2
66,2.6816,3.0126,3.3566,3.09189417621836,1,0,1
67,2.6517,2.9743,3.3047,3.02397598498812,1,2,3
68,2.6405,2.9608,3.2954,3.0019209969507945,2,1,3
69,2.5412,2.8433,3.1574,2.8108656296287937,2,2,4
70,2.4019,2.6463,2.9061,2.5381287017115275,1,1,2
71,2.6135,2.9075,3.2044,2.912650141428514,2,1,3
72,2.3609,2.5783,2.7993,2.463798556999752,2,2,4
73,2.3542,2.5689,2.7916,2.4522845171029224,2,1,3
74,2.4266,2.6678,2.9153,2.572037589346972,2,2,4
75,2.4617,2.7226,2.9944,2.6401073424525845,2,0,2
76,2.3003,2.4837,2.6707,2.365243672417337,2,2,4
77,2.2504,2.4232,2.6022,2.297153125870583,1,2,3
78,2.151,2.2725,2.3944,2.1648783149203714,2,2,4
79,2.37,2.6037,2.8488,2.4859122027676963,1,1,2
80,2.6292,2.9713,3.3277,3.0248968275802657,2,1,3
81,2.388,2.616,2.8493,2.5078573849564,1,2,3
82,2.7524,3.1157,3.4923,3.294076245612445,2,1,3
83,2.4996,2.7899,3.0936,2.729755371376158,2,2,4
84,2.3986,2.6376,2.8868,2.5300896458574287,2,3,5
85,2.5136,2.7678,3.0248,2.709674772306071,1,2,3
86,2.4182,2.6466,2.8821,2.5495688378531214,2,1,3
87,2.4835,2.7492,3.0209,2.677931192297872,2,1,3
88,2.6273,2.9375,3.2601,2.9618509575257748,2,1,3
89,2.5362,2.8252,3.1262,2.7849662525685632,1,0,1
90,2.4275,2.6769,2.941,2.5790221497374186,1,2,3
91,2.2638,2.4367,2.6158,2.3140895278744176,2,2,4
92,2.4109,2.6377,2.874,2.537823280410944,2,1,3
93,2.6058,2.9191,3.2465,2.9322959789092766,1,1,2
94,2.3994,2.6203,2.8438,2.5187470203602724,2,2,4
95,2.4633,2.72,2.9927,2.637429668070698,1,2,3
96,2.6408,2.9468,3.2621,2.9760345638524117,2,2,4
97,2.3579,2.5405,2.7249,2.439017309003811,1,1,2
98,2.3982,2.5955,2.8007,2.4995166430483136,2,2,4
99,2.6439,2.9832,3.3342,3.0442515885057366,2,2,4
100,2.482,2.7648,3.0583,2.694094201218414,2,2,4
101,2.5446,2.8237,3.1077,2.7853795420436898,2,2,4
102,2.2812,2.4394,2.5995,2.3307887959608693,2,1,3
103,2.5478,2.8338,3.1334,2.798714391412453,2,1,3
104,2.5329,2.8037,3.081,2.757086911622292,2,2,4
105,2.595,2.8796,3.171,2.869678265362104,1,1,2
106,2.6297,2.9681,3.3217,3.018534138162083,1,1,2
107,2.3692,2.5929,2.8225,2.478878919445913,2,2,4
108,2.5069,2.7957,3.0954,2.739500756907898,1,1,2
109,2.5088,2.8002,3.1076,2.7451178499511717,2,1,3
110,2.2571,2.4206,2.586,2.302854295235172,2,2,4
111,2.546,2.8294,3.1251,2.792552093955872,2,2,4
112,2.4735,2.7211,2.9741,2.6447314022334485,2,1,3
113,2.5628,2.8406,3.1276,2.8108587920839034,1,2,3
114,2.5222,2.7731,3.0229,2.718355311152732,2,1,3
115,2.5323,2.7977,3.0665,2.7499196846999987,1,2,3
116,2.5496,2.8463,3.1524,2.8166604386061347,2,1,3
117,2.4101,2.6447,2.8863,2.543286802759204,2,2,4
118,2.4455,2.6839,2.9275,2.596406025867913,2,1,3
119,2.424,2.6637,2.9159,2.5660441415505453,1,1,2
120,2.6105,2.9055,3.2093,2.90962592892842,1,2,3
121,2.1815,2.3167,2.4535,2.2030981889524117,2,1,3
122,2.6188,2.9634,3.3237,3.011961428671655,1,2,3
123,2.6454,2.9671,3.3088,3.013455005265435,2,2,4
124,2.584,2.8958,3.2166,2.894306309594347,1,2,3
125,2.7566,3.1394,3.5392,3.360501176849439,2,2,4
126,2.4863,2.7446,3.016,2.6730736361740224,2,3,5
127,2.2982,2.468,2.6438,2.35617139424924,2,2,4
128,2.2581,2.4279,2.6042,2.305748545441483,2,2,4
129,2.5285,2.8261,3.1434,2.78381001190414,1,1,2
130,2.675,2.9975,3.3277,3.0623304818504264,2,1,3
131,2.5163,2.8089,3.1186,2.758235955156205,2,1,3
132,2.6891,3.043,3.4064,3.154422288571372,2,1,3
133,2.5073,2.7893,3.0818,2.731773971480303,2,2,4
134,2.5944,2.901,3.2138,2.902662870921726,2,1,3
135,2.5895,2.8865,3.1944,2.879762016401343,1,1,2
136,2.4409,2.6721,2.9078,2.583776257476837,2,1,3
137,2.6077,2.9355,3.2753,2.960736386778537,2,2,4
138,2.2499,2.4077,2.5652,2.2922294964141456,2,1,3
139,2.5026,2.7889,3.0898,2.7293186138092302,0,1,1
140,2.3553,2.5533,2.762,2.443167618640768,1,2,3
141,2.2536,2.4307,2.6151,2.302570436768148,0,2,2
142,2.3429,2.5437,2.7521,2.428979697552452,2,1,3
143,2.3148,2.5117,2.7193,2.389457606096416,2,1,3
144,2.2816,2.4295,2.5762,2.327594724881825,2,1,3
145,2.5054,2.7584,3.0137,2.6965821128684446,1,2,3
146,2.4875,2.7623,3.0514,2.6927951487814643,2,2,4
147,2.7098,3.0693,3.4416,3.2063364327603376,2,1,3
148,2.6343,2.9716,3.3292,3.025061296597889,2,2,4
149,2.6912,3.044,3.4104,3.1570803591907586,1,1,2
150,2.4625,2.7228,2.9913,2.6410969236924475,2,2,4
151,2.5198,2.8078,3.1102,2.758030599544075,1,1,2
152,2.4635,2.7206,2.9868,2.6392019164855256,1,1,2
153,2.6159,2.9244,3.2417,2.9403213617274235,1,2,3
154,2.6309,2.9348,3.2536,2.956903421781603,2,2,4
155,2.4261,2.6553,2.8875,2.5618290845550447,2,2,4
156,2.4212,2.6736,2.9386,2.572954869549478,1,1,2
157,2.4761,2.7361,3.0041,2.660706885002436,0,2,2
158,2.4549,2.7055,2.9694,2.6197385622425133,2,1,3
159,2.3235,2.5048,2.6874,2.394319293379896,0,1,1
160,2.5207,2.7829,3.0494,2.7289546129255804,1,2,3
161,2.5022,2.7924,3.1034,2.7327469664207995,2,2,4
162,2.5837,2.89,3.2036,2.8850858132848707,2,1,3
163,2.6365,2.9482,3.2677,2.979042096471748,2,1,3
164,2.3418,2.53,2.7201,2.4213975494861786,1,2,3
165,2.3829,2.61,2.8423,2.500190200423061,2,1,3
166,2.5196,2.8094,3.1124,2.7601704748488785,1,2,3
167,2.4868,2.7297,2.9781,2.658949265918117,1,2,3
168,2.4145,2.6517,2.8963,2.5514742980225766,0,2,2
169,2.6786,3.0219,3.3818,3.1141514512147626,2,1,3
170,2.4787,2.7537,3.0441,2.679601438743177,1,2,3
171,2.4265,2.6548,2.8868,2.561526808153363,1,1,2
172,2.4683,2.7229,2.9811,2.644512136460288,2,2,4
173,2.6475,2.9802,3.3265,3.037495754708104,2,1,3
174,2.5706,2.8666,3.1685,2.8487527660344205,1,1,2
175,2.6766,3.0061,3.3418,3.078767377026528,1,1,2
176,2.5366,2.8392,3.1572,2.803989974234833,2,2,4
177,2.6988,3.0559,3.4217,3.1789325867703857,1,1,2
178,2.4535,2.6922,2.939,2.6074637239155725,2,2,4
179,2.4246,2.6537,2.8892,2.559103674202061,1,1,2
180,2.5286,2.8051,3.0853,2.758029514732982,2,0,2
181,2.5659,2.8782,3.2053,2.8656303246962933,2,2,4
182,2.6997,3.0505,3.4077,3.164794762645073,2,1,3
183,2.6197,2.9294,3.2475,2.948462374643396,2,3,5
184,2.483,2.7545,3.0339,2.683262964578636,1,1,2
185,2.4499,2.7148,2.9945,2.626123847243448,0,1,1
186,2.3762,2.6118,2.8657,2.494707572531522,1,2,3
187,2.5212,2.8134,3.1224,2.765402136215461,2,2,4
188,2.4083,2.6653,2.9374,2.557827974906379,2,1,3
189,2.8111,3.198,3.5941,3.4710142974237708,0,0,0
190,2.3469,2.5385,2.733,2.429747615264715,1,2,3
191,2.6847,3.0489,3.4326,3.174969646238329,2,2,4
192,2.2909,2.4922,2.7039,2.360234085424376,1,1,2
193,2.7033,3.043,3.4031,3.1505871958208016,2,1,3
194,2.4988,2.7701,3.0563,2.705693722080009,2,1,3
195,2.3649,2.5623,2.7702,2.4554414788283725,1,2,3
196,2.5295,2.8028,3.0832,2.7550356069681814,1,1,2
197,2.6172,2.9332,3.2605,2.955463774882326,0,1,1
198,2.4659,2.7368,3.0202,2.656396323342616,2,2,4
199,2.5959,2.8817,3.1739,2.87284957795929,1,1,2
200,2.5676,2.8741,3.1897,2.859606329922548,1,1,2
