config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.2803,2.5005,2.7384,2.353711044881478,0,1,1
2,2.4208,2.6459,2.8744,2.551135684784928,1,1,2
3,2.535,2.7909,3.0563,2.741849364716551,2,0,2
4,2.1908,2.3283,2.4668,2.2147356048694995,1,0,1
5,2.0597,2.1413,2.2267,2.0585869605228733,0,0,0
6,2.3709,2.5826,2.7965,2.47382675733758,1,1,2
7,2.1484,2.2848,2.4287,2.163381850800177,0,1,1
8,2.0884,2.1683,2.2525,2.0902920150527917,1,1,2
9,2.3114,2.5009,2.6966,2.382048165791318,2,0,2
10,2.1421,2.2761,2.4144,2.15575241051848,1,0,1
11,2.0312,2.1038,2.1772,2.027480179069827,0,0,0
12,2.1421,2.2538,2.3652,2.153358524421085,1,0,1
13,2.2819,2.4645,2.6503,2.341350182256466,0,1,1
14,2.7494,3.1338,3.5285,3.345921811660912,1,2,3
15,2.0873,2.185,2.2851,2.089562335005025,1,1,2
16,2.4899,2.762,3.0433,2.6940596912129844,0,1,1
17,1.8293,1.8405,1.8621,1.8279900467678976,1,1,2
18,2.2116,2.368,2.5357,2.243383852580151,0,0,0
19,2.1693,2.3378,2.5259,2.193073569668621,1,0,1
20,2.2792,2.4521,2.6277,2.333997414845033,0,0,0
21,2.0653,2.1629,2.2676,2.064678097154274,0,1,1
22,2.093,2.2119,2.3309,2.0968284338252685,0,1,1
23,2.3436,2.5574,2.7754,2.438076298941438,1,1,2
24,1.7991,1.792,1.797,1.8039526633552183,1,1,2
25,2.2053,2.3414,2.4776,2.2318718750254947,0,0,0
26,2.2711,2.4291,2.5879,2.3183788845879527,1,0,1
27,2.2711,2.4631,2.6669,2.330102440236584,0,1,1
28,2.054,2.1444,2.2382,2.052062821050777,2,0,2
29,2.1346,2.2781,2.4287,2.1477444979336147,0,2,2
30,2.0505,2.168,2.3076,2.047609953736313,0,1,1
31,2.4966,2.7741,3.0617,2.7102082977394497,1,0,1
32,2.4298,2.6689,2.9133,2.5749178066897502,0,0,0
33,2.0565,2.1498,2.2463,2.05480014593784,0,1,1
