config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.5496,2.8518,3.1696,2.824124626209592,1,1,2
2,2.6199,2.9316,3.2555,2.952433946772788,2,2,4
3,2.3098,2.508,2.7122,2.3842810019767704,2,2,4
4,2.4578,2.7177,2.9884,2.633412361120014,1,1,2
5,2.4264,2.6737,2.926,2.577250086482024,2,2,4
6,2.4949,2.7244,2.959,2.6570270385072585,1,1,2
7,2.533,2.834,3.1516,2.795914298407712,2,2,4
8,2.7002,3.0486,3.4144,3.164204001398645,2,1,3
9,2.2388,2.4003,2.5661,2.279156681155213,2,2,4
10,2.8092,3.1957,3.6057,3.482613053568638,1,2,3
11,2.5211,2.8149,3.1207,2.767848938929675,2,2,4
12,2.7645,3.1327,3.5163,3.331495632465044,2,2,4
13,2.5028,2.7839,3.0758,2.7237897773795194,2,2,4
14,2.6058,2.922,3.25,2.9371618321016597,3,1,4
15,2.4431,2.6853,2.9412,2.5950314489463318,2,2,4
16,2.3754,2.5746,2.7753,2.4718435446097504,1,1,2
17,2.528,2.8126,3.1046,2.7670123864063902,1,1,2
18,2.3781,2.6163,2.8689,2.499932128944715,1,2,3
19,2.5718,2.877,3.1961,2.864181604760567,1,1,2
20,2.6485,2.9768,3.3196,3.0306506338955708,2,2,4
21,2.4164,2.6283,2.8465,2.5344319796333066,2,2,4
22,2.5385,2.8299,3.1352,2.791601878581764,2,2,4
23,2.4377,2.6744,2.9184,2.583610403065583,2,2,4
24,2.7323,3.0755,3.4312,3.206438175901272,2,2,4
25,2.5721,2.8891,3.2168,2.883291504928424,2,1,3
26,2.5303,2.8216,3.1274,2.7786381572929137,1,2,3
27,2.439,2.6895,2.9516,2.597050922485637,1,2,3
28,2.6177,2.9286,3.248,2.947292414023749,2,2,4
29,2.5867,2.8976,3.2209,2.89721710809364,2,2,4
30,2.521,2.7976,3.0807,2.7464022714368577,1,1,2
31,2.4174,2.6569,2.9034,2.557509874298592,2,2,4
32,2.4992,2.7763,3.0631,2.7137210209334914,2,2,4
33,2.5963,2.8989,3.2112,2.8993033623166404,2,2,4
34,2.5515,2.8459,3.1552,2.816005056335157,2,3,5
35,2.6091,2.9165,3.2337,2.927580465382842,2,1,3
36,2.4418,2.7047,2.9753,2.613407605814041,2,2,4
37,2.2955,2.4807,2.6782,2.35862061901552,1,1,2
38,2.2934,2.4731,2.6582,2.354497081278549,1,3,4
39,2.3956,2.6229,2.8586,2.517295019749772,2,2,4
40,2.6022,2.9177,3.2445,2.930056942915425,1,2,3
41,2.4117,2.6471,2.8923,2.545684796356932,1,2,3
42,2.407,2.649,2.8995,2.544622676317837,2,2,4
43,2.5775,2.9266,3.2999,2.948638824468976,2,1,3
44,2.4255,2.6625,2.906,2.566890938446798,2,2,4
45,2.6196,2.9457,3.2854,2.9777279151091216,2,1,3
46,2.4349,2.6934,2.9636,2.598478022221104,2,3,5
47,2.5485,2.85,3.1637,2.821586224346632,2,1,3
48,2.7027,3.0717,3.4628,3.221988569272865,3,2,5
49,2.5301,2.8188,3.1193,2.775144919351088,2,1,3
50,2.6284,2.9616,3.3143,3.006694233530076,0,2,2
51,2.7603,3.1587,3.5728,3.4155887436992494,1,2,3
52,2.3084,2.5222,2.7482,2.389375552703703,2,3,5
53,2.5377,2.824,3.1169,2.784180257779417,2,2,4
54,2.7197,3.0605,3.4173,3.180210229068101,1,2,3
55,2.7147,3.0598,3.4148,3.1791145762647406,2,0,2
56,2.4552,2.6846,2.9187,2.601997735992355,2,2,4
57,2.4613,2.7212,2.9973,2.6376796662629647,2,2,4
58,2.4424,2.6964,2.9592,2.6056537269491167,1,2,3
59,2.5358,2.821,3.1197,2.7791655158729505,2,2,4
60,2.4824,2.7298,2.9899,2.656170089559581,2,2,4
61,2.7483,3.1215,3.5084,3.3141053582645554,2,1,3
62,2.5369,2.8446,3.1666,2.8118321031147557,2,1,3
63,2.5986,2.8983,3.2087,2.8983484104792403,2,0,2
64,2.5746,2.8573,3.1441,2.835873097137374,2,3,5
65,2.5403,2.8104,3.0913,2.7668193847369,2,2,4
66,2.1191,2.2342,2.3605,2.126588588679596,2,2,4
67,2.3259,2.5251,2.7306,2.40591057915216,1,2,3
68,2.6476,2.9668,3.3095,3.012833800969484,1,0,1
69,2.6626,2.9865,3.3166,3.044274095283622,1,2,3
70,2.6537,3.004,3.3732,3.0861212695442424,0,1,1
71,2.5803,2.8566,3.1419,2.8352856541347244,2,1,3
72,2.2952,2.5,2.7184,2.367070491049865,2,1,3
73,2.4407,2.6965,2.9624,2.60466073557449,0,1,1
74,2.3907,2.5836,2.7746,2.487838290715052,2,1,3
75,2.6685,3.0142,3.3757,3.101468765054282,2,2,4
76,2.6303,2.9637,3.3113,3.0096499106172607,2,1,3
77,2.4289,2.6817,2.948,2.584264032871841,1,1,2
78,2.4016,2.6134,2.8312,2.514510314126563,2,2,4
79,2.5265,2.8211,3.1287,2.777254196001941,2,1,3
80,2.2845,2.4738,2.667,2.347459054092472,2,1,3
81,2.5499,2.8563,3.1724,2.831106530841274,2,1,3
82,2.4517,2.6785,2.9073,2.595301792363852,1,1,2
83,2.3879,2.608,2.8301,2.5025931357148004,1,1,2
84,2.27,2.4434,2.6193,2.3225977818779047,2,1,3
85,2.4369,2.6756,2.9276,2.583234792361755,2,2,4
86,2.3357,2.5311,2.7285,2.417395857637905,2,2,4
87,2.4612,2.723,2.9989,2.639778527148809,0,1,1
88,2.5868,2.8908,3.2085,2.8863445573092816,2,2,4
89,2.4887,2.7639,3.0478,2.695837390329585,0,1,1
90,2.444,2.7012,2.9731,2.610015440749619,1,1,2
91,2.604,2.9379,3.2875,2.965875994974326,2,1,3
92,2.6876,3.0474,3.4295,3.170649470077381,1,2,3
93,2.4885,2.7615,3.0519,2.691828893274661,0,1,1
94,2.5316,2.8077,3.0919,2.7615848722742493,1,2,3
95,2.292,2.4693,2.6489,2.3521130299927364,2,2,4
96,2.5378,2.823,3.1199,2.782410288892928,2,1,3
97,2.5541,2.8442,3.1459,2.814257509610105,1,2,3
98,2.6956,3.0515,3.4265,3.1744919628187747,2,3,5
99,2.4832,2.7504,3.0329,2.6777722329745344,2,1,3
100,2.6601,3.0011,3.3546,3.0758993220494766,2,2,4
101,2.3956,2.6285,2.8663,2.522108761580945,2,1,3
102,2.5609,2.8515,3.1505,2.825723709184849,2,2,4
103,2.697,3.0677,3.457,3.2139365414192924,1,1,2
104,2.8064,3.2298,3.6754,3.613289965286923,1,1,2
105,2.5371,2.8242,3.1262,2.783557191371324,1,1,2
106,2.2991,2.5001,2.7158,2.3702438715666183,2,2,4
107,2.5972,2.8985,3.2058,2.89866442129299,2,2,4
108,2.6651,3.019,3.3912,3.1144098673349085,2,2,4
109,2.5955,2.9084,3.2318,2.9147568927583003,2,2,4
110,2.4943,2.7957,3.1176,2.7344745806336515,2,1,3
111,2.5779,2.8682,3.1634,2.8517962932516845,1,2,3
112,2.5614,2.8303,3.1026,2.7973695744080405,0,2,2
113,2.4525,2.7073,2.9764,2.620138776335644,2,2,4
114,2.4427,2.6957,2.9601,2.6047241133059886,1,2,3
115,2.4254,2.6645,2.9077,2.568927894680642,3,2,5
116,2.4211,2.6549,2.891,2.558784391146987,1,1,2
117,2.3471,2.549,2.7553,2.4356809298206543,2,1,3
118,2.5114,2.7974,3.0943,2.7429390054268783,2,2,4
119,2.4279,2.6737,2.928,2.577486583419617,1,3,4
120,2.5028,2.7994,3.1141,2.742094602848172,1,2,3
121,2.6532,2.9788,3.3097,3.0318369575652344,2,2,4
122,2.5379,2.8302,3.1311,2.792350366179455,2,2,4
123,2.5749,2.9031,3.2464,2.906431388379383,2,2,4
124,2.5828,2.8981,3.2275,2.89802542269607,2,2,4
125,2.5452,2.8543,3.1833,2.8268928038607477,0,3,3
126,2.5814,2.8726,3.1776,2.8582157714213903,2,2,4
127,2.4221,2.6561,2.9002,2.559028236536613,2,1,3
128,2.198,2.3418,2.4882,2.2246283344248883,2,1,3
129,2.6982,3.0426,3.3995,3.1496459921339173,2,1,3
130,2.4918,2.7752,3.0728,2.7092905856027536,1,1,2
131,2.3141,2.503,2.6941,2.3858601115578617,2,1,3
132,2.4633,2.7428,3.0423,2.6605236271594417,2,2,4
133,2.4923,2.7693,3.0613,2.702463436823982,2,2,4
134,2.3974,2.6125,2.8308,2.5116985001875585,2,2,4
135,2.4709,2.7273,2.9929,2.6492397952087186,2,1,3
136,2.747,3.1114,3.4889,3.28701549161364,1,2,3
137,2.4463,2.6661,2.8859,2.582222794782512,2,1,3
138,2.2728,2.4493,2.6325,2.3267834618169743,1,2,3
139,2.7395,3.1076,3.4835,3.279893645818269,2,1,3
