config,dipole_l,dipole_m,dipole_h,muL
46,2.5264,2.8049,3.094,2.7564770393076428
47,2.4215,2.6689,2.9229,2.570070075270685
48,2.3724,2.594,2.8198,2.4821229014255746
49,2.6323,2.9642,3.3115,3.0103134585892515
4,2.5383,2.8309,3.1312,2.7934570922896564
50,2.5578,2.8664,3.1866,2.846961412874772
51,2.6579,3.0173,3.3906,3.1126232486703884
52,2.5018,2.7791,3.0672,2.7177426405291296
53,2.6445,2.9662,3.3069,3.0118143066852863
54,2.4385,2.6751,2.919,2.584645153802774
55,2.422,2.6537,2.8957,2.556967186294997
56,2.4152,2.6565,2.9081,2.5553329846114874
57,2.2782,2.4433,2.6095,2.3298623719799725
58,2.6432,2.9643,3.2942,3.0072263620543436
59,2.4302,2.667,2.9118,2.5730617941163976
5,2.3562,2.5719,2.7961,2.455527368463994
60,2.4806,2.7502,3.0309,2.6771336192107666
61,2.5425,2.833,3.1347,2.7968296786833817
62,2.3169,2.5101,2.7097,2.3909983756818662
63,2.4197,2.6629,2.9196,2.5627462202134543
64,2.3358,2.5286,2.7295,2.4151393284864286
65,2.4357,2.6677,2.9045,2.5771864069636368
66,2.6843,3.0416,3.4107,3.1546339249191684
67,2.5381,2.8267,3.123,2.7877568524797995
68,2.5593,2.842,3.1294,2.81252769047174
69,2.3472,2.553,2.7628,2.4381696307446106
6,2.621,2.9301,3.2508,2.9497010662875724
70,2.179,2.311,2.4449,2.1994922278275717
71,2.4555,2.7183,2.9931,2.6327390042751055
72,2.7025,3.0382,3.3861,3.137463038564369
73,2.4176,2.6529,2.8985,2.5537723496813944
74,2.7849,3.1555,3.5468,3.3812332599841013
75,2.4186,2.6548,2.9011,2.5559439814800187
76,2.5522,2.8501,3.1572,2.8224657423797637
77,2.6583,2.9788,3.3073,3.030897300652382
78,2.6745,3.032,3.4099,3.1404247500307645
79,2.4838,2.7428,3.0169,2.6698701517134737
7,2.4233,2.6508,2.8881,2.5554364857741114
80,2.6305,2.9336,3.2399,2.9542114665417585
81,2.5463,2.8401,3.1439,2.8073836133373495
82,2.5309,2.8263,3.1366,2.7850502900286003
83,2.4553,2.7205,3.0044,2.633776305422892
84,2.4546,2.6936,2.9376,2.6097830560601896
85,2.4252,2.6568,2.8941,2.5621061645475716
86,2.6486,2.973,3.3026,3.021900282204397
87,2.5031,2.7875,3.0833,2.7281650549116847
88,2.1135,2.2187,2.3275,2.119692138164804
89,2.753,3.1229,3.5084,3.3149649426143117
8,2.3573,2.5717,2.7941,2.4562788972886875
90,2.6598,3.0018,3.3582,3.0779220963119918
91,2.3094,2.4985,2.6926,2.379446124157503
92,2.7746,3.145,3.5263,3.3531222650883117
93,2.6795,3.0405,3.4223,3.1580749177257417
94,2.7318,3.098,3.4805,3.2657680866318093
95,2.3944,2.6371,2.8926,2.526597280286798
96,2.5246,2.8004,3.0809,2.7510351535666713
97,2.5527,2.8439,3.1483,2.8135029450952116
98,2.5365,2.8182,3.1081,2.776162944421946
99,2.7666,3.1322,3.5064,3.323154276019872
9,2.6571,2.9987,3.3518,3.071741356347874
