config,dipole_l,dipole_m,dipole_h,muL
63,2.3562,2.5687,2.7886,2.453708870790573
64,2.6654,3.015,3.3809,3.1047252200629436
65,2.3546,2.5675,2.7913,2.451220497439146
66,2.3991,2.624,2.861,2.5196919760931165
67,2.6382,2.9683,3.3084,3.016110454700495
68,2.4948,2.7677,3.052,2.7020047834325025
69,2.5422,2.8406,3.1494,2.807345606553945
6,2.4524,2.6959,2.9401,2.61151238579325
70,2.2606,2.4363,2.6195,2.310910790336515
71,2.749,3.0921,3.4446,3.23383899501247
72,2.5745,2.8559,3.1396,2.833992251197857
73,2.6083,2.9268,3.2621,2.9454894691407776
74,2.5183,2.7955,3.0804,2.742929861636481
75,2.2839,2.4634,2.6524,2.341720731937853
76,2.388,2.605,2.8246,2.500433205251299
77,2.3107,2.5061,2.7081,2.3839766642572826
78,2.3172,2.5179,2.7251,2.3952095116618954
79,2.2947,2.4788,2.6682,2.3581214481011523
7,2.629,2.9549,3.2947,2.993151455360902
80,2.2386,2.3832,2.5339,2.2735531702827787
81,2.6458,2.9665,3.2997,3.011243588965717
82,2.3968,2.6356,2.8861,2.5271406980673308
83,2.4644,2.7064,2.9554,2.626102795641125
84,2.9032,3.3272,3.7785,3.8460177216095635
85,2.6716,2.9906,3.3214,3.0505819656446653
86,2.4644,2.7252,2.9931,2.644553873286993
87,2.4761,2.7451,3.0238,2.669991530476618
88,2.4914,2.7622,3.0503,2.693712482831017
89,2.5859,2.9053,3.247,2.910009752204022
8,2.312,2.5057,2.7027,2.3853386776801915
90,2.3958,2.6155,2.8437,2.5119616771956927
91,2.2508,2.4075,2.5636,2.2929874159919725
92,2.3975,2.6575,2.9345,2.5442923450534067
93,2.3649,2.5887,2.8267,2.4716342837762024
94,2.4392,2.6886,2.9515,2.596017649022135
95,2.3593,2.5566,2.7588,2.448945214823108
96,2.6848,3.0391,3.4063,3.1489046995621934
97,2.4576,2.7299,3.0187,2.644821289727191
98,2.6287,2.93,3.2433,2.9487906347162847
99,2.4408,2.6812,2.9273,2.591486432430755
9,2.2819,2.4657,2.657,2.341246896618578
