config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.5057,2.7724,3.0484,2.7114267963590306,2,1,3
2,2.4341,2.6952,2.967,2.599904803577714,1,2,3
3,2.5961,2.9071,3.2264,2.912560017445712,2,2,4
4,2.5081,2.7821,3.0637,2.7237321863762203,0,1,1
5,2.3369,2.5264,2.7184,2.415665250041945,2,1,3
6,2.2563,2.4261,2.606,2.3030323460488766,1,1,2
7,2.4854,2.7651,3.0568,2.695526829167582,1,1,2
8,2.5179,2.793,3.0729,2.740099045292602,1,1,2
9,2.5268,2.7921,3.0653,2.7411806072361866,2,1,3
10,2.4052,2.5973,2.7896,2.506371929127447,2,1,3
11,2.6142,2.93,3.2544,2.950056013941452,1,1,2
12,2.6632,2.98,3.3055,3.031998433621037,1,1,2
13,2.5588,2.8633,3.1818,2.842295339326753,0,2,2
14,2.5617,2.8758,3.2019,2.861692614930581,1,2,3
15,2.5387,2.825,3.1219,2.7853540465094366,2,2,4
16,2.5737,2.8859,3.2091,2.8782378706953984,1,2,3
17,2.9067,3.3353,3.7855,3.8605170405635594,2,2,4
18,2.5483,2.812,3.0783,2.771467548160752,2,3,5
19,2.1818,2.2954,2.4155,2.1990565585497968,2,1,3
20,2.5219,2.8072,3.1016,2.758383110715971,2,1,3
21,2.623,2.9034,3.1842,2.906056558161127,2,2,4
22,2.8077,3.2197,3.6525,3.56835138053062,2,2,4
23,2.5769,2.8733,3.1867,2.858808787360924,2,1,3
24,2.6578,2.9774,3.3043,3.028251480324701,2,0,2
25,2.4914,2.7694,3.061,2.7024482246237227,0,2,2
26,2.7325,3.1073,3.4975,3.289994027778673,2,2,4
27,2.4848,2.7628,3.0536,2.692562040709953,1,1,2
28,2.4384,2.6985,2.9691,2.6052891173754547,0,1,1
29,2.6409,2.9799,3.3377,3.0397037857237392,1,2,3
30,2.6041,2.9181,3.2424,2.9305818713566216,1,0,1
31,2.3728,2.5938,2.8218,2.481783950795139,0,2,2
32,2.6989,3.0662,3.4471,3.2063485674573045,1,1,2
33,2.6166,2.9156,3.2231,2.9256517095048657,2,2,4
34,2.5298,2.7859,3.0446,2.735311853528945,1,1,2
35,2.6466,2.966,3.2963,3.009920715964608,2,2,4
36,2.5393,2.809,3.0826,2.7655172387541365,1,1,2
37,2.5102,2.7802,3.0607,2.7217952515365176,2,1,3
38,2.73,3.0875,3.4558,3.236777645333276,0,1,1
39,2.6215,2.9638,3.3288,3.013069908185833,1,1,2
40,2.4313,2.6506,2.8734,2.560823909125791,2,2,4
41,2.4986,2.7798,3.0826,2.7161036257617783,2,1,3
42,2.492,2.7748,3.0691,2.709251832686079,1,2,3
43,2.597,2.9163,3.2488,2.9280498802730426,1,1,2
44,2.8374,3.2461,3.6782,3.623063314098567,2,2,4
45,2.4192,2.6504,2.8911,2.5528035615064453,2,2,4
46,2.542,2.8221,3.1114,2.782354972460769,2,2,4
47,2.7097,3.0679,3.4436,3.205090686309259,2,2,4
48,2.5785,2.8612,3.1536,2.8415419255589827,2,2,4
49,2.3842,2.6113,2.8481,2.501207882982353,2,1,3
50,2.4667,2.737,3.0175,2.6573098478409305,1,2,3
51,2.5019,2.7824,3.0761,2.7213941344780794,1,1,2
52,2.5879,2.9054,3.2313,2.9099648589535145,2,2,4
53,2.6698,3.0187,3.3844,3.1111212081526847,2,2,4
54,2.4783,2.7749,3.0861,2.704037116789208,2,1,3
55,2.4082,2.633,2.8665,2.532697086066372,2,1,3
56,2.4746,2.7288,2.9886,2.6529121005950675,1,2,3
57,2.4362,2.6792,2.9247,2.5878187648517166,2,1,3
58,2.3604,2.5836,2.8122,2.4665808358834145,1,2,3
59,2.5247,2.8043,3.0903,2.755733854226649,2,3,5
60,2.5466,2.8136,3.0851,2.772905706631204,2,1,3
61,2.6647,2.9747,3.2907,3.0212847811310346,2,2,4
62,2.5794,2.8849,3.2025,2.876873888001043,2,2,4
63,2.6061,2.9223,3.252,2.937722969899246,2,2,4
