config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,1.8003,1.7817,1.7631,1.8062283433058297,0,0,0
2,1.8509,1.8526,1.8544,1.850465765605363,0,0,0
3,1.8473,1.8475,1.8478,1.847263246781503,0,0,0
4,1.95,1.9842,2.0187,1.944850917166824,0,0,0
5,1.8502,1.8515,1.8527,1.849884157079643,0,0,0
6,1.7765,1.7482,1.7198,1.7862370427823675,0,1,1
7,1.8494,1.852,1.8554,1.8488405834127453,0,0,0
8,1.9026,1.9266,1.9516,1.8977282929589696,0,0,0
9,1.8417,1.8395,1.8373,1.8423053522863864,0,0,0
10,1.973,2.0225,2.0723,1.966845393543352,1,0,1
11,1.8412,1.839,1.8367,1.841837049426401,0,0,0
12,1.844,1.843,1.842,1.8442727841826063,0,0,0
13,1.8329,1.8274,1.8219,1.8344654534395763,0,0,0
14,1.8506,1.8522,1.8537,1.850204955261791,0,0,0
15,1.8427,1.841,1.8393,1.8431660053123664,0,0,0
16,1.8447,1.844,1.8432,1.8449206679962808,0,0,0
17,1.8449,1.844,1.8432,1.8451618163562984,0,0,0
18,1.8564,1.8606,1.8649,1.8553267099512327,0,0,0
19,1.8428,1.8412,1.8396,1.843238453249636,0,0,0
20,1.8521,1.854,1.856,1.851615235883201,0,0,0
21,1.8366,1.8324,1.8281,1.8378091737032909,0,0,0
22,1.8411,1.8389,1.8366,1.8417373204088745,0,0,0
23,1.8443,1.8434,1.8426,1.8445625235904195,0,0,0
24,1.8444,1.8445,1.8454,1.844511450407416,0,0,0
25,1.8463,1.8469,1.8475,1.8461376807635883,0,0,0
26,1.8466,1.8468,1.847,1.8465459922064311,0,0,0
27,1.8646,1.8718,1.8791,1.86281281406216,0,0,0
28,1.8568,1.8607,1.8647,1.8558067573742276,0,0,0
29,1.8736,1.8846,1.8957,1.8709689266705551,0,0,0
30,1.8544,1.8574,1.8605,1.8536320479983683,0,0,0
31,1.8224,1.8127,1.8029,1.8252997105356972,0,0,0
32,1.8367,1.8327,1.8287,1.8378222961750448,0,0,0
33,1.8326,1.827,1.8215,1.834213923158344,0,0,0
34,1.8459,1.8456,1.8452,1.8460114062608133,0,0,0
35,1.8304,1.8238,1.8172,1.8322958368776825,0,0,0
36,1.9019,1.9242,1.9466,1.8972563998840888,0,0,0
37,1.8616,1.868,1.8746,1.8600076127472376,0,0,0
38,1.8508,1.8519,1.853,1.8505082205712,0,0,0
39,1.8614,1.8671,1.8729,1.8599690892289988,0,0,0
40,1.9148,1.9417,1.9685,1.909611010423375,0,0,0
41,1.8198,1.8089,1.7981,1.8230717929841256,0,0,0
42,1.8461,1.8458,1.8455,1.8461811438718825,0,0,0
43,1.8766,1.8884,1.9002,1.8738019412884592,0,0,0
44,1.8325,1.8267,1.821,1.8341712126962448,0,0,0
45,1.8481,1.8486,1.8491,1.8479658378465909,0,0,0
46,1.8611,1.8674,1.8738,1.859513366306552,0,0,0
47,1.8538,1.8564,1.859,1.8531185355594808,0,0,0
48,1.9159,1.9449,1.9764,1.9105993845337836,0,0,0
49,1.8975,1.9185,1.9402,1.8931006652419715,0,0,0
50,1.936,1.9717,2.0075,1.929965968378452,0,0,0
51,1.8566,1.8603,1.8641,1.8556578768437952,0,0,0
52,1.8434,1.8421,1.8407,1.84378571938112,0,0,0
53,1.8133,1.7998,1.7862,1.81745177811549,0,0,0
54,1.8157,1.8035,1.7912,1.8194258479985208,0,0,0
55,1.8338,1.8287,1.8236,1.8352467900600369,0,0,0
56,1.8402,1.8378,1.8354,1.8408645602086555,0,0,0
57,1.852,1.8542,1.8564,1.851418860536021,0,0,0
58,1.8446,1.8448,1.8458,1.844684113670137,0,0,0
59,1.8093,1.7947,1.7803,1.813859414366148,0,0,0
60,1.8455,1.8453,1.8452,1.845571481857803,0,0,0
61,1.8502,1.8519,1.8535,1.849777541569258,0,0,0
62,1.8505,1.8521,1.8537,1.850074756008141,0,0,0
63,1.8564,1.8601,1.8639,1.85545699767822,0,0,0
64,1.8665,1.8745,1.8824,1.86454263781451,0,0,0
65,1.8536,1.8567,1.8598,1.852786240699572,0,0,0
66,1.8703,1.88,1.8899,1.8679618695522249,0,0,0
67,1.996,2.0584,2.1219,1.9900196427833616,0,0,0
68,1.8571,1.8611,1.8652,1.8560821770391964,0,0,0
69,1.8492,1.8502,1.8512,1.848932843486945,0,0,0
70,1.8287,1.8214,1.8141,1.8308100091936184,0,0,0
71,2.02,2.1136,2.2162,2.013975794357773,0,1,1
72,1.877,1.8891,1.8995,1.874626900457714,0,0,0
73,2.009,2.08,2.1532,2.0033695286423856,0,0,0
74,1.8909,1.9087,1.9266,1.8869758940275307,0,0,0
75,1.8514,1.8533,1.8552,1.850896909201828,0,0,0
76,1.8867,1.9024,1.918,1.8831829794283363,0,0,0
77,1.8475,1.8476,1.8476,1.8475032225177093,0,0,0
78,1.8476,1.8478,1.8481,1.8475632913873328,0,0,0
79,1.8464,1.8464,1.8464,1.8464000000000005,0,0,0
80,1.8497,1.8508,1.8519,1.849406757384257,0,0,0
81,1.8875,1.904,1.9205,1.883786411266176,0,0,0
82,1.9045,1.9278,1.951,1.8997315848711664,0,0,0
83,1.8438,1.8426,1.8413,1.844157820438308,0,0,0
84,1.852,1.8546,1.8572,1.8513128660071567,0,0,0
85,1.8517,1.8548,1.8585,1.8509799010124823,0,0,0
86,1.8351,1.8303,1.8255,1.8364546830087105,0,0,0
87,1.8381,1.8358,1.8343,1.8388852851461783,0,0,0
88,1.8558,1.8594,1.863,1.8548640223563977,0,0,0
89,1.8478,1.8482,1.8486,1.847692538258372,0,0,0
