config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.4406,2.6958,2.9688,2.60267397479168,0,1,1
2,2.5408,2.8353,3.1409,2.79966983396177,0,1,1
3,2.4147,2.6517,2.8979,2.5512844938318,1,1,2
4,2.3299,2.5518,2.7913,2.42204815840257,1,1,2
5,2.4267,2.6477,2.8687,2.55649966626144,0,1,1
6,2.7834,3.1596,3.5467,3.38657985273687,1,1,2
7,2.4791,2.7448,3.0159,2.67152441438249,1,1,2
8,2.4439,2.7083,2.9857,2.61707327494932,1,0,1
9,2.6978,3.0517,3.4173,3.17072349615131,0,0,0
10,2.4775,2.7272,2.9789,2.6530673331893,1,1,2
11,2.4666,2.7266,2.9948,2.64678780718109,1,0,1
12,2.5456,2.8289,3.1189,2.79228404159318,0,1,1
13,2.5535,2.8591,3.1832,2.83518861224777,2,1,3
14,2.4266,2.6547,2.8888,2.56111768641747,2,1,3
15,2.4848,2.7549,3.036,2.68395711479192,1,0,1
16,2.3271,2.541,2.7672,2.41457428165664,0,0,0
17,2.4345,2.6764,2.9298,2.58294435830354,1,0,1
18,2.2303,2.3922,2.5625,2.26827044645603,1,0,1
19,2.4152,2.6543,2.901,2.5539796742021,0,0,0
20,2.4535,2.6938,2.9446,2.60854408489373,0,1,1
21,2.3123,2.504,2.6984,2.38483075945438,0,1,1
22,2.4436,2.7042,2.9749,2.6134373123766,1,1,2
23,2.4379,2.7294,3.0376,2.63489142369441,0,0,0
24,2.2036,2.3502,2.499,2.23209716981179,0,0,0
25,2.4081,2.6467,2.9047,2.541550798304,1,1,2
26,2.3908,2.6047,2.8241,2.50154875039944,1,1,2
27,2.4741,2.75,3.0361,2.67443171481892,1,1,2
28,2.5162,2.7883,3.0755,2.73270581188505,1,0,1
29,2.6484,3.007,3.3799,3.09377602759114,0,1,1
30,2.4367,2.6753,2.9217,2.58377816805025,1,1,2
31,2.4452,2.6931,2.953,2.60349147415331,2,1,3
32,2.323,2.5231,2.7291,2.40263424870521,1,1,2
33,2.5858,2.8838,3.1899,2.8755261647394,0,1,1
34,2.6691,3.0209,3.3857,3.11526076214782,0,0,0
35,2.1778,2.3116,2.4567,2.19766770889431,0,0,0
36,2.3027,2.4832,2.6692,2.3667107221253,0,0,0
37,2.5048,2.743,2.9824,2.68015636620161,0,0,0
38,2.5338,2.8107,3.1016,2.76531505357724,0,1,1
39,2.2339,2.3761,2.5254,2.26707244785991,0,0,0
40,2.2615,2.4088,2.5569,2.30280401601669,0,0,0
41,2.569,2.8643,3.1708,2.84497680129238,1,0,1
42,2.3143,2.5226,2.7389,2.39508212878497,1,0,1
43,2.4271,2.6506,2.8816,2.55781521258183,0,1,1
44,2.3436,2.5599,2.7854,2.43874378718169,1,1,2
45,2.2704,2.4405,2.6162,2.32142362974852,0,1,1
46,2.3349,2.5538,2.7805,2.42873350006373,0,1,1
