config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.3918,2.6411,2.9,2.52865052691301,0,1,1
2,2.5708,2.8792,3.2017,2.86751301969963,1,1,2
3,2.577,2.8877,3.2171,2.88108076636506,0,1,1
4,2.6482,2.9705,3.2943,3.01676375544619,1,1,2
5,2.3684,2.5876,2.8147,2.47443067154046,0,1,1
6,2.5828,2.8901,3.2111,2.88514089978229,2,1,3
7,2.6612,3.0058,3.3661,3.08622843546358,3,1,4
8,2.5806,2.9119,3.2666,2.92159152158487,0,0,0
9,2.4696,2.7186,2.9731,2.64052069515537,0,1,1
10,2.6818,3.0415,3.4195,3.15821492839794,1,1,2
11,2.5202,2.7854,3.0559,2.73161819921855,1,1,2
12,2.5528,2.8704,3.2037,2.85242755553365,2,0,2
13,2.2307,2.3888,2.5561,2.267553722102,0,0,0
14,2.6127,2.9363,3.2716,2.96151951744221,0,1,1
15,2.3633,2.5637,2.775,2.45510671919563,2,1,3
16,2.4831,2.7531,3.035,2.68118239548412,1,1,2
17,2.5873,2.9073,3.2479,2.91333291739105,0,1,1
18,2.3288,2.5376,2.7652,2.41295940362146,2,1,3
19,2.4609,2.7234,2.9981,2.6403452379377,1,0,1
20,2.5755,2.8634,3.1565,2.84460158676627,0,1,1
21,2.688,3.0309,3.3882,3.1290577041025,1,1,2
22,2.8818,3.3159,3.7735,3.83575956959615,0,1,1
23,2.6265,2.9453,3.2792,2.97603626345225,0,1,1
24,2.3675,2.5712,2.7744,2.46446234689162,2,1,3
25,2.59,2.9016,3.2215,2.90368531541773,2,1,3
26,2.6281,2.9675,3.3234,3.01793384889876,2,0,2
27,2.4387,2.6971,2.9684,2.60372431637788,1,1,2
28,2.4722,2.7452,3.0335,2.66764765348897,0,0,0
29,2.6529,2.9898,3.3376,3.05468324256106,0,1,1
30,2.4356,2.6444,2.8545,2.55860884546408,1,1,2
31,2.5893,2.8849,3.1892,2.8773407233825,1,1,2
32,2.5756,2.8686,3.1843,2.8514456294692,0,1,1
33,2.4479,2.6714,2.8972,2.58717880223179,0,1,1
34,2.3863,2.6456,2.9245,2.52690229315114,1,1,2
35,2.3577,2.5712,2.7914,2.45647028394162,2,1,3
36,2.4714,2.7366,3.0223,2.65734149460583,2,0,2
37,2.6704,3.0239,3.3923,3.12198304077379,0,0,0
38,2.5839,2.8861,3.1988,2.87894876685105,0,1,1
39,2.35,2.5802,2.8223,2.45570065860756,0,1,1
40,2.6181,2.9645,3.3291,3.01467894269268,0,1,1
41,2.4809,2.7395,3.0065,2.66619280650198,1,1,2
42,2.4213,2.6447,2.8705,2.55063469127004,2,1,3
43,2.5451,2.8301,3.1289,2.79318684426934,1,0,1
44,2.4523,2.6987,2.9587,2.61199233038999,1,1,2
45,2.4795,2.7119,2.948,2.63865419594704,1,0,1
46,2.2711,2.4507,2.6353,2.32607262785231,0,1,1
47,2.4389,2.6676,2.8997,2.57904657086224,0,0,0
48,2.456,2.7017,2.956,2.61741871871989,0,1,1
49,2.6315,2.9504,3.2775,2.98384423495422,0,1,1
50,2.3426,2.5401,2.7493,2.42605051493267,0,1,1
51,2.5618,2.8503,3.1511,2.82390814210403,0,1,1
52,2.689,3.0527,3.4361,3.18176925380002,0,1,1
53,2.7665,3.1454,3.5361,3.36346122673202,0,1,1
54,2.316,2.4992,2.6871,2.38513132278299,1,0,1
55,2.5869,2.8846,3.1912,2.87678137772927,0,0,0
56,2.6288,2.9465,3.2779,2.97772575498405,1,1,2
57,2.7331,3.1152,3.5228,3.31926976693957,0,1,1
58,2.5853,2.8989,3.2265,2.89933152058782,0,0,0
59,2.4474,2.677,2.9099,2.59159773630121,2,1,3
60,2.4746,2.7146,2.9604,2.63878363712637,0,1,1
61,2.5178,2.7955,3.0891,2.74183906655497,0,1,1
62,2.507,2.7783,3.0609,2.71843832747632,0,1,1
63,2.256,2.4149,2.5809,2.29925183989841,1,1,2
64,2.3912,2.6149,2.8461,2.50875237993937,1,1,2
65,2.3187,2.4985,2.68,2.38737909531133,2,0,2
66,2.5326,2.8032,3.0798,2.7564450678827,0,1,1
67,2.5043,2.7844,3.0808,2.72417602262876,0,1,1
68,2.4881,2.7444,3.0127,2.67373237428626,0,1,1
69,2.5781,2.8819,3.1992,2.87211917878143,0,1,1
70,2.3114,2.4797,2.6497,2.37269230010639,0,1,1
71,2.4877,2.7589,3.0366,2.69014133260676,0,1,1
72,2.6444,2.9735,3.3123,3.02456993154122,2,1,3
