config,dipole_l,dipole_m,dipole_h,muL
178,2.0483,2.1299,2.2144,2.045959279284007
188,2.0482,2.1244,2.1998,2.0461345218376934
26,2.1913,2.3263,2.4618,2.2148544893483972
30,1.8241,1.8184,1.813,1.8258390736618502
169,2.409,2.6193,2.8321,2.5239353945917706
158,2.2051,2.3599,2.5195,2.235655224802171
22,2.1401,2.2723,2.4108,2.153050482225089
15,2.0934,2.1934,2.2942,2.0965786685845194
37,2.3373,2.5319,2.7313,2.4186025029104714
47,2.2107,2.361,2.5163,2.2413662001382795
7,2.0464,2.1323,2.2225,2.0437295228989916
163,2.0454,2.1253,2.2072,2.042794067722974
173,2.2188,2.3647,2.5108,2.2505713310595934
46,2.3328,2.5623,2.8089,2.430595547698309
148,2.0889,2.1872,2.2874,2.091398034066335
57,2.1032,2.2191,2.3405,2.108436880475038
65,2.3148,2.5187,2.7257,2.394230321700877
44,2.3666,2.576,2.7904,2.4661034953260477
12,2.2031,2.3602,2.5227,2.2336997957767726
121,2.0642,2.1516,2.2395,2.0634995593580605
197,2.2654,2.4606,2.663,2.324618697061611
40,1.9833,2.0355,2.0878,1.9774630372253506
60,2.216,2.3712,2.5326,2.2489941035757672
111,2.2393,2.4064,2.5824,2.2810040082304233
155,1.9845,2.0422,2.1016,1.9781971851091922
189,2.0547,2.1446,2.2388,2.0528691497140175
154,2.3373,2.5568,2.7986,2.429927777516907
139,2.0496,2.1394,2.2341,2.047178117764804
174,2.3423,2.5544,2.7728,2.4349665463540684
106,2.3195,2.5077,2.7005,2.392131490176776
25,2.515,2.8144,3.1239,2.7658692874141746
141,2.1958,2.3382,2.4804,2.221912391130839
191,2.4636,2.7051,2.9511,2.6248872541451895
76,2.278,2.4788,2.6914,2.3428154735014215
4,2.2679,2.4202,2.5721,2.3124767937152284
198,2.1055,2.2208,2.3415,2.11107025457152
107,1.9682,2.019,2.0715,1.9616706422730381
115,2.1492,2.2772,2.4101,2.1633631806661113
187,2.1477,2.2689,2.3918,2.16089886246856
100,2.2069,2.3551,2.5061,2.236434763348695
42,1.9698,2.0203,2.0715,1.9633365690867592
144,2.2078,2.3512,2.4967,2.2364254597968425
85,2.359,2.5557,2.7493,2.4487374892296767
195,2.068,2.1554,2.2417,2.0679523073245805
58,1.8038,1.7873,1.7721,1.809267758010616
200,2.2687,2.4395,2.6119,2.320082691947478
88,2.0579,2.1558,2.2598,2.0563156270025753
116,1.9646,2.0171,2.0726,1.957701711623698
184,1.8361,1.8332,1.8308,1.837006729565636
165,2.1321,2.2462,2.361,2.1419674297628157
159,2.1607,2.3183,2.4833,2.1814520210453194
175,2.4181,2.6517,2.8918,2.5537287413574266
110,2.295,2.5036,2.7187,2.3697120866865227
117,2.1624,2.3026,2.4493,2.1807486281727266
69,2.3372,2.5327,2.7291,2.4195894071059296
152,2.3384,2.549,2.7686,2.4284099656465306
92,2.1584,2.2952,2.4373,2.175511087787973
33,1.9968,2.0536,2.1092,1.9916735154729737
72,2.277,2.4573,2.6409,2.33411581335506
91,2.0802,2.174,2.2729,2.081444549141085
133,2.0468,2.1311,2.2194,2.04422479165513
96,2.1704,2.3057,2.4457,2.189631553345117
164,2.4373,2.6569,2.879,2.5693990199050467
135,2.2189,2.3693,2.5211,2.2517659450237297
112,2.3722,2.5903,2.8123,2.479538465576138
49,2.5797,2.8797,3.1879,2.86896108797276
77,2.4572,2.6778,2.8999,2.597519063429515
64,2.28,2.4509,2.6242,2.3342433573803234
146,2.2398,2.3995,2.5634,2.279843372736989
104,2.1741,2.3085,2.4468,2.193943822284738
134,2.0973,2.194,2.2904,2.1009393837011565
27,2.1876,2.3234,2.4659,2.210076315422028
73,1.8928,1.9145,1.9388,1.888384575326195
28,2.1462,2.291,2.4471,2.1616428603350735
78,2.1424,2.2703,2.4039,2.1552862393458194
105,2.2255,2.386,2.5494,2.262528372051088
29,2.4749,2.6906,2.909,2.617059064663605
101,2.0096,2.0816,2.1572,2.004003402472745
102,2.2628,2.4652,2.6896,2.3220387544801424
38,2.37,2.5835,2.808,2.472315564837891
186,1.9626,2.0181,2.0778,1.955229119456096
1,2.1372,2.2651,2.4003,2.1490750393352704
143,2.3583,2.5843,2.8253,2.463890262468879
177,1.9835,2.0325,2.0804,1.9783094393322145
123,2.0901,2.1936,2.3006,2.092895625914182
132,2.2217,2.4225,2.6322,2.269140360425635
68,2.0531,2.141,2.231,2.051102236271851
130,2.2685,2.4273,2.5882,2.3152918249223307
182,2.1256,2.2432,2.3625,2.134706385137973
161,2.1393,2.2361,2.3296,2.1488981248089813
181,2.2213,2.3479,2.4707,2.248842319270399
56,1.9006,1.9211,1.9431,1.8964909490677495
3,2.1698,2.2985,2.4284,2.188050413198155
74,1.9941,2.069,2.152,1.9870284002193674
