config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.3034,2.4837,2.6652,2.368145417325864,0,2,2
2,2.4434,2.6757,2.9133,2.5880731432616826,2,2,4
3,2.3601,2.6047,2.8669,2.478529564600261,0,1,1
4,2.2801,2.475,2.6794,2.3433519508064817,0,1,1
5,2.3498,2.5609,2.7791,2.444303346522985,1,1,2
6,2.454,2.736,3.0349,2.6495345784442,1,1,2
7,2.1989,2.3764,2.567,2.232711553497181,0,1,1
8,2.8083,3.1964,3.5971,3.473390678568167,2,2,4
9,2.2858,2.4713,2.6645,2.346950057802616,2,1,3
10,2.3604,2.5744,2.794,2.460609207207921,1,1,2
11,2.2544,2.4211,2.5897,2.300601086943116,0,1,1
12,2.3121,2.5774,2.8581,2.4233874747667805,0,2,2
13,2.5215,2.8098,3.1044,2.7619097991104,0,1,1
14,2.3662,2.5912,2.8237,2.475366502165881,2,1,3
15,2.5509,2.8485,3.1552,2.820000221771184,0,1,1
16,2.1614,2.2888,2.421,2.177670440574482,1,1,2
17,2.3029,2.5157,2.7401,2.381567632901048,2,0,2
18,2.5452,2.8458,3.1537,2.815411905046697,1,1,2
19,2.3663,2.5818,2.8044,2.4692859740916115,0,0,0
20,2.0836,2.1831,2.2845,2.0854166554723914,1,0,1
21,2.6848,3.0205,3.3644,3.10603934474222,2,2,4
22,2.4176,2.6478,2.8811,2.550856981281708,1,0,1
23,2.4871,2.7386,2.9924,2.668643099055401,2,0,2
24,2.5249,2.8002,3.0808,2.7508022767412466,1,1,2
25,2.5408,2.8243,3.1166,2.7850291349614578,0,0,0
26,2.2785,2.4394,2.6045,2.328187622771982,1,1,2
27,2.4429,2.678,2.9191,2.58970813255151,1,1,2
28,2.3072,2.4809,2.6545,2.3701216232027136,1,1,2
29,2.126,2.2668,2.4182,2.136967348148897,0,0,0
30,2.4462,2.6925,2.945,2.6043956762594407,2,2,4
31,2.592,2.902,3.2182,2.904300355838343,0,2,2
32,2.3439,2.5569,2.7788,2.4372211926700804,0,1,1
33,2.2189,2.3667,2.5153,2.251134552258921,1,1,2
34,2.3087,2.4775,2.6483,2.369488074745945,1,2,3
35,2.2009,2.3386,2.4734,2.227228303378182,1,1,2
36,2.1805,2.3088,2.438,2.200660842653908,0,0,0
37,2.4396,2.6766,2.9191,2.5868335630489177,0,0,0
38,2.3143,2.5029,2.6942,2.385894601165721,0,1,1
39,2.3268,2.5186,2.7134,2.4036955613662085,1,1,2
40,2.4223,2.6622,2.9106,2.564493597154604,1,1,2
41,2.7374,3.1082,3.4923,3.286780657546019,1,2,3
42,2.3848,2.6006,2.8178,2.495464368651875,0,1,1
43,2.2773,2.4528,2.6323,2.3324603033287885,1,1,2
44,2.498,2.7494,3.0073,2.683626151901474,1,1,2
45,2.4023,2.6219,2.8491,2.520891737773665,2,1,3
46,2.5649,2.8673,3.1762,2.849229277538794,1,2,3
47,2.4122,2.6547,2.9109,2.551494102276091,1,1,2
48,2.5462,2.8432,3.1504,2.8116872270247213,0,2,2
49,2.6391,2.952,3.2824,2.9863225040118517,2,2,4
50,2.2558,2.4634,2.6883,2.315507819592488,1,1,2
51,2.4188,2.6663,2.9203,2.5663179440920536,1,2,3
52,2.3703,2.5837,2.8052,2.473142093316863,1,2,3
53,2.1465,2.2706,2.3979,2.1597770505315457,1,0,1
54,2.1154,2.2283,2.3419,2.12251865587307,0,0,0
55,2.3092,2.5249,2.755,2.391090861789923,1,1,2
56,2.337,2.5697,2.8126,2.4395448822812646,0,2,2
57,2.3279,2.532,2.7446,2.4108434273907973,1,1,2
58,2.1808,2.3183,2.4594,2.2025409732873054,0,0,0
59,2.4462,2.6989,2.9588,2.6101842998949443,0,1,1
60,2.1982,2.335,2.475,2.2232511245358744,0,1,1
61,2.3437,2.5498,2.7618,2.433377706030341,1,0,1
62,2.6526,2.9683,3.2913,3.0124084217215263,1,0,1
