config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.4394,2.6718,2.9063,2.583118388329963,0,1,1
2,2.4249,2.6696,2.926,2.571719970880093,0,0,0
3,2.3417,2.5433,2.7495,2.428338933084891,0,0,0
4,2.2943,2.5066,2.7285,2.3700886509801324,0,0,0
5,2.2402,2.3979,2.5599,2.279700420608576,2,1,3
6,2.2391,2.4069,2.5872,2.2805503787058035,1,0,1
7,2.8244,3.2081,3.608,3.494369764054101,0,0,0
8,2.3821,2.577,2.7724,2.4780412251914274,0,1,1
9,2.522,2.7878,3.0601,2.7348441823053364,1,1,2
10,2.2584,2.4347,2.6201,2.308135908944154,0,0,0
11,2.5518,2.8331,3.1203,2.799127730456004,0,1,1
12,2.1585,2.2867,2.416,2.174611212284892,1,0,1
13,2.4594,2.6967,2.9353,2.6155488788195784,0,1,1
14,2.2792,2.4448,2.612,2.3312404780883687,1,0,1
15,2.2114,2.3741,2.5483,2.2447477449475604,0,0,0
16,2.4807,2.771,3.0753,2.7003643905358574,0,1,1
17,2.2385,2.4121,2.5916,2.28244295218563,0,1,1
18,2.4675,2.7225,2.986,2.643000400045222,1,0,1
19,2.2765,2.4559,2.6381,2.333181327432003,0,0,0
20,2.5669,2.8448,3.1314,2.817240141476909,1,1,2
21,2.2752,2.4544,2.6417,2.330713885640839,0,1,1
22,2.3908,2.6034,2.8206,2.5007885240192054,0,1,1
23,2.3068,2.5079,2.7188,2.3811868218120407,0,0,0
24,2.3088,2.4936,2.6797,2.3771640984125875,0,0,0
25,2.0904,2.1919,2.2983,2.093152810807834,0,0,0
26,2.4594,2.7151,2.9807,2.631730365788561,1,1,2
27,2.4458,2.7045,2.9718,2.6150739538922174,1,0,1
28,2.3365,2.5397,2.751,2.421801915704074,0,0,0
29,2.4137,2.6418,2.8856,2.5416561930207764,0,1,1
30,2.5644,2.8431,3.1465,2.8134273309549727,1,1,2
31,2.2144,2.3859,2.5665,2.25109817442562,0,0,0
32,2.5045,2.8161,3.1426,2.7649428060196617,1,0,1
33,2.4526,2.7049,2.9728,2.617675158703096,1,1,2
34,2.0756,2.1739,2.2754,2.076320033224599,0,1,1
35,2.2072,2.3371,2.4683,2.2325770318139804,0,0,0
36,2.1934,2.3309,2.474,2.2174487108028798,0,1,1
37,2.5085,2.8061,3.1111,2.753587884819808,1,0,1
38,2.3248,2.53,2.7468,2.4068316149879374,1,0,1
39,2.5106,2.7791,3.0512,2.721495792396116,1,0,1
40,2.4017,2.629,2.8613,2.526288425108917,0,1,1
41,2.2893,2.4777,2.6691,2.353407881934397,1,1,2
42,2.3275,2.5219,2.724,2.405238347656226,0,1,1
43,2.6031,2.9215,3.2538,2.936593104538571,0,0,0
44,2.338,2.5585,2.7904,2.433295067412813,0,0,0
45,2.2438,2.3939,2.5431,2.282287207699746,0,1,1
46,2.2375,2.3833,2.5287,2.2732831441652928,0,0,0
47,2.1306,2.276,2.4411,2.1425212571926457,0,1,1
48,2.5269,2.8176,3.1228,2.7725499571031484,0,0,0
49,2.4388,2.6789,2.9291,2.587672799679379,1,0,1
50,2.4568,2.6933,2.9326,2.6109324176085336,1,1,2
51,2.3555,2.5426,2.7292,2.438757516104918,0,1,1
52,2.3531,2.543,2.7344,2.43705674711205,1,1,2
53,2.3424,2.5602,2.7854,2.438323393726092,0,1,1
54,2.1031,2.2151,2.3394,2.107943222772,1,1,2
55,2.3809,2.5851,2.7925,2.482080890585767,0,1,1
56,2.5509,2.8213,3.0927,2.7839160316528084,0,1,1
57,2.4144,2.6361,2.869,2.53838483984573,0,0,0
58,2.2777,2.4387,2.602,2.3274866440526703,0,0,0
59,2.7298,3.0576,3.3975,3.166329078264952,0,0,0
60,2.3664,2.5754,2.7874,2.4659139203176115,1,0,1
61,2.5723,2.8972,3.2387,2.8965152932046383,0,0,0
62,2.3404,2.5494,2.7647,2.43060102827855,0,1,1
63,2.3867,2.6003,2.8202,2.495677309422305,0,0,0
64,2.311,2.4986,2.69,2.3809707974508405,0,1,1
65,2.4492,2.7181,3.0003,2.62932260001416,1,1,2
66,2.5454,2.8146,3.0908,2.773659532468513,0,1,1
67,2.6009,2.902,3.2096,2.904198720831616,0,0,0
68,2.3871,2.6027,2.8275,2.497118253800662,0,0,0
69,2.5771,2.8879,3.2101,2.881520691924848,0,1,1
70,2.4685,2.7227,2.985,2.6437082340451954,0,0,0
71,2.2687,2.4606,2.6606,2.327462555938113,0,0,0
72,2.5239,2.8071,3.1065,2.7580091781928022,2,0,2
73,2.2484,2.3962,2.5434,2.287153182957615,1,0,1
74,2.4249,2.6493,2.8806,2.555621887067834,0,1,1
