config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.1585,2.2864,2.4181,2.174390904479348,0,1,1
2,2.4631,2.7138,2.973,2.6323945399902966,1,0,1
3,2.4638,2.6933,2.9344,2.6129189118339657,1,1,2
4,2.2431,2.4186,2.602,2.2886382669624883,2,1,3
5,2.4938,2.743,2.9982,2.6753349104020536,1,1,2
6,2.4076,2.6457,2.8858,2.543444138532804,1,1,2
7,2.5548,2.8281,3.1091,2.7929194704617037,1,2,3
8,2.3742,2.6006,2.8331,2.4875600470968635,0,2,2
9,2.7003,3.0444,3.4024,3.1531245335242457,1,2,3
10,2.3875,2.6088,2.8326,2.5028173783658976,0,2,2
11,2.357,2.5434,2.7316,2.4400401554287043,2,0,2
12,2.5304,2.814,3.1075,2.769142381552024,1,1,2
13,2.1958,2.3265,2.4624,2.218893522392602,2,1,3
14,2.4016,2.6447,2.9023,2.5368184775966016,0,1,1
15,2.1442,2.2693,2.4,2.157067291888269,1,1,2
16,2.3237,2.5121,2.7023,2.3980980712072,0,0,0
17,2.3927,2.6249,2.8659,2.516872640561654,1,0,1
18,2.3434,2.5404,2.7401,2.428264708022445,1,0,1
19,2.1795,2.3177,2.4597,2.2011014575485204,2,1,3
20,2.3914,2.6269,2.8771,2.516519250045933,2,1,3
21,2.6197,2.9229,3.2329,2.9374247778475837,1,1,2
22,2.3458,2.5593,2.7793,2.4404770308035157,2,0,2
23,2.4159,2.6484,2.8883,2.5496205645063275,0,0,0
24,2.5562,2.864,3.1905,2.84282750942058,1,2,3
25,2.5124,2.7859,3.0669,2.729599247623416,0,2,2
26,2.7412,3.0723,3.4067,3.1895902880669413,1,1,2
27,2.6182,2.9483,3.2941,2.9829729929728024,1,0,1
28,2.2862,2.4955,2.7112,2.358306889494169,0,0,0
29,2.0742,2.161,2.2491,2.074669722486972,1,1,2
30,2.4927,2.7536,3.0307,2.6848124741708115,1,1,2
31,2.3018,2.492,2.6866,2.370212848684573,1,2,3
32,2.3311,2.5137,2.6963,2.4049208554492743,0,1,1
33,2.4193,2.6545,2.9018,2.5557632784899647,2,1,3
34,2.7138,3.0444,3.3924,3.147213402189755,2,3,5
35,2.3875,2.6204,2.8631,2.509986337387117,0,1,1
36,2.3175,2.5043,2.6983,2.3884517097204587,1,0,1
37,2.1125,2.2133,2.3137,2.118431734074539,1,0,1
38,2.3014,2.4979,2.7023,2.372148095750862,1,1,2
39,2.2585,2.4413,2.6273,2.31143339048605,1,0,1
40,2.4467,2.6987,2.9557,2.6106060597001397,0,2,2
41,2.1814,2.3082,2.444,2.20080885259535,2,0,2
42,2.2469,2.4012,2.5579,2.2870916841271343,1,1,2
43,2.2632,2.457,2.6679,2.3198343879927275,1,1,2
44,2.3637,2.5845,2.8173,2.4683903163081213,0,1,1
45,2.6269,2.9639,3.3222,3.011776723648409,2,1,3
46,2.3879,2.6265,2.8699,2.5156775227646824,1,0,1
47,2.5,2.7459,2.9987,2.680611982889447,0,1,1
48,2.2071,2.3493,2.494,2.235251951249143,2,0,2
49,2.0158,2.1104,2.2161,2.009283896853403,0,0,0
50,2.3018,2.4935,2.6908,2.3707390979589618,0,1,1
51,2.2316,2.3895,2.5502,2.269322814376724,2,0,2
52,2.188,2.3452,2.5152,2.2144772130775165,1,1,2
53,2.2758,2.4488,2.6262,2.329512034004629,0,1,1
54,2.3843,2.6352,2.8969,2.518939794958816,1,2,3
55,2.5372,2.8049,3.0728,2.760299446117562,1,1,2
56,2.6422,2.9899,3.3472,3.058169888700019,2,1,3
57,2.6933,3.0288,3.3738,3.1204627699659597,0,2,2
58,2.4073,2.6469,2.8942,2.5432461612566515,1,0,1
59,2.1647,2.3042,2.4519,2.1832729091750176,0,1,1
60,2.3888,2.6122,2.8426,2.50533225900686,0,1,1
61,2.3164,2.5315,2.7579,2.400980935246705,1,1,2
62,2.3623,2.5579,2.7606,2.4514962493790957,1,1,2
63,2.2838,2.4551,2.6323,2.3387089149208675,1,0,1
