Temperature (K),Pressure (bar),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Surf. Tension (N/m),Phase
370.0,0.90535,0.029859,33.491,45.079,48.111,133.17,27.883,37.249,470.57,6.9427,12.123,0.024265,vapor,
380.0,1.2885,0.041537,24.075,45.291,48.393,131.04,28.372,38.004,475.61,6.1373,12.47,0.025255,vapor,
390.0,1.7964,0.056683,17.642,45.496,48.665,129.04,28.944,38.903,480.32,5.4749,12.817,0.026307,vapor,
400.0,2.4577,0.076014,13.156,45.691,48.924,127.15,29.608,39.963,484.67,4.9181,13.164,0.027427,vapor,
410.0,3.3045,0.10034,9.9666,45.876,49.17,125.37,30.369,41.203,488.65,4.4405,13.509,0.028622,vapor,
420.0,4.373,0.13055,7.6601,46.05,49.4,123.69,31.23,42.634,492.22,4.0237,13.853,0.0299,vapor,
430.0,5.7026,0.16765,5.9649,46.211,49.613,122.08,32.187,44.269,495.39,3.655,14.196,0.031269,vapor,
440.0,7.3367,0.21276,4.7002,46.359,49.807,120.54,33.234,46.114,498.12,3.3259,14.537,0.032737,vapor,
450.0,9.322,0.26711,3.7438,46.492,49.982,119.07,34.362,48.177,500.41,3.0307,14.878,0.034312,vapor,
460.0,11.709,0.33209,3.0113,46.609,50.134,117.64,35.561,50.469,502.24,2.7653,15.218,0.036004,vapor,
470.0,14.551,0.40925,2.4435,46.708,50.263,116.27,36.821,53.005,503.6,2.5265,15.559,0.037824,vapor,
480.0,17.905,0.50035,1.9986,46.788,50.367,114.93,38.137,55.809,504.45,2.3118,15.901,0.039786,vapor,
490.0,21.831,0.60738,1.6464,46.848,50.442,113.62,39.503,58.919,504.78,2.1187,16.245,0.041903,vapor,
500.0,26.392,0.73265,1.3649,46.885,50.487,112.33,40.92,62.388,504.55,1.945,16.594,0.044197,vapor,
510.0,31.655,0.87884,1.1379,46.898,50.5,111.05,42.391,66.289,503.71,1.7886,16.949,0.046692,vapor,
520.0,37.69,1.0491,0.95318,46.883,50.475,109.79,43.92,70.723,502.23,1.6475,17.312,0.049421,vapor,
530.0,44.569,1.2473,0.80174,46.838,50.411,108.52,45.519,75.827,500.05,1.5197,17.688,0.052431,vapor,
540.0,52.369,1.478,0.67659,46.758,50.302,107.24,47.197,81.789,497.1,1.4035,18.08,0.055784,vapor,
550.0,61.172,1.7471,0.57238,46.641,50.142,105.95,48.968,88.873,493.31,1.2973,18.494,0.059574,vapor,
560.0,71.062,2.062,0.48497,46.478,49.925,104.62,50.848,97.461,488.58,1.1997,18.936,0.063934,vapor,
570.0,82.132,2.4325,0.4111,46.264,49.641,103.24,52.856,108.13,482.79,1.1093,19.418,0.069073,vapor,
580.0,94.48,2.872,0.34819,45.988,49.278,101.8,55.017,121.78,475.8,1.0248,19.952,0.075315,vapor,
590.0,108.21,3.3994,0.29417,45.636,48.819,100.26,57.361,139.94,467.41,0.94499,20.561,0.083199,vapor,
600.0,123.45,4.0434,0.24732,45.188,48.242,98.6,59.939,165.4,457.33,0.86837,21.276,0.093664,vapor,
610.0,140.33,4.8497,0.2062,44.613,47.506,96.755,62.831,203.84,445.11,0.79329,22.153,0.10847,vapor,
620.0,159.01,5.9009,0.16946,43.855,46.55,94.631,66.197,269.23,429.99,0.71743,23.295,0.13127,vapor,
630.0,179.69,7.3737,0.13562,42.801,45.238,92.029,70.465,408.19,410.21,0.63669,24.933,0.17136,vapor,
640.0,202.65,9.8331,0.1017,41.095,43.156,88.324,77.576,947.36,379.64,0.53854,27.86,0.26818,vapor,
