config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.5389,2.8177,3.1116,2.7753924732236386,1,2,3
2,2.3514,2.5637,2.784,2.4470325974654354,1,1,2
3,2.4528,2.6939,2.9439,2.6085470550896908,2,2,4
4,2.3784,2.5925,2.8128,2.484845526072309,2,2,4
5,2.1857,2.3232,2.4622,2.2085813244905377,1,2,3
6,2.3101,2.5132,2.7268,2.3864351679870115,2,1,3
7,2.5228,2.8065,3.1008,2.7575639030620294,1,1,2
8,2.6486,2.9513,3.2638,2.982754015401843,2,1,3
9,2.3298,2.5173,2.7131,2.4045096129594388,1,2,3
10,2.5223,2.8049,3.0973,2.7554919822780564,1,1,2
11,2.387,2.6116,2.8499,2.5025799862688403,1,2,3
12,2.4745,2.7373,3.0125,2.660628674109891,2,0,2
13,2.325,2.5201,2.7182,2.4030799674639467,2,2,4
14,2.418,2.6707,2.9333,2.56906797915559,0,0,0
15,2.3401,2.5419,2.7468,2.4265817571679698,2,1,3
16,2.2755,2.4312,2.5867,2.323055525913237,2,2,4
17,2.3251,2.525,2.7368,2.4043432041638835,1,1,2
18,2.4722,2.7173,2.9673,2.6404893999536854,2,1,3
19,2.4954,2.7824,3.0806,2.719515816132291,2,2,4
20,2.3765,2.5883,2.8055,2.48087924909152,0,1,1
21,2.5488,2.8178,3.0972,2.7781514691424016,1,1,2
22,2.4558,2.7077,2.9677,2.623113989214945,2,2,4
23,2.551,2.8421,3.1433,2.810943345189981,1,2,3
24,2.7292,3.0843,3.452,3.230206331307886,1,1,2
25,2.3848,2.6233,2.8758,2.5096370821074063,1,2,3
26,2.791,3.1702,3.5653,3.4148305687837266,1,1,2
27,2.3776,2.5991,2.8266,2.4888468300055933,1,1,2
28,2.1995,2.3439,2.4903,2.226634035295341,0,1,1
29,2.7613,3.1364,3.5296,3.3474868202868544,0,1,1
30,2.7524,3.1175,3.4981,3.3004340724541064,1,1,2
31,2.4712,2.7324,3.0099,2.653515944805695,2,1,3
32,2.4747,2.7274,2.9875,2.6512623965741544,1,1,2
33,2.4397,2.6872,2.9506,2.594607961721546,2,2,4
34,2.6422,2.9561,3.2837,2.992842759789923,1,1,2
35,2.7193,3.0739,3.4507,3.2157781839806,0,1,1
36,2.4246,2.6863,2.9652,2.58542358403052,1,0,1
37,2.2484,2.4414,2.6445,2.301245170900975,1,1,2
38,2.3263,2.5405,2.7649,2.414008332229156,2,2,4
39,2.16,2.2914,2.4289,2.1765400801158736,1,2,3
40,2.3967,2.618,2.8501,2.5139655967318766,1,2,3
41,2.6084,2.921,3.2452,2.9352520224322998,0,1,1
42,2.4096,2.6385,2.8704,2.5387701315492426,1,1,2
43,2.2767,2.4317,2.5834,2.324318998698704,0,1,1
44,2.2455,2.4,2.5547,2.285696535455591,1,2,3
45,2.4964,2.7773,3.0667,2.7141120074292666,2,2,4
46,2.2232,2.4051,2.5979,2.2650266198503104,1,0,1
47,2.443,2.6981,2.9689,2.6064127790304203,1,1,2
48,2.3634,2.5854,2.8171,2.4691609404121038,2,2,4
49,2.3347,2.5378,2.745,2.420009033483598,2,2,4
50,2.2896,2.4841,2.6862,2.3558460503326404,1,0,1
51,2.4015,2.615,2.8299,2.516375509011117,1,1,2
52,2.6755,3.0274,3.4009,3.1295846478774574,2,1,3
53,2.3414,2.5403,2.7454,2.426150019586259,2,1,3
54,2.0777,2.176,2.2765,2.078703569862847,1,2,3
55,2.3694,2.5761,2.7875,2.4681639791165866,1,1,2
56,2.493,2.7767,3.0757,2.711336579720378,1,2,3
57,2.5886,2.8786,3.1762,2.867820205633343,2,1,3
58,2.4829,2.7499,3.0376,2.6763219800300573,1,0,1
59,2.1462,2.2572,2.3669,2.1581420870534886,0,2,2
60,2.4501,2.6923,2.9418,2.6059941750756384,1,1,2
61,2.4077,2.6488,2.9035,2.544001456530568,0,2,2
62,2.402,2.644,2.8982,2.536907520607458,2,2,4
63,2.4855,2.7484,3.0197,2.677505640460742,2,1,3
64,2.4811,2.7389,3.0024,2.666042100033322,1,0,1
65,2.6726,3.002,3.3402,3.072416112724998,2,1,3
66,2.1823,2.3416,2.5126,2.2080079678946483,1,1,2
67,2.0672,2.1529,2.2426,2.0668677592345968,2,2,4
68,2.4745,2.7418,3.0258,2.664743957969512,0,2,2
