298,1.0,52.8513,2.89557,1.94864
298,2.0,57.776,3.17074,2.13212
298,5.0,58.6611,3.21755,2.16331
298,10.0,58.2507,3.1931,2.14701
298,20.0,60.5814,3.32425,2.23445
298,50.0,53.4823,2.92242,1.96649
298,100.0,56.3621,3.07753,2.06989
298,200.0,55.5152,3.01589,2.0287
298,500.0,60.4129,3.24301,2.1799
298,1000.0,61.9104,3.26249,2.19256
298,2000.0,63.9475,3.26213,2.19176
298,5000.0,67.6088,3.21407,2.15856
400,1.0,49.8713,2.91415,1.96225
400,2.0,52.3854,3.0633,2.06169
400,5.0,51.4921,3.00753,2.02449
400,10.0,47.3138,2.76088,1.86004
400,20.0,48.7421,2.84314,1.91487
400,50.0,54.0905,3.15315,2.12153
400,100.0,54.8308,3.19046,2.14637
400,200.0,49.6264,2.8649,1.92918
400,500.0,53.7752,3.06382,2.06154
400,1000.0,52.7533,2.93616,1.97599
400,2000.0,56.4482,3.0286,2.03695
400,5000.0,64.8799,3.23306,2.17198
500,1.0,44.8463,2.9805,2.00915
500,2.0,44.0551,2.91945,1.96839
500,5.0,42.8707,2.84516,1.9189
500,10.0,41.1097,2.7179,1.83397
500,20.0,42.2233,2.7907,1.8825
500,50.0,43.1526,2.8424,1.91689
500,100.0,42.6522,2.79517,1.88529
500,200.0,41.376,2.67338,1.80379
500,500.0,45.9726,2.90085,1.95493
500,1000.0,47.5916,2.89598,1.95094
500,2000.0,50.3511,2.91206,1.96065
500,5000.0,53.7882,2.82344,1.89979
600,1.0,1.00303,0.998109,0.997103
600,2.0,1.009,1.04685,1.04374
600,5.0,1.03011,1.06367,1.0533
600,10.0,1.062,0.996725,0.97733
600,20.0,1.13089,1.07184,1.03049
600,50.0,27.4461,2.44923,1.66257
600,100.0,28.0907,2.39614,1.62586
600,200.0,29.4622,2.3824,1.61522
600,500.0,32.0554,2.37655,1.60908
600,1000.0,35.3796,2.4383,1.64851
600,2000.0,41.5294,2.63168,1.77557
600,5000.0,49.6677,2.77198,1.86659
700,1.0,1.00169,0.951799,0.951264
700,2.0,1.00554,1.02905,1.02716
700,5.0,1.01997,0.959356,0.953095
700,10.0,1.04882,0.993288,0.977877
700,20.0,1.11057,1.03009,0.995902
700,50.0,1.31344,1.07927,0.993421
700,100.0,1.68822,1.05106,0.908232
700,200.0,3.29947,1.23073,0.944822
700,500.0,19.8835,2.09715,1.43326
700,1000.0,26.5135,2.19557,1.49132
700,2000.0,33.2318,2.36281,1.59891
700,5000.0,43.1108,2.57131,1.73409
800,1.0,1.00105,0.964494,0.964155
800,2.0,1.00394,1.00012,0.998818
800,5.0,1.01548,0.969744,0.964817
800,10.0,1.03738,0.940032,0.928741
800,20.0,1.08619,1.00343,0.976891
800,50.0,1.23232,0.961853,0.901408
800,100.0,1.54973,1.06502,0.939093
800,200.0,2.21733,1.12397,0.918284
800,500.0,7.1833,1.49167,1.06367
800,1000.0,17.4055,1.87903,1.28867
800,2000.0,26.1964,2.13063,1.44753
800,5000.0,35.005,2.23371,1.51041
900,1.0,1.00086,1.02781,1.02751
900,2.0,1.00312,1.01876,1.01771
900,5.0,1.01191,0.966604,0.962811
900,10.0,1.0336,1.01514,1.00414
900,20.0,1.07747,1.01698,0.992609
900,50.0,1.22371,1.07094,1.00568
900,100.0,1.43399,0.993075,0.892891
900,200.0,1.99477,1.12717,0.939803
900,500.0,4.67647,1.32333,0.976548
900,1000.0,10.9937,1.58023,1.1014
900,2000.0,19.5508,1.83993,1.25799
900,5000.0,31.0351,2.1321,1.4443
1000,1.0,1.00065,1.0086,1.00838
1000,2.0,1.00212,0.99716,0.996456
1000,5.0,1.01096,1.04653,1.04275
1000,10.0,1.02812,0.987094,0.978096
1000,20.0,1.06666,1.02371,1.00239
1000,50.0,1.17907,0.979325,0.929747
1000,100.0,1.34904,0.948231,0.866452
1000,200.0,1.85236,1.06006,0.897469
1000,500.0,3.52209,1.20215,0.915207
1000,1000.0,7.86581,1.41773,1.00524
1000,2000.0,16.1368,1.77278,1.21848
1000,5000.0,27.3886,2.022,1.37261
273,1.0,49.6595,2.70864,1.82394
273,2.0,55.3133,3.02123,2.03236
273,5.0,59.8358,3.27263,2.19999
273,10.0,62.6668,3.42932,2.30446
273,20.0,57.2984,3.13034,2.10511
273,50.0,58.9238,3.21849,2.16387
273,100.0,59.6035,3.24472,2.18129
273,200.0,58.452,3.16383,2.12726
273,500.0,59.7992,3.19761,2.14956
273,1000.0,59.3431,3.10983,2.09068
273,2000.0,63.3122,3.20229,2.15172
273,5000.0,67.2257,3.16371,2.12483
283,1.0,54.9223,3.0022,2.01969
283,2.0,52.8619,2.88705,1.94291
283,5.0,56.5205,3.08974,2.07805
283,10.0,60.7833,3.32638,2.23583
283,20.0,61.7626,3.38334,2.27382
283,50.0,55.0366,3.00174,2.01934
283,100.0,54.1453,2.94413,1.98088
283,200.0,55.7562,3.01976,2.03123
283,500.0,56.8689,3.04132,2.04537
283,1000.0,56.8422,2.97861,2.0032
283,2000.0,61.8914,3.13994,2.1102
283,5000.0,67.4207,3.18459,2.1388
293,1.0,52.8904,2.89372,1.94738
293,2.0,61.5312,3.37519,2.26841
293,5.0,56.3371,3.08448,2.07457
293,10.0,57.2982,3.13779,2.11012
293,20.0,55.9341,3.05985,2.05814
293,50.0,59.3957,3.2492,2.18436
293,100.0,51.6075,2.80824,1.8903
293,200.0,58.1531,3.15937,2.12436
293,500.0,59.3709,3.18511,2.14129
293,1000.0,63.898,3.36411,2.26029
293,2000.0,66.3773,3.38088,2.2709
293,5000.0,66.0791,3.13547,2.10613
303,1.0,56.1983,3.08479,2.07482
303,2.0,57.6276,3.16637,2.12923
303,5.0,55.2263,3.03069,2.03875
303,10.0,59.752,3.28303,2.207
303,20.0,54.2244,2.97237,1.99985
303,50.0,56.2706,3.08279,2.07346
