Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
400.0,2900.0,1044.2,0.00095771,8.3923,13.396,25.22,61.201,69.565,2009.8,-0.019132,287.89,0.83268,liquid
400.0,3000.0,1047.0,0.00095515,8.3666,13.529,25.122,61.107,69.44,2023.0,-0.019163,290.25,0.83707,liquid
400.0,3100.0,1049.7,0.00095264,8.3416,13.662,25.025,61.014,69.319,2036.0,-0.019193,292.61,0.84143,liquid
400.0,3200.0,1052.4,0.00095017,8.3172,13.795,24.929,60.924,69.201,2048.9,-0.01922,294.98,0.84575,liquid
400.0,3300.0,1055.1,0.00094775,8.2934,13.928,24.834,60.837,69.088,2061.6,-0.019246,297.35,0.85003,liquid
400.0,3400.0,1057.8,0.00094537,8.2702,14.061,24.74,60.751,68.978,2074.2,-0.01927,299.73,0.85428,liquid
400.0,3500.0,1060.4,0.00094304,8.2475,14.194,24.647,60.668,68.871,2086.6,-0.019292,302.11,0.85849,liquid
400.0,3600.0,1063.0,0.00094074,8.2254,14.327,24.555,60.586,68.768,2098.9,-0.019313,304.5,0.86266,liquid
400.0,3700.0,1065.6,0.00093847,8.2038,14.459,24.463,60.507,68.667,2111.1,-0.019333,306.89,0.8668,liquid
400.0,3800.0,1068.1,0.00093625,8.1827,14.592,24.373,60.43,68.57,2123.1,-0.019351,309.29,0.8709,liquid
400.0,3900.0,1070.6,0.00093406,8.162,14.725,24.284,60.354,68.476,2135.0,-0.019368,311.7,0.87497,liquid
400.0,4000.0,1073.1,0.00093191,8.1419,14.857,24.195,60.281,68.385,2146.8,-0.019383,314.11,0.879,liquid
400.0,4100.0,1075.5,0.00092978,8.1222,14.99,24.107,60.209,68.296,2158.4,-0.019398,316.53,0.88301,liquid
400.0,4200.0,1077.9,0.0009277,8.1029,15.122,24.02,60.139,68.21,2170.0,-0.019411,318.96,0.88698,liquid
400.0,4300.0,1080.3,0.00092564,8.0841,15.255,23.933,60.07,68.126,2181.4,-0.019424,321.39,0.89091,liquid
400.0,4400.0,1082.7,0.00092361,8.0657,15.387,23.848,60.003,68.045,2192.8,-0.019435,323.83,0.89482,liquid
400.0,4500.0,1085.1,0.00092161,8.0477,15.519,23.763,59.938,67.966,2204.0,-0.019446,326.28,0.89869,liquid
400.0,4600.0,1087.4,0.00091965,8.0301,15.651,23.678,59.874,67.889,2215.1,-0.019455,328.73,0.90254,liquid
400.0,4700.0,1089.7,0.00091771,8.0129,15.783,23.595,59.812,67.814,2226.2,-0.019464,331.19,0.90635,liquid
400.0,4800.0,1092.0,0.00091579,7.9961,15.915,23.512,59.752,67.742,2237.1,-0.019472,333.66,0.91013,liquid
400.0,4900.0,1094.2,0.00091391,7.9796,16.047,23.429,59.692,67.672,2248.0,-0.019479,336.13,0.91388,liquid
400.0,5000.0,1096.4,0.00091204,7.9635,16.179,23.347,59.634,67.603,2258.7,-0.019486,338.61,0.91761,liquid
500.0,0.1,0.043353,23.066,48.665,52.82,162.36,26.937,35.272,549.47,1.9221,17.324,0.035805,vapor
500.0,0.2,0.086741,11.529,48.66,52.813,156.59,26.963,35.318,549.34,1.923,17.321,0.03583,vapor
500.0,0.3,0.13017,7.6825,48.655,52.807,153.21,26.988,35.364,549.21,1.9238,17.318,0.035855,vapor
500.0,0.4,0.17363,5.7595,48.649,52.8,150.81,27.014,35.41,549.08,1.9247,17.315,0.035881,vapor
500.0,0.5,0.21712,4.6057,48.644,52.793,148.94,27.04,35.457,548.96,1.9256,17.313,0.035906,vapor
500.0,0.6,0.26065,3.8365,48.639,52.786,147.41,27.065,35.503,548.83,1.9264,17.31,0.035931,vapor
500.0,0.7,0.30422,3.2871,48.634,52.779,146.12,27.091,35.55,548.7,1.9273,17.307,0.035956,vapor
500.0,0.8,0.34782,2.875,48.629,52.773,145.0,27.118,35.598,548.57,1.9281,17.305,0.035981,vapor
500.0,0.9,0.39146,2.5545,48.624,52.766,144.01,27.144,35.645,548.44,1.9289,17.302,0.036007,vapor
500.0,1.0,0.43514,2.2981,48.619,52.759,143.13,27.17,35.693,548.31,1.9298,17.299,0.036032,vapor
500.0,1.1,0.47885,2.0883,48.613,52.752,142.32,27.197,35.741,548.18,1.9306,17.296,0.036057,vapor
500.0,1.2,0.5226,1.9135,48.608,52.745,141.59,27.223,35.789,548.06,1.9314,17.294,0.036083,vapor
500.0,1.3,0.56639,1.7656,48.603,52.738,140.91,27.25,35.837,547.93,1.9322,17.291,0.036108,vapor
500.0,1.4,0.61021,1.6388,48.598,52.731,140.29,27.277,35.886,547.8,1.933,17.288,0.036133,vapor
500.0,1.5,0.65407,1.5289,48.593,52.724,139.7,27.304,35.935,547.67,1.9338,17.285,0.036159,vapor
500.0,1.6,0.69797,1.4327,48.587,52.717,139.16,27.331,35.984,547.54,1.9346,17.283,0.036184,vapor
500.0,1.7,0.74191,1.3479,48.582,52.71,138.64,27.359,36.034,547.41,1.9353,17.28,0.03621,vapor
500.0,1.8,0.78588,1.2725,48.577,52.703,138.16,27.386,36.083,547.28,1.9361,17.277,0.036236,vapor
500.0,1.9,0.82989,1.205,48.572,52.696,137.7,27.413,36.133,547.14,1.9368,17.275,0.036261,vapor
500.0,2.0,0.87394,1.1442,48.566,52.689,137.26,27.441,36.183,547.01,1.9376,17.272,0.036287,vapor
500.0,2.1,0.91802,1.0893,48.561,52.682,136.84,27.469,36.233,546.88,1.9383,17.269,0.036313,vapor
500.0,2.2,0.96214,1.0393,48.556,52.675,136.45,27.497,36.284,546.75,1.9391,17.266,0.036338,vapor
500.0,2.3,1.0063,0.99373,48.551,52.668,136.06,27.525,36.335,546.62,1.9398,17.264,0.036364,vapor
500.0,2.4,1.0505,0.95192,48.545,52.661,135.7,27.553,36.386,546.49,1.9405,17.261,0.03639,vapor
500.0,2.5,1.0947,0.91346,48.54,52.654,135.35,27.581,36.437,546.35,1.9412,17.258,0.036416,vapor
500.0,2.6,1.139,0.87795,48.535,52.647,135.01,27.61,36.489,546.22,1.9419,17.256,0.036442,vapor
500.0,2.7,1.1833,0.84507,48.529,52.64,134.69,27.638,36.541,546.09,1.9426,17.253,0.036468,vapor
500.0,2.8,1.2277,0.81454,48.524,52.633,134.38,27.667,36.593,545.96,1.9433,17.25,0.036494,vapor
500.0,2.9,1.2721,0.78611,48.519,52.626,134.07,27.696,36.645,545.82,1.944,17.247,0.03652,vapor
500.0,3.0,1.3165,0.75958,48.513,52.619,133.78,27.725,36.698,545.69,1.9446,17.245,0.036546,vapor
500.0,3.1,1.361,0.73476,48.508,52.611,133.5,27.754,36.75,545.56,1.9453,17.242,0.036572,vapor
500.0,3.2,1.4055,0.71149,48.503,52.604,133.22,27.783,36.804,545.42,1.9459,17.239,0.036598,vapor
500.0,3.3,1.45,0.68963,48.497,52.597,132.96,27.812,36.857,545.29,1.9466,17.236,0.036624,vapor
500.0,3.4,1.4946,0.66906,48.492,52.59,132.7,27.841,36.911,545.15,1.9472,17.234,0.03665,vapor
500.0,3.5,1.5393,0.64966,48.486,52.583,132.44,27.871,36.964,545.02,1.9479,17.231,0.036676,vapor
500.0,3.6,1.5839,0.63134,48.481,52.575,132.2,27.901,37.018,544.88,1.9485,17.228,0.036703,vapor
500.0,3.7,1.6286,0.61401,48.475,52.568,131.96,27.931,37.073,544.75,1.9491,17.226,0.036729,vapor
500.0,3.8,1.6734,0.59759,48.47,52.561,131.73,27.961,37.127,544.61,1.9497,17.223,0.036755,vapor
500.0,3.9,1.7182,0.58201,48.465,52.554,131.5,27.991,37.182,544.48,1.9503,17.22,0.036782,vapor
500.0,4.0,1.763,0.56721,48.459,52.547,131.28,28.021,37.237,544.34,1.9509,17.217,0.036808,vapor
500.0,4.1,1.8079,0.55314,48.454,52.539,131.06,28.051,37.293,544.21,1.9515,17.215,0.036835,vapor
500.0,4.2,1.8528,0.53973,48.448,52.532,130.85,28.082,37.348,544.07,1.9521,17.212,0.036861,vapor
500.0,4.3,1.8977,0.52694,48.443,52.525,130.64,28.112,37.404,543.93,1.9527,17.209,0.036888,vapor
500.0,4.4,1.9427,0.51474,48.437,52.517,130.44,28.143,37.461,543.8,1.9532,17.207,0.036914,vapor
500.0,4.5,1.9878,0.50308,48.432,52.51,130.24,28.174,37.517,543.66,1.9538,17.204,0.036941,vapor
500.0,4.6,2.0328,0.49192,48.426,52.503,130.05,28.205,37.574,543.52,1.9543,17.201,0.036968,vapor
500.0,4.7,2.0779,0.48124,48.421,52.495,129.86,28.236,37.631,543.39,1.9549,17.198,0.036994,vapor
500.0,4.8,2.1231,0.47101,48.415,52.488,129.67,28.267,37.688,543.25,1.9554,17.196,0.037021,vapor
500.0,4.9,2.1683,0.46119,48.409,52.481,129.49,28.299,37.746,543.11,1.9559,17.193,0.037048,vapor
500.0,5.0,2.2135,0.45176,48.404,52.473,129.31,28.33,37.803,542.97,1.9565,17.19,0.037075,vapor
500.0,5.1,2.2588,0.44271,48.398,52.466,129.14,28.362,37.861,542.83,1.957,17.187,0.037101,vapor
500.0,5.2,2.3041,0.434,48.393,52.458,128.96,28.394,37.92,542.7,1.9575,17.185,0.037128,vapor
500.0,5.3,2.3495,0.42562,48.387,52.451,128.79,28.426,37.978,542.56,1.958,17.182,0.037155,vapor
500.0,5.4,2.3949,0.41755,48.382,52.444,128.63,28.458,38.037,542.42,1.9585,17.179,0.037182,vapor
500.0,5.5,2.4404,0.40977,48.376,52.436,128.46,28.49,38.096,542.28,1.959,17.177,0.037209,vapor
500.0,5.6,2.4859,0.40227,48.37,52.429,128.3,28.522,38.156,542.14,1.9595,17.174,0.037236,vapor
500.0,5.7,2.5314,0.39504,48.365,52.421,128.14,28.555,38.216,542.0,1.9599,17.171,0.037264,vapor
500.0,5.8,2.577,0.38805,48.359,52.414,127.99,28.587,38.276,541.86,1.9604,17.168,0.037291,vapor
500.0,5.9,2.6226,0.3813,48.353,52.406,127.83,28.62,38.336,541.72,1.9609,17.166,0.037318,vapor
500.0,6.0,2.6683,0.37477,48.348,52.399,127.68,28.653,38.396,541.58,1.9613,17.163,0.037345,vapor
500.0,6.1,2.714,0.36846,48.342,52.391,127.53,28.686,38.457,541.44,1.9618,17.16,0.037373,vapor
500.0,6.2,2.7597,0.36235,48.336,52.384,127.39,28.719,38.518,541.3,1.9622,17.157,0.0374,vapor
500.0,6.3,2.8055,0.35644,48.331,52.376,127.24,28.752,38.58,541.15,1.9626,17.155,0.037427,vapor
500.0,6.4,2.8514,0.35071,48.325,52.368,127.1,28.786,38.641,541.01,1.9631,17.152,0.037455,vapor
500.0,6.5,2.8973,0.34515,48.319,52.361,126.96,28.819,38.703,540.87,1.9635,17.149,0.037482,vapor
500.0,6.6,2.9432,0.33977,48.313,52.353,126.82,28.853,38.766,540.73,1.9639,17.147,0.03751,vapor
500.0,6.7,2.9892,0.33454,48.308,52.346,126.68,28.887,38.828,540.59,1.9643,17.144,0.037537,vapor
500.0,6.8,3.0352,0.32947,48.302,52.338,126.55,28.921,38.891,540.44,1.9647,17.141,0.037565,vapor
500.0,6.9,3.0812,0.32454,48.296,52.33,126.42,28.955,38.954,540.3,1.9651,17.138,0.037593,vapor
500.0,7.0,3.1274,0.31976,48.29,52.323,126.28,28.989,39.018,540.16,1.9655,17.136,0.03762,vapor
500.0,7.1,3.1735,0.31511,48.284,52.315,126.15,29.023,39.081,540.01,1.9658,17.133,0.037648,vapor
500.0,7.2,3.2197,0.31059,48.279,52.307,126.03,29.058,39.145,539.87,1.9662,17.13,0.037676,vapor
500.0,7.3,3.2659,0.30619,48.273,52.3,125.9,29.093,39.21,539.73,1.9666,17.127,0.037704,vapor
500.0,7.4,3.3122,0.30191,48.267,52.292,125.78,29.127,39.274,539.58,1.9669,17.125,0.037731,vapor
500.0,7.5,3.3586,0.29775,48.261,52.284,125.65,29.162,39.339,539.44,1.9673,17.122,0.037759,vapor
500.0,7.6,3.405,0.29369,48.255,52.276,125.53,29.198,39.405,539.29,1.9676,17.119,0.037787,vapor
500.0,7.7,3.4514,0.28974,48.249,52.269,125.41,29.233,39.47,539.15,1.968,17.117,0.037815,vapor
500.0,7.8,3.4978,0.28589,48.244,52.261,125.29,29.268,39.536,539.0,1.9683,17.114,0.037843,vapor
500.0,7.9,3.5444,0.28214,48.238,52.253,125.17,29.304,39.602,538.86,1.9686,17.111,0.037872,vapor
500.0,8.0,3.5909,0.27848,48.232,52.245,125.06,29.339,39.669,538.71,1.969,17.108,0.0379,vapor
500.0,8.1,3.6375,0.27491,48.226,52.237,124.94,29.375,39.735,538.57,1.9693,17.106,0.037928,vapor
500.0,8.2,3.6842,0.27143,48.22,52.23,124.83,29.411,39.802,538.42,1.9696,17.103,0.037956,vapor
500.0,8.3,3.7309,0.26803,48.214,52.222,124.71,29.447,39.87,538.27,1.9699,17.1,0.037984,vapor
500.0,8.4,3.7777,0.26471,48.208,52.214,124.6,29.483,39.938,538.13,1.9702,17.097,0.038013,vapor
500.0,8.5,3.8245,0.26147,48.202,52.206,124.49,29.52,40.006,537.98,1.9705,17.095,0.038041,vapor
500.0,8.6,3.8713,0.25831,48.196,52.198,124.38,29.556,40.074,537.83,1.9708,17.092,0.03807,vapor
500.0,8.7,3.9182,0.25522,48.19,52.19,124.27,29.593,40.143,537.68,1.971,17.089,0.038098,vapor
500.0,8.8,3.9652,0.2522,48.184,52.182,124.17,29.63,40.212,537.54,1.9713,17.086,0.038127,vapor
500.0,8.9,4.0121,0.24924,48.178,52.174,124.06,29.667,40.281,537.39,1.9716,17.084,0.038155,vapor
500.0,9.0,4.0592,0.24635,48.172,52.166,123.95,29.704,40.351,537.24,1.9718,17.081,0.038184,vapor
500.0,9.1,4.1063,0.24353,48.166,52.158,123.85,29.741,40.421,537.09,1.9721,17.078,0.038212,vapor
500.0,9.2,4.1534,0.24077,48.16,52.15,123.75,29.779,40.491,536.94,1.9723,17.075,0.038241,vapor
500.0,9.3,4.2006,0.23806,48.154,52.142,123.64,29.817,40.561,536.79,1.9726,17.073,0.03827,vapor
500.0,9.4,4.2478,0.23541,48.148,52.134,123.54,29.854,40.632,536.64,1.9728,17.07,0.038299,vapor
500.0,9.5,4.2951,0.23282,48.142,52.126,123.44,29.892,40.704,536.49,1.973,17.067,0.038328,vapor
500.0,9.6,4.3425,0.23028,48.136,52.118,123.34,29.93,40.775,536.34,1.9733,17.065,0.038357,vapor
500.0,9.7,4.3898,0.2278,48.13,52.11,123.24,29.969,40.847,536.19,1.9735,17.062,0.038386,vapor
500.0,9.8,4.4373,0.22536,48.123,52.102,123.15,30.007,40.92,536.04,1.9737,17.059,0.038415,vapor
500.0,9.9,4.4848,0.22298,48.117,52.094,123.05,30.045,40.992,535.89,1.9739,17.056,0.038444,vapor
500.0,10.0,4.5323,0.22064,48.111,52.086,122.95,30.084,41.065,535.74,1.9741,17.054,0.038473,vapor
500.0,11.0,5.0104,0.19958,48.049,52.004,122.03,30.48,41.815,534.21,1.9758,17.026,0.038767,vapor
500.0,12.0,5.4938,0.18202,47.986,51.921,121.18,30.893,42.602,532.65,1.977,16.999,0.039066,vapor
500.0,13.0,5.9826,0.16715,47.921,51.836,120.38,31.324,43.43,531.06,1.9776,16.971,0.039371,vapor
500.0,14.0,6.4771,0.15439,47.855,51.749,119.63,31.775,44.301,529.43,1.9778,16.944,0.039682,vapor
500.0,15.0,6.9775,0.14332,47.788,51.661,118.92,32.248,45.221,527.77,1.9776,16.916,0.039999,vapor
500.0,16.0,7.4841,0.13362,47.719,51.57,118.24,32.745,46.194,526.06,1.977,16.888,0.040323,vapor
500.0,17.0,7.9972,0.12504,47.648,51.478,117.59,33.271,47.227,524.32,1.9759,16.86,0.040653,vapor
500.0,18.0,8.5169,0.11741,47.576,51.383,116.96,33.828,48.328,522.52,1.9745,16.832,0.040991,vapor
500.0,19.0,9.0438,0.11057,47.502,51.287,116.36,34.423,49.507,520.68,1.9728,16.804,0.041336,vapor
500.0,20.0,9.5781,0.10441,47.426,51.188,115.77,35.061,50.776,518.77,1.9706,16.776,0.04169,vapor
500.0,21.0,10.12,0.098813,47.348,51.087,115.21,35.752,52.149,516.8,1.9681,16.748,0.042052,vapor
500.0,22.0,10.671,0.093716,47.268,50.983,114.65,36.504,53.646,514.75,1.9651,16.72,0.042425,vapor
500.0,23.0,11.23,0.08905,47.186,50.876,114.11,37.33,55.288,512.61,1.9617,16.691,0.042807,vapor
500.0,24.0,11.798,0.08476,47.101,50.766,113.57,38.246,57.105,510.38,1.9576,16.663,0.043201,vapor
500.0,25.0,12.376,0.0808,47.013,50.652,113.05,39.27,59.132,508.03,1.9529,16.634,0.043608,vapor
500.0,26.0,12.965,0.07713,46.922,50.535,112.53,40.425,61.413,505.56,1.9474,16.605,0.044028,vapor
500.0,26.392,13.199,0.075764,46.885,50.487,112.33,40.92,62.388,504.55,1.945,16.594,0.044197,vapor
500.0,26.392,831.31,0.0012029,17.515,17.573,46.498,58.109,84.013,1239.6,-0.0045781,117.9,0.63944,liquid
500.0,27.0,831.37,0.0012028,17.514,17.573,46.496,58.108,84.004,1239.8,-0.0045877,117.91,0.6395,liquid
500.0,28.0,831.46,0.0012027,17.513,17.573,46.492,58.107,83.988,1240.3,-0.0046036,117.94,0.63959,liquid
500.0,29.0,831.56,0.0012026,17.511,17.574,46.489,58.106,83.972,1240.7,-0.0046195,117.97,0.63969,liquid
500.0,30.0,831.65,0.0012024,17.509,17.574,46.485,58.104,83.956,1241.2,-0.0046353,117.99,0.63978,liquid
500.0,31.0,831.75,0.0012023,17.507,17.574,46.482,58.103,83.94,1241.6,-0.0046511,118.02,0.63988,liquid
500.0,32.0,831.84,0.0012022,17.506,17.575,46.478,58.102,83.924,1242.0,-0.0046669,118.05,0.63998,liquid
500.0,33.0,831.93,0.001202,17.504,17.575,46.475,58.101,83.908,1242.5,-0.0046826,118.07,0.64007,liquid
500.0,34.0,832.03,0.0012019,17.502,17.576,46.471,58.1,83.892,1242.9,-0.0046983,118.1,0.64017,liquid
500.0,35.0,832.12,0.0012017,17.5,17.576,46.468,58.099,83.876,1243.4,-0.004714,118.13,0.64026,liquid
500.0,36.0,832.21,0.0012016,17.498,17.576,46.464,58.098,83.861,1243.8,-0.0047296,118.15,0.64036,liquid
500.0,37.0,832.31,0.0012015,17.497,17.577,46.461,58.097,83.845,1244.3,-0.0047452,118.18,0.64046,liquid
500.0,38.0,832.4,0.0012013,17.495,17.577,46.457,58.095,83.829,1244.7,-0.0047608,118.21,0.64055,liquid
500.0,39.0,832.49,0.0012012,17.493,17.578,46.454,58.094,83.813,1245.1,-0.0047763,118.23,0.64065,liquid
500.0,40.0,832.59,0.0012011,17.491,17.578,46.45,58.093,83.798,1245.6,-0.0047918,118.26,0.64074,liquid
500.0,41.0,832.68,0.0012009,17.49,17.578,46.446,58.092,83.782,1246.0,-0.0048073,118.29,0.64084,liquid
500.0,42.0,832.77,0.0012008,17.488,17.579,46.443,58.091,83.767,1246.5,-0.0048227,118.31,0.64093,liquid
500.0,43.0,832.86,0.0012007,17.486,17.579,46.439,58.09,83.751,1246.9,-0.0048382,118.34,0.64103,liquid
500.0,44.0,832.96,0.0012005,17.484,17.58,46.436,58.089,83.735,1247.3,-0.0048535,118.37,0.64112,liquid
500.0,45.0,833.05,0.0012004,17.483,17.58,46.432,58.088,83.72,1247.8,-0.0048689,118.39,0.64122,liquid
500.0,46.0,833.14,0.0012003,17.481,17.58,46.429,58.086,83.704,1248.2,-0.0048842,118.42,0.64132,liquid
500.0,47.0,833.24,0.0012001,17.479,17.581,46.425,58.085,83.689,1248.7,-0.0048995,118.45,0.64141,liquid
500.0,48.0,833.33,0.0012,17.477,17.581,46.422,58.084,83.674,1249.1,-0.0049148,118.47,0.64151,liquid
500.0,49.0,833.42,0.0011999,17.476,17.582,46.418,58.083,83.658,1249.5,-0.00493,118.5,0.6416,liquid
500.0,50.0,833.51,0.0011997,17.474,17.582,46.415,58.082,83.643,1250.0,-0.0049452,118.53,0.6417,liquid
500.0,51.0,833.6,0.0011996,17.472,17.582,46.411,58.081,83.628,1250.4,-0.0049604,118.55,0.64179,liquid
500.0,52.0,833.7,0.0011995,17.471,17.583,46.408,58.08,83.612,1250.8,-0.0049755,118.58,0.64189,liquid
500.0,53.0,833.79,0.0011993,17.469,17.583,46.404,58.079,83.597,1251.3,-0.0049907,118.61,0.64198,liquid
500.0,54.0,833.88,0.0011992,17.467,17.584,46.401,58.078,83.582,1251.7,-0.0050057,118.63,0.64208,liquid
500.0,55.0,833.97,0.0011991,17.465,17.584,46.397,58.077,83.567,1252.1,-0.0050208,118.66,0.64217,liquid
500.0,56.0,834.06,0.0011989,17.464,17.585,46.394,58.075,83.551,1252.6,-0.0050358,118.68,0.64227,liquid
500.0,57.0,834.16,0.0011988,17.462,17.585,46.39,58.074,83.536,1253.0,-0.0050508,118.71,0.64236,liquid
500.0,58.0,834.25,0.0011987,17.46,17.585,46.387,58.073,83.521,1253.4,-0.0050658,118.74,0.64246,liquid
500.0,59.0,834.34,0.0011986,17.458,17.586,46.384,58.072,83.506,1253.9,-0.0050807,118.76,0.64255,liquid
500.0,60.0,834.43,0.0011984,17.457,17.586,46.38,58.071,83.491,1254.3,-0.0050956,118.79,0.64265,liquid
500.0,61.0,834.52,0.0011983,17.455,17.587,46.377,58.07,83.476,1254.7,-0.0051105,118.82,0.64274,liquid
500.0,62.0,834.61,0.0011982,17.453,17.587,46.373,58.069,83.461,1255.2,-0.0051253,118.84,0.64284,liquid
500.0,63.0,834.7,0.001198,17.452,17.588,46.37,58.068,83.446,1255.6,-0.0051402,118.87,0.64293,liquid
500.0,64.0,834.79,0.0011979,17.45,17.588,46.366,58.067,83.431,1256.0,-0.005155,118.89,0.64303,liquid
500.0,65.0,834.89,0.0011978,17.448,17.588,46.363,58.066,83.416,1256.5,-0.0051697,118.92,0.64312,liquid
500.0,66.0,834.98,0.0011976,17.446,17.589,46.359,58.065,83.401,1256.9,-0.0051845,118.95,0.64321,liquid
500.0,67.0,835.07,0.0011975,17.445,17.589,46.356,58.063,83.386,1257.3,-0.0051992,118.97,0.64331,liquid
500.0,68.0,835.16,0.0011974,17.443,17.59,46.352,58.062,83.371,1257.8,-0.0052138,119.0,0.6434,liquid
500.0,69.0,835.25,0.0011972,17.441,17.59,46.349,58.061,83.357,1258.2,-0.0052285,119.03,0.6435,liquid
500.0,70.0,835.34,0.0011971,17.44,17.591,46.346,58.06,83.342,1258.6,-0.0052431,119.05,0.64359,liquid
500.0,71.0,835.43,0.001197,17.438,17.591,46.342,58.059,83.327,1259.0,-0.0052577,119.08,0.64369,liquid
500.0,72.0,835.52,0.0011969,17.436,17.591,46.339,58.058,83.312,1259.5,-0.0052723,119.1,0.64378,liquid
500.0,73.0,835.61,0.0011967,17.435,17.592,46.335,58.057,83.298,1259.9,-0.0052868,119.13,0.64388,liquid
500.0,74.0,835.7,0.0011966,17.433,17.592,46.332,58.056,83.283,1260.3,-0.0053013,119.16,0.64397,liquid
500.0,75.0,835.79,0.0011965,17.431,17.593,46.328,58.055,83.268,1260.7,-0.0053158,119.18,0.64406,liquid
500.0,76.0,835.88,0.0011963,17.429,17.593,46.325,58.054,83.254,1261.2,-0.0053302,119.21,0.64416,liquid
500.0,77.0,835.97,0.0011962,17.428,17.594,46.322,58.053,83.239,1261.6,-0.0053447,119.23,0.64425,liquid
500.0,78.0,836.06,0.0011961,17.426,17.594,46.318,58.052,83.224,1262.0,-0.0053591,119.26,0.64435,liquid
500.0,79.0,836.15,0.001196,17.424,17.595,46.315,58.05,83.21,1262.4,-0.0053734,119.29,0.64444,liquid
500.0,80.0,836.24,0.0011958,17.423,17.595,46.311,58.049,83.195,1262.9,-0.0053878,119.31,0.64453,liquid
500.0,81.0,836.33,0.0011957,17.421,17.595,46.308,58.048,83.181,1263.3,-0.0054021,119.34,0.64463,liquid
500.0,82.0,836.42,0.0011956,17.419,17.596,46.304,58.047,83.166,1263.7,-0.0054164,119.36,0.64472,liquid
500.0,83.0,836.51,0.0011954,17.418,17.596,46.301,58.046,83.152,1264.1,-0.0054306,119.39,0.64482,liquid
500.0,84.0,836.6,0.0011953,17.416,17.597,46.298,58.045,83.138,1264.6,-0.0054449,119.42,0.64491,liquid
500.0,85.0,836.69,0.0011952,17.414,17.597,46.294,58.044,83.123,1265.0,-0.0054591,119.44,0.645,liquid
500.0,86.0,836.78,0.0011951,17.413,17.598,46.291,58.043,83.109,1265.4,-0.0054733,119.47,0.6451,liquid
500.0,87.0,836.87,0.0011949,17.411,17.598,46.287,58.042,83.094,1265.8,-0.0054874,119.49,0.64519,liquid
500.0,88.0,836.96,0.0011948,17.409,17.599,46.284,58.041,83.08,1266.3,-0.0055016,119.52,0.64529,liquid
500.0,89.0,837.05,0.0011947,17.408,17.599,46.281,58.04,83.066,1266.7,-0.0055157,119.54,0.64538,liquid
500.0,90.0,837.14,0.0011945,17.406,17.6,46.277,58.039,83.052,1267.1,-0.0055297,119.57,0.64547,liquid
500.0,91.0,837.23,0.0011944,17.404,17.6,46.274,58.038,83.037,1267.5,-0.0055438,119.6,0.64557,liquid
500.0,92.0,837.32,0.0011943,17.403,17.6,46.271,58.037,83.023,1267.9,-0.0055578,119.62,0.64566,liquid
500.0,93.0,837.4,0.0011942,17.401,17.601,46.267,58.036,83.009,1268.4,-0.0055718,119.65,0.64575,liquid
500.0,94.0,837.49,0.001194,17.399,17.601,46.264,58.035,82.995,1268.8,-0.0055858,119.67,0.64585,liquid
500.0,95.0,837.58,0.0011939,17.398,17.602,46.26,58.034,82.981,1269.2,-0.0055997,119.7,0.64594,liquid
500.0,96.0,837.67,0.0011938,17.396,17.602,46.257,58.032,82.967,1269.6,-0.0056136,119.73,0.64603,liquid
500.0,97.0,837.76,0.0011937,17.394,17.603,46.254,58.031,82.952,1270.0,-0.0056275,119.75,0.64613,liquid
500.0,98.0,837.85,0.0011935,17.393,17.603,46.25,58.03,82.938,1270.4,-0.0056414,119.78,0.64622,liquid
500.0,99.0,837.94,0.0011934,17.391,17.604,46.247,58.029,82.924,1270.9,-0.0056552,119.8,0.64631,liquid
500.0,100.0,838.02,0.0011933,17.389,17.604,46.244,58.028,82.91,1271.3,-0.005669,119.83,0.64641,liquid
500.0,200.0,846.53,0.0011813,17.231,17.656,45.92,57.929,81.623,1311.3,-0.0069326,122.33,0.65557,liquid
500.0,300.0,854.45,0.0011703,17.084,17.717,45.617,57.838,80.523,1348.3,-0.008002,124.73,0.66442,liquid
500.0,400.0,861.88,0.0011603,16.948,17.785,45.333,57.753,79.565,1382.9,-0.0089212,127.04,0.673,liquid
500.0,500.0,868.88,0.0011509,16.822,17.858,45.064,57.673,78.722,1415.4,-0.0097214,129.26,0.68135,liquid
500.0,600.0,875.52,0.0011422,16.703,17.937,44.809,57.597,77.97,1446.2,-0.010425,131.43,0.68948,liquid
500.0,700.0,881.84,0.001134,16.591,18.021,44.566,57.525,77.294,1475.4,-0.011049,133.53,0.69743,liquid
500.0,800.0,887.88,0.0011263,16.485,18.108,44.333,57.455,76.68,1503.3,-0.011608,135.59,0.7052,liquid
500.0,900.0,893.66,0.001119,16.384,18.199,44.11,57.389,76.121,1530.0,-0.01211,137.6,0.7128,liquid
500.0,1000.0,899.21,0.0011121,16.289,18.292,43.895,57.324,75.607,1555.7,-0.012564,139.57,0.72025,liquid
500.0,1100.0,904.57,0.0011055,16.198,18.389,43.688,57.262,75.133,1580.4,-0.012976,141.51,0.72753,liquid
500.0,1200.0,909.73,0.0010992,16.111,18.487,43.489,57.202,74.694,1604.2,-0.013353,143.42,0.7345,liquid
