Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
298.0,4.8,997.26,0.0010028,1.8765,1.8852,6.5755,74.527,75.309,1496.9,-0.022156,893.02,0.60649,liquid
298.0,4.9,997.26,0.0010027,1.8765,1.8854,6.5755,74.526,75.308,1497.0,-0.022156,893.02,0.60649,liquid
298.0,5.0,997.27,0.0010027,1.8765,1.8855,6.5754,74.526,75.308,1497.0,-0.022156,893.02,0.6065,liquid
298.0,5.1,997.27,0.0010027,1.8765,1.8857,6.5754,74.525,75.307,1497.0,-0.022156,893.01,0.6065,liquid
298.0,5.2,997.27,0.0010027,1.8765,1.8859,6.5754,74.525,75.307,1497.0,-0.022156,893.01,0.60651,liquid
298.0,5.3,997.28,0.0010027,1.8764,1.886,6.5753,74.524,75.306,1497.0,-0.022156,893.01,0.60651,liquid
298.0,5.4,997.28,0.0010027,1.8764,1.8862,6.5753,74.523,75.306,1497.0,-0.022156,893.01,0.60652,liquid
298.0,5.5,997.29,0.0010027,1.8764,1.8864,6.5752,74.523,75.305,1497.1,-0.022156,893.01,0.60653,liquid
298.0,5.6,997.29,0.0010027,1.8764,1.8865,6.5752,74.522,75.305,1497.1,-0.022156,893.01,0.60653,liquid
298.0,5.7,997.3,0.0010027,1.8764,1.8867,6.5751,74.522,75.304,1497.1,-0.022156,893.01,0.60654,liquid
298.0,5.8,997.3,0.0010027,1.8764,1.8869,6.5751,74.521,75.304,1497.1,-0.022155,893.0,0.60654,liquid
298.0,5.9,997.31,0.0010027,1.8764,1.887,6.575,74.52,75.303,1497.1,-0.022155,893.0,0.60655,liquid
298.0,6.0,997.31,0.0010027,1.8763,1.8872,6.575,74.52,75.303,1497.1,-0.022155,893.0,0.60655,liquid
298.0,6.1,997.32,0.0010027,1.8763,1.8874,6.5749,74.519,75.302,1497.2,-0.022155,893.0,0.60656,liquid
298.0,6.2,997.32,0.0010027,1.8763,1.8875,6.5749,74.519,75.302,1497.2,-0.022155,893.0,0.60656,liquid
298.0,6.3,997.32,0.0010027,1.8763,1.8877,6.5748,74.518,75.301,1497.2,-0.022155,893.0,0.60657,liquid
298.0,6.4,997.33,0.0010027,1.8763,1.8879,6.5748,74.517,75.301,1497.2,-0.022155,893.0,0.60658,liquid
298.0,6.5,997.33,0.0010027,1.8763,1.888,6.5748,74.517,75.3,1497.2,-0.022155,892.99,0.60658,liquid
298.0,6.6,997.34,0.0010027,1.8763,1.8882,6.5747,74.516,75.299,1497.2,-0.022155,892.99,0.60659,liquid
298.0,6.7,997.34,0.0010027,1.8763,1.8884,6.5747,74.515,75.299,1497.3,-0.022155,892.99,0.60659,liquid
298.0,6.8,997.35,0.0010027,1.8762,1.8885,6.5746,74.515,75.298,1497.3,-0.022155,892.99,0.6066,liquid
298.0,6.9,997.35,0.0010027,1.8762,1.8887,6.5746,74.514,75.298,1497.3,-0.022155,892.99,0.6066,liquid
298.0,7.0,997.36,0.0010027,1.8762,1.8889,6.5745,74.514,75.297,1497.3,-0.022155,892.99,0.60661,liquid
298.0,7.1,997.36,0.0010026,1.8762,1.889,6.5745,74.513,75.297,1497.3,-0.022155,892.99,0.60662,liquid
298.0,7.2,997.37,0.0010026,1.8762,1.8892,6.5744,74.512,75.296,1497.3,-0.022155,892.98,0.60662,liquid
298.0,7.3,997.37,0.0010026,1.8762,1.8894,6.5744,74.512,75.296,1497.4,-0.022155,892.98,0.60663,liquid
