1,298,1,52.8513
1,298,2,57.776
1,298,5,58.6611
1,298,10,58.2507
1,298,20,60.5814
1,298,50,53.4823
1,298,100,56.3621
1,298,200,55.5152
1,298,500,60.4129
1,298,1000,61.9104
1,298,2000,63.9475
1,298,5000,67.6088
1,400,1,49.8713
1,400,2,52.3854
1,400,5,51.4921
1,400,10,47.3138
1,400,20,48.7421
1,400,50,54.0905
1,400,100,54.8308
1,400,200,49.6264
1,400,500,53.7752
1,400,1000,52.7533
1,400,2000,56.4482
1,400,5000,64.8799
1,500,1,44.8463
1,500,2,44.0551
1,500,5,42.8707
1,500,10,41.1097
1,500,20,42.2233
1,500,50,43.1526
1,500,100,42.6522
1,500,200,41.376
1,500,500,45.9726
1,500,1000,47.5916
1,500,2000,50.3511
1,500,5000,53.7882
1,600,1,1.00303
1,600,2,1.009
1,600,5,1.03011
1,600,10,1.062
1,600,20,1.13089
1,600,50,27.4461
1,600,100,28.0907
1,600,200,29.4622
1,600,500,32.0554
1,600,1000,35.3796
1,600,2000,41.5294
1,600,5000,49.6677
1,700,1,1.00169
1,700,2,1.00554
1,700,5,1.01997
1,700,10,1.04882
1,700,20,1.11057
1,700,50,1.31344
1,700,100,1.68822
1,700,200,3.29947
1,700,500,19.8835
1,700,1000,26.5135
1,700,2000,33.2318
1,700,5000,43.1108
1,800,1,1.00105
1,800,2,1.00394
1,800,5,1.01548
1,800,10,1.03738
1,800,20,1.08619
1,800,50,1.23232
1,800,100,1.54973
1,800,200,2.21733
1,800,500,7.1833
1,800,1000,17.4055
1,800,2000,26.1964
1,800,5000,35.005
1,900,1,1.00086
1,900,2,1.00312
1,900,5,1.01191
1,900,10,1.0336
1,900,20,1.07747
1,900,50,1.22371
1,900,100,1.43399
1,900,200,1.99477
1,900,500,4.67647
1,900,1000,10.9937
1,900,2000,19.5508
1,900,5000,31.0351
1,1000,1,1.00065
1,1000,2,1.00212
1,1000,5,1.01096
1,1000,10,1.02812
1,1000,20,1.06666
1,1000,50,1.17907
1,1000,100,1.34904
1,1000,200,1.85236
1,1000,500,3.52209
1,1000,1000,7.86581
1,1000,2000,16.1368
1,1000,5000,27.3886
1,273,1,49.6595
1,273,2,55.3133
1,273,5,59.8358
1,273,10,62.6668
1,273,20,57.2984
1,273,50,58.9238
1,273,100,59.6035
1,273,200,58.452
1,273,500,59.7992
1,273,1000,59.3431
1,273,2000,63.3122
1,273,5000,67.2257
1,283,1,54.9223
1,283,2,52.8619
1,283,5,56.5205
1,283,10,60.7833
1,283,20,61.7626
1,283,50,55.0366
1,283,100,54.1453
1,283,200,55.7562
1,283,500,56.8689
1,283,1000,56.8422
1,283,2000,61.8914
1,283,5000,67.4207
1,293,1,52.8904
1,293,2,61.5312
1,293,5,56.3371
1,293,10,57.2982
1,293,20,55.9341
1,293,50,59.3957
1,293,100,51.6075
1,293,200,58.1531
1,293,500,59.3709
1,293,1000,63.898
1,293,2000,66.3773
1,293,5000,66.0791
1,303,1,56.1983
1,303,2,57.6276
1,303,5,55.2263
1,303,10,59.752
1,303,20,54.2244
1,303,50,56.2706
1,303,100,62.7975
1,303,200,58.3465
1,303,500,61.946
1,303,1000,58.0879
1,303,2000,63.3018
1,303,5000,67.9248
1,313,1,52.4334
1,313,2,54.9239
1,313,5,55.7332
1,313,10,55.6799
1,313,20,59.4898
1,313,50,55.4951
1,313,100,61.4323
1,313,200,57.1062
1,313,500,53.2822
1,313,1000,63.2151
1,313,2000,62.6436
1,313,5000,64.2108
1,323,1,60.0343
1,323,2,58.5291
1,323,5,56.1751
1,323,10,60.6527
1,323,20,61.3067
1,323,50,55.9617
1,323,100,60.202
1,323,200,60.532
1,323,500,58.8563
1,323,1000,62.9315
1,323,2000,63.4861
1,323,5000,66.8758
1,333,1,59.4923
1,333,2,57.6928
1,333,5,62.0402
1,333,10,57.0691
1,333,20,58.9757
1,333,50,59.7995
1,333,100,55.1607
1,333,200,55.7718
1,333,500,57.6626
1,333,1000,61.3065
1,333,2000,64.8742
1,333,5000,66.3364
1,343,1,57.0139
1,343,2,57.1604
1,343,5,54.393
1,343,10,56.0467
1,343,20,53.3948
1,343,50,58.0949
1,343,100,56.775
1,343,200,57.1058
1,343,500,57.697
1,343,1000,62.1487
1,343,2000,60.5811
1,343,5000,69.4174
1,353,1,55.455
1,353,2,53.1031
1,353,5,55.6893
1,353,10,58.1423
1,353,20,59.0822
1,353,50,54.9264
1,353,100,59.9255
1,353,200,53.8521
1,353,500,57.3691
1,353,1000,57.2185
1,353,2000,58.0357
1,353,5000,62.684
1,363,1,56.6436
1,363,2,57.2055
1,363,5,56.5823
1,363,10,54.6732
1,363,20,57.705
1,363,50,50.1593
1,363,100,56.8067
1,363,200,57.1305
1,363,500,54.3373
1,363,1000,58.8989
1,363,2000,60.3249
1,363,5000,61.0667
1,373,1,57.8525
1,373,2,54.2711
1,373,5,55.22
1,373,10,56.4107
1,373,20,51.8093
1,373,50,54.4529
1,373,100,55.7761
1,373,200,56.0944
1,373,500,61.3373
1,373,1000,55.9514
1,373,2000,58.8
1,373,5000,63.9692
2,298,1,56.5488
2,298,2,59.2049
2,298,5,59.4878
2,298,10,60.0987
2,298,20,65.3162
2,298,50,56.3021
2,298,100,58.3143
2,298,200,55.7283
2,298,500,59.5563
2,298,1000,60.4403
2,298,2000,59.4216
2,298,5000,69.3432
2,400,1,54.6131
2,400,2,51.0756
2,400,5,49.3743
2,400,10,50.0064
2,400,20,52.8975
2,400,50,52.7786
2,400,100,51.639
2,400,200,49.5646
2,400,500,53.8396
2,400,1000,54.9407
2,400,2000,56.6424
2,400,5000,63.091
2,500,1,39.7608
2,500,2,42.709
2,500,5,44.2914
2,500,10,42.9663
2,500,20,42.4721
2,500,50,40.2875
2,500,100,43.9455
2,500,200,43.2351
2,500,500,45.362
2,500,1000,47.2131
2,500,2000,47.3417
2,500,5000,58.1174
2,600,1,1.00293
2,600,2,1.00836
2,600,5,1.02781
2,600,10,1.06026
2,600,20,1.12374
2,600,50,27.2458
2,600,100,27.197
2,600,200,29.6644
2,600,500,33.0305
2,600,1000,38.0111
2,600,2000,42.5804
2,600,5000,49.3279
2,700,1,1.00144
2,700,2,1.00554
2,700,5,1.02009
2,700,10,1.05144
2,700,20,1.10036
2,700,50,1.26661
2,700,100,1.55984
2,700,200,2.58554
2,700,500,19.6128
2,700,1000,26.7309
2,700,2000,34.1741
2,700,5000,41.6357
2,800,1,1.0011
2,800,2,1.00354
2,800,5,1.01585
2,800,10,1.03588
2,800,20,1.08653
2,800,50,1.21544
2,800,100,1.4981
2,800,200,2.15741
2,800,500,7.20157
2,800,1000,17.7492
2,800,2000,25.2682
2,800,5000,35.0663
2,900,1,1.00083
2,900,2,1.00283
2,900,5,1.01143
2,900,10,1.03407
2,900,20,1.07778
2,900,50,1.205
2,900,100,1.41831
2,900,200,1.8968
2,900,500,4.28321
2,900,1000,11.5541
2,900,2000,20.3594
2,900,5000,32.1015
2,1000,1,1.00062
2,1000,2,1.00216
2,1000,5,1.01013
2,1000,10,1.0267
2,1000,20,1.06024
2,1000,50,1.18179
2,1000,100,1.3835
2,1000,200,1.77378
2,1000,500,3.51617
2,1000,1000,7.74999
2,1000,2000,15.4246
2,1000,5000,27.1909
2,273,1,50.2943
2,273,2,56.3629
2,273,5,52.7401
2,273,10,56.6881
2,273,20,58.8226
2,273,50,59.2016
2,273,100,58.6296
2,273,200,57.1342
2,273,500,53.788
2,273,1000,60.5978
2,273,2000,59.4116
2,273,5000,72.8296
2,283,1,57.6866
2,283,2,59.071
2,283,5,55.6645
2,283,10,59.276
2,283,20,58.4487
2,283,50,56.6253
2,283,100,59.7126
2,283,200,55.3113
2,283,500,64.2417
2,283,1000,60.1381
2,283,2000,58.1473
2,283,5000,66.9608
2,293,1,55.7841
2,293,2,59.6466
2,293,5,58.4125
2,293,10,60.5577
2,293,20,53.7618
2,293,50,58.5583
2,293,100,62.6027
2,293,200,60.7946
2,293,500,56.9233
2,293,1000,63.3684
2,293,2000,64.6918
2,293,5000,69.6318
2,303,1,58.0867
2,303,2,56.0117
2,303,5,56.5749
2,303,10,55.2058
2,303,20,55.1776
2,303,50,59.0067
2,303,100,56.0363
2,303,200,57.2099
2,303,500,59.1108
2,303,1000,56.2424
2,303,2000,63.1912
2,303,5000,71.5172
2,313,1,59.1701
2,313,2,54.4861
2,313,5,58.1182
2,313,10,58.6366
2,313,20,56.0929
2,313,50,56.4567
2,313,100,58.0251
2,313,200,58.3115
2,313,500,59.1689
2,313,1000,57.5488
2,313,2000,63.8053
2,313,5000,71.3546
2,323,1,58.7224
2,323,2,55.8393
2,323,5,57.7752
2,323,10,54.7215
2,323,20,57.7758
2,323,50,52.8733
2,323,100,60.0583
2,323,200,57.8447
2,323,500,58.5984
2,323,1000,53.5804
2,323,2000,60.4195
2,323,5000,63.4576
2,333,1,57.5555
