config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.135,2.2623,2.3951,2.14650770042645,1,1,2
2,2.4604,2.7146,2.9812,2.63131016786427,0,0,0
3,2.5309,2.7936,3.0646,2.74406798928038,0,0,0
4,2.246,2.4308,2.6237,2.29548512402448,0,0,0
5,2.3039,2.4865,2.6713,2.36970020407717,1,0,1
6,2.3995,2.6348,2.8789,2.52871635823717,0,0,0
7,2.3699,2.6015,2.8429,2.48458721729558,0,0,0
8,2.0497,2.137,2.2281,2.04734945070697,0,0,0
9,2.1672,2.3067,2.4508,2.18652685396579,0,0,0
10,2.3039,2.5045,2.7132,2.37738114548872,0,0,0
11,2.5166,2.8162,3.1271,2.76853288916567,0,0,0
12,2.5125,2.7775,3.0521,2.71949088686505,0,0,0
13,2.3402,2.5695,2.8133,2.4411360688327,2,0,2
14,2.406,2.6294,2.8549,2.52972703524059,1,0,1
15,1.8437,1.8469,1.8514,1.84304952590378,0,1,1
16,1.9034,1.9272,1.9519,1.89858121791084,0,0,0
17,1.9657,2.0154,2.0651,1.95903033537095,0,0,0
18,2.2479,2.4027,2.5588,2.28861281308732,0,0,0
19,2.3277,2.4994,2.6712,2.3950570459557,1,0,1
20,1.9345,1.9701,2.008,1.92864637787386,1,1,2
21,2.2246,2.4374,2.6685,2.2757195450284,0,1,1
22,2.2584,2.4344,2.6142,2.30871490698938,1,0,1
23,1.9124,1.943,1.9764,1.90669029114344,0,0,0
24,1.9583,2.0054,2.0538,1.95166672895007,0,0,0
25,2.0541,2.1419,2.2348,2.05225875017184,0,0,0
26,2.1898,2.3268,2.4642,2.21348479362338,0,0,0
27,2.3097,2.502,2.698,2.38159017444428,0,1,1
28,2.358,2.574,2.7975,2.45831866392407,1,0,1
29,2.2667,2.4495,2.641,2.3212010489807,0,0,0
30,2.5321,2.8182,3.1127,2.7751472879547,0,1,1
31,2.3412,2.5397,2.7402,2.42633769616812,1,0,1
32,2.1841,2.3134,2.4429,2.20516838740506,1,0,1
33,2.3569,2.5674,2.7816,2.45402203241713,0,0,0
34,2.2429,2.4086,2.5791,2.28553738143081,2,1,3
35,2.4176,2.6631,2.9236,2.5614459686032,1,0,1
36,2.2651,2.4205,2.5776,2.30992141479608,0,0,0
37,2.1656,2.3022,2.4447,2.18403635570449,1,0,1
38,2.3466,2.5431,2.754,2.43029120818326,0,0,0
39,2.156,2.2811,2.408,2.17116353786369,0,0,0
40,2.5432,2.839,3.1433,2.80543281603547,0,0,0
41,2.2872,2.4727,2.6625,2.34923922220431,2,0,2
42,2.4352,2.6872,2.947,2.59358633408139,0,0,0
43,2.0523,2.1276,2.2015,2.05078861849259,2,0,2
44,2.4125,2.6573,2.9121,2.55446158687131,0,1,1
45,2.3135,2.5091,2.712,2.38762899310967,0,1,1
46,2.4755,2.749,3.0321,2.67399362063603,0,1,1
47,2.135,2.2526,2.3721,2.14564180336612,0,0,0
48,2.554,2.8364,3.1273,2.80375564353188,0,0,0
49,2.0577,2.1275,2.1967,2.0566680259491,0,0,0
50,2.6831,3.0253,3.3772,3.11757625815219,0,0,0
51,1.996,2.0818,2.1777,1.9880422840728,0,0,0
52,2.2034,2.3625,2.5228,2.23497140848665,0,1,1
53,2.3732,2.596,2.8258,2.4835553063488,1,1,2
54,1.9897,2.0567,2.129,1.98295276561887,0,0,0
55,2.4781,2.7228,2.9748,2.64812650727102,0,0,0
56,2.2453,2.4028,2.5619,2.28624711174844,1,0,1
57,2.5062,2.7751,3.0545,2.71455129513128,0,0,0
58,2.4287,2.6658,2.9153,2.57047438132655,0,1,1
59,2.1331,2.2542,2.3781,2.14374946107627,0,1,1
60,2.041,2.1044,2.1666,2.03882385431395,0,0,0
61,2.0588,2.1623,2.2699,2.05721517862626,0,1,1
