config,dipole_l,dipole_m,dipole_h,muL
157,2.5991,2.9151,3.2408,2.9257885543400257
137,2.5007,2.778,3.0653,2.7161833547113443
2,2.597,2.8978,3.2065,2.897557164610885
66,2.3239,2.5069,2.6952,2.3950747962823455
98,2.5279,2.7897,3.0621,2.738321737864421
108,2.4802,2.7254,2.9725,2.6524171605419236
168,2.4856,2.7549,3.0352,2.6842653435296366
162,2.519,2.7824,3.0486,2.728039190537235
185,2.4727,2.7255,2.985,2.648583706315822
179,2.5719,2.862,3.1677,2.841706272400472
24,2.6385,2.9491,3.2737,2.980871597279486
122,2.5437,2.8319,3.1305,2.7956316257591847
61,2.6564,2.9845,3.3294,3.0440038503278535
194,2.2771,2.4593,2.6456,2.33490826931958
193,2.6931,3.0507,3.4348,3.1771027439327306
136,2.3855,2.5981,2.8175,2.4932870516688213
82,2.4924,2.7704,3.0539,2.7050611827940747
75,2.5131,2.8131,3.1271,2.76324619932424
48,2.5709,2.8483,3.1298,2.8228990577229465
14,2.4723,2.7477,3.0362,2.6707396768882194
51,2.5608,2.8418,3.1319,2.8121800097407053
147,2.6279,2.9557,3.3042,2.9956183021474514
16,2.2894,2.4477,2.6088,2.340838276816369
8,2.284,2.467,2.6578,2.343559259168442
81,2.4921,2.7624,3.0443,2.694986343022133
52,2.4414,2.6733,2.9189,2.5835683432749836
166,2.4755,2.7171,2.968,2.6410809955732497
138,2.4565,2.7101,2.9816,2.624198096524196
5,2.2907,2.4687,2.6498,2.35064738299957
119,2.6512,2.9792,3.3161,3.033721425355823
13,2.7111,3.0526,3.4058,3.165200700905477
180,2.4238,2.6588,2.9007,2.562770463329111
97,2.726,3.0905,3.4709,3.250298074425626
170,2.6113,2.9251,3.2515,2.942069535255466
109,2.4072,2.6434,2.8845,2.540866879367345
18,2.2318,2.3964,2.5685,2.271042933477564
9,2.6005,2.8955,3.2027,2.8939477923732686
86,2.4577,2.6947,2.9403,2.6117320229295675
55,2.6236,2.9232,3.2321,2.937727815640435
34,2.604,2.9136,3.2373,2.923134999686816
199,2.4092,2.663,2.9324,2.5563173603137415
63,2.4735,2.7438,3.0264,2.667130219895237
87,2.4698,2.7026,2.9408,2.625266521807991
36,2.4585,2.7316,3.0171,2.6476545736437593
11,2.4272,2.6486,2.8752,2.5566427653603783
127,2.3631,2.5669,2.7737,2.4582409618465983
95,2.3931,2.6308,2.8812,2.5209195846345267
70,2.8249,3.2251,3.6446,3.5575612250576265
94,2.3888,2.6111,2.8427,2.504149591857917
150,2.7135,3.0659,3.4298,3.1950035405508412
32,2.5387,2.8444,3.1653,2.8117785336645382
192,2.4823,2.7461,3.0172,2.6739254023535297
131,2.5991,2.9131,3.2391,2.9224823714566313
145,2.2201,2.3523,2.4807,2.2488523149249557
35,2.5622,2.8558,3.1589,2.8319569920495318
71,2.5151,2.8073,3.1121,2.7563416919027754
167,2.5095,2.7826,3.0688,2.724081156997821
84,2.4007,2.6348,2.8865,2.5279458480992143
53,2.6621,2.9978,3.344,3.0678769444828276
