config,dipole_l,dipole_m,dipole_h,muL
8,2.7818,3.1965,3.6448,3.5422850098109038
90,2.7403,3.1002,3.4748,3.2637465552474234
91,2.5285,2.7978,3.082,2.747761649003635
92,2.5206,2.7994,3.0862,2.7483475715822596
93,2.541,2.8242,3.1212,2.7844861344807375
94,2.6172,2.9208,3.228,2.9340009437587904
95,2.3829,2.6122,2.8489,2.5013908090036474
96,2.5118,2.7882,3.0801,2.731204982091845
97,2.7197,3.0652,3.4247,3.1904909983644747
98,2.1873,2.3065,2.4366,2.2061250007433215
99,2.6287,2.9463,3.2817,2.977735917794486
9,2.139,2.2497,2.3643,2.1494289832165334
