500,200,846.53,0.0011813,17.231,17.656,45.92,57.929,81.623,1311.3,-0.0069326,122.33,0.65557,liquid,31.25369757,2.849329875,2.1546,2.48578591870406,2.69988888888889,0.33740337878606
500,500,868.88,0.0011509,16.822,17.858,45.064,57.673,78.722,1415.4,-0.0097214,129.26,0.68135,liquid,32.47123916,2.87044601,2.1553,2.51153406930765,2.73744444444444,0.35859080377029
500,1000,899.21,0.0011121,16.289,18.292,43.895,57.324,75.607,1555.7,-0.012564,139.57,0.72025,liquid,34.14872349,2.897700437,2.1561,2.51217576471975,2.79418444444444,0.34156622796265
500,2000,945.83,0.0010573,15.529,19.338,42.086,56.78,72.043,1770.3,-0.015489,157.84,0.78936,liquid,36.79410934,2.937512454,2.1572,2.533322148908,2.87460666666667,0.37697235490987
500,5000,1039.4,0.0009621,14.264,22.93,38.412,55.769,67.522,2200.7,-0.018339,205.91,0.95764,liquid,42.44360294,3.017257097,2.1591,2.58031032848912,3.01899777777778,0.41482827796956
600,1,0.36185,2.7635,51.387,56.365,149.7,28.103,36.513,598.61,1.0567,21.425,0.046424,vapor,1.002296864,1.000284106,1.8477,1.85661165913732,0.0267422222222222,0.00891165913732017
600,2,0.72518,1.379,51.358,56.327,143.89,28.197,36.704,597.95,1.0574,21.416,0.046573,vapor,1.004607844,1.000571404,1.8481,1.85530366620561,0.0281,0.00720366620560986
600,5,1.8242,0.5482,51.271,56.209,136.13,28.487,37.298,595.97,1.0593,21.39,0.047026,vapor,1.011627149,1.00145278,1.8494,1.85814326332359,0.0384733333333333,0.00874326332358999
600,10,3.6871,0.27122,51.123,56.009,130.11,29.002,38.358,592.58,1.0615,21.349,0.047802,vapor,1.023625311,1.002988883,1.8517,1.85651000601848,0.0578755555555556,0.00481000601848014
600,20,7.5406,0.13262,50.811,55.589,123.82,30.146,40.767,585.49,1.0624,21.27,0.049444,vapor,1.048849595,1.006332469,1.8564,1.86991941890681,0.11144,0.01351941890681
600,200,675.11,0.0014812,26.244,26.778,62.481,54.114,110.2,847.35,0.031519,79.73,0.52514,liquid,17.50311118,2.447633791,2.1416,2.36395737165456,2.09294222222222,0.25168331821734
600,500,734.55,0.0013614,24.998,26.224,60.285,53.149,90.905,1075.1,0.0098221,90.148,0.5747,liquid,19.90434236,2.534540683,2.1451,2.39175822726608,2.20936444444444,0.25006945950299
600,1000,791.49,0.0012634,23.82,26.097,58.109,52.776,81.104,1300.4,-0.0020786,101.85,0.63492,liquid,22.29018124,2.607888504,2.1479,2.42208503190728,2.32142,0.26593601216799
600,2000,861.35,0.001161,22.451,26.634,55.381,52.639,73.969,1588.6,-0.010492,119.16,0.72807,liquid,25.33571821,2.687375614,2.1507,2.4567953840492,2.46648444444444,0.32593394735429
600,5000,978.53,0.0010219,20.481,29.687,50.731,52.734,67.584,2093.8,-0.016883,156.33,0.93496,liquid,30.81777633,2.807188163,2.1544,2.50558791428469,2.69277555555556,0.3447971740684
700,1,0.30988,3.227,54.256,60.069,155.41,29.225,37.592,643.92,0.66444,25.562,0.057782,vapor,1.001712979,1.000260207,1.8475,1.85566091486336,0.0184555555555556,0.00816091486336013
700,2,0.62046,1.6117,54.237,60.044,149.62,29.269,37.689,643.55,0.6644,25.561,0.057878,vapor,1.003432584,1.000522181,1.8479,1.85628905062752,0.0191177777777778,0.00838905062751993
