config,dipole_l,dipole_m,dipole_h,muL
178,2.2795,2.4542,2.6317,2.3350899078023524
188,2.2213,2.3405,2.4566,2.246933071067681
26,2.2938,2.4565,2.623,2.3479604303834196
30,1.9573,2.0032,2.0503,1.9507820465771533
169,2.6213,2.9686,3.3385,3.0228135323571284
158,2.5348,2.8242,3.1221,2.7836550061463217
22,2.2955,2.4583,2.6235,2.3503110670525142
15,2.5366,2.8081,3.0795,2.7641019156671676
37,2.3187,2.5123,2.7133,2.3933919265031163
47,2.5375,2.798,3.0702,2.75075306212006
7,2.176,2.3175,2.4667,2.1972114233774716
163,2.1587,2.2944,2.4342,2.175781588639244
173,2.4263,2.7112,3.023,2.608441109212366
46,2.4853,2.7408,3.0038,2.669469938680448
148,2.1747,2.3107,2.4495,2.19503005603755
57,1.9715,2.0298,2.092,1.9643304378449173
65,2.4063,2.6243,2.846,2.525796870229074
44,2.1751,2.306,2.4374,2.1947666422764764
12,2.3647,2.5624,2.7619,2.4567836736207935
121,2.3535,2.5982,2.8499,2.4711125453211173
197,2.6672,3.0165,3.3855,3.108214236204693
40,2.5045,2.7788,3.068,2.717749312694043
60,2.2901,2.4847,2.684,2.3569717909509342
111,2.3781,2.5645,2.752,2.4673795226829807
155,2.2609,2.4242,2.5968,2.3065752661381835
189,2.3639,2.5633,2.7667,2.456414872456519
154,2.2588,2.4268,2.5998,2.3061750800312715
139,2.4011,2.6484,2.9081,2.539852887163695
174,2.1403,2.2687,2.4027,2.152874843053889
106,2.1152,2.2217,2.3291,2.1218182732916255
25,2.0267,2.0989,2.1713,2.022555834172137
141,2.3262,2.5138,2.704,2.4007958995309275
191,2.5034,2.7725,3.051,2.710756896509251
76,2.3544,2.5674,2.7892,2.4513642750996185
4,2.3066,2.4976,2.7022,2.375432257098677
198,2.3632,2.6038,2.8529,2.48172144019508
107,2.4556,2.704,2.9597,2.619608972925993
115,2.1907,2.3287,2.4727,2.2142892892587636
187,2.2427,2.4268,2.6229,2.290521460621407
100,2.2778,2.4431,2.6103,2.329333678952042
42,2.5757,2.8529,3.1317,2.8300050703146438
144,2.612,2.9301,3.2591,2.9505827489075913
85,2.4201,2.6469,2.877,2.55154850710797
195,2.1911,2.3334,2.4794,2.2158729303407623
58,2.4938,2.7491,3.0094,2.6819358952329124
200,2.4917,2.7599,3.0322,2.693074644695191
88,2.2827,2.4669,2.6617,2.342003078897505
116,2.2811,2.4452,2.6094,2.3332221091494305
184,2.0427,2.1372,2.2327,2.039185050508115
165,2.1747,2.3057,2.4395,2.1941355884537637
159,2.3936,2.6647,2.9487,2.548696947087635
175,2.1885,2.3339,2.4856,2.2131603608078603
110,2.4889,2.7443,3.0154,2.6734099521167565
117,2.0531,2.1266,2.1989,2.0516728928362404
69,2.502,2.7744,3.0557,2.712548154986006
152,2.4801,2.7428,3.0145,2.6692657622406735
92,2.6803,2.9989,3.3238,3.063086028607208
33,2.4767,2.7339,2.9953,2.659242116226731
72,2.2242,2.3767,2.5301,2.258876747257382
91,2.0802,2.1964,2.3246,2.0817433774829297
133,2.4282,2.6933,2.978,2.5934514259137895
96,2.212,2.3866,2.5693,2.249030742868587
164,2.3586,2.576,2.8036,2.459565668846275
135,2.525,2.7822,3.0398,2.72988193483988
112,2.5742,2.8846,3.2127,2.876066428858112
49,2.2652,2.4286,2.5917,2.313157165860423
77,2.5518,2.8887,3.2515,2.881746431440295
64,2.6538,2.9779,3.3085,3.0301306771539354
146,2.3953,2.6026,2.8124,2.5034644014276473
104,2.4557,2.703,2.9563,2.6189165954372635
134,2.2727,2.4581,2.6529,2.329828173361403
27,2.1019,2.2007,2.301,2.106165370639855
73,2.4002,2.6302,2.8607,2.527041616109389
28,2.2105,2.3684,2.5276,2.2434344442803367
78,2.3892,2.6192,2.8661,2.5089824697852348
105,2.1425,2.2625,2.3878,2.154477341460846
29,2.4574,2.684,2.9103,2.6032299258492184
101,2.5783,2.854,3.1367,2.831541538770828
102,2.4587,2.7416,3.0348,2.658718898197496
38,2.5277,2.8319,3.1563,2.7915996568417505
186,2.3448,2.5476,2.7568,2.4328362890126747
1,2.2457,2.3917,2.5422,2.282755330980036
143,2.3963,2.6178,2.846,2.514262013910139
177,2.1136,2.2177,2.3308,2.1195582869084535
123,2.5133,2.7899,3.0727,2.7348335830145776
132,2.4767,2.7604,3.0611,2.686111616933454
68,2.4638,2.6923,2.9256,2.6130742918584744
130,2.2639,2.4394,2.6237,2.3148434463182364
182,2.5326,2.8383,3.1576,2.8021292914184732
161,2.6547,2.9898,3.3367,3.054275010768864
181,2.1301,2.247,2.3729,2.1395513739372056
56,2.5673,2.8502,3.146,2.824487974449722
3,2.6572,2.9718,3.3051,3.0194145596241904
74,2.2837,2.4717,2.6691,2.34507425386395
151,2.0764,2.1713,2.2667,2.077205964805379
128,2.4584,2.7317,3.0235,2.6467468248716717
118,2.6795,2.9847,3.2973,3.036321307053682
125,2.4735,2.7555,3.0501,2.679942934412543
153,2.1281,2.2371,2.3499,2.1367219202228114
79,2.4327,2.6885,2.9557,2.592836935612197
67,2.4832,2.7304,2.9775,2.658954456412217
89,2.1572,2.2817,2.4075,2.172520313532352
80,2.4318,2.6712,2.921,2.5771390756141415
142,2.3097,2.4999,2.6946,2.380444012948113
31,2.3167,2.543,2.7793,2.4077548181494954
129,2.3289,2.5272,2.7295,2.409737664563402
93,2.176,2.3031,2.4278,2.1954500845958616
6,2.5546,2.8394,3.1321,2.8079811412359206
113,2.3354,2.5287,2.7246,2.4157609679569
20,2.4762,2.7393,3.0131,2.6637013060852235
172,2.3695,2.5829,2.7994,2.4729057533334005
140,2.6209,2.928,3.2413,2.945856461668614
99,2.3818,2.5915,2.7998,2.487325810769628
62,2.4657,2.6945,2.9251,2.6164410665462303
83,2.597,2.9144,3.2499,2.9249474937334856
19,2.2709,2.4667,2.675,2.331299718340097
59,2.5987,2.8852,3.1772,2.8782145606946505
54,2.3323,2.5236,2.7133,2.41097382157866
149,2.1748,2.3112,2.4492,2.195313755059699
103,2.4927,2.78,3.0786,2.7157061898540578
126,2.0754,2.1682,2.263,2.0760540240077625
39,1.9975,2.0592,2.1252,1.9918908469451775
50,2.4448,2.6786,2.9194,2.591058255077358
120,2.6212,2.9255,3.2419,2.9418820992764254
114,2.6831,3.0002,3.3285,3.0656968252544807
17,2.3074,2.4937,2.6844,2.375610068179804
21,2.7019,3.0313,3.3647,3.1203401780199833
10,2.5329,2.7979,3.0716,2.749745346734836
196,2.4707,2.7489,3.0414,2.6712111892113737
176,2.0895,2.1825,2.2733,2.092327405154482
156,2.0923,2.209,2.3361,2.0957515950951855
23,2.4434,2.6901,2.9442,2.600572485351755
160,2.4582,2.7112,2.9694,2.6280985044600222
90,2.4565,2.7317,3.0183,2.647008020659509
171,2.4068,2.6525,2.9095,2.5468689745941564
43,2.3561,2.5652,2.7829,2.451269912109108
41,2.4013,2.6166,2.8335,2.5173825422670264
124,2.3576,2.5714,2.7921,2.456490592723148
183,2.3265,2.5186,2.7146,2.4033215602134823
45,2.7175,3.0933,3.4898,3.267626483120887
