config,dipole_l,dipole_m,dipole_h,muL_SCEE
9,2.4344,2.7914,5.2575,2.3192167121498137
148,2.351,2.6712,6.3334,2.1822786700630603
113,2.3798,2.6826,3.0111,2.597512833850572
126,2.4938,8.7253,2.9283,5.538214927373421
180,2.4938,2.8308,3.185,2.86355211890778
171,3.0452,4.9655,2.5969,3.3608476452464
87,2.3775,2.6329,2.8989,2.542792404012059
186,2.1201,3.6485,6.0464,1.5769990479274378
199,2.4244,2.7334,3.0783,2.6834992864258087
178,2.4462,2.7402,3.3188,2.6681796502360235
61,2.4887,2.77,3.0643,2.7535384527173563
7,2.2503,2.5162,2.8159,2.348264327745205
142,2.2619,2.4691,2.677,2.3384686545840334
153,2.1167,2.3286,2.552,2.135172943465417
60,2.3195,2.5618,5.5003,2.1815768587299402
31,2.6377,6.4321,6.2779,1.2598054954083215
197,2.203,2.4015,2.6219,2.2502131465656174
42,2.5125,2.7956,3.0963,2.7959777665098486
158,2.4876,6.143,7.8155,1.7910216382802808
122,2.3978,2.6964,3.0249,2.622655815441029
124,4.2006,5.8424,6.5141,-1.7730434256709253
117,2.0724,2.2925,2.5326,2.073216864575875
195,2.666,3.0217,3.3899,3.252882417345199
4,2.3999,2.714,2.8001,2.5780928356274053
14,2.4741,2.819,3.1807,2.841864446902678
176,2.475,9.0209,2.142,4.218824702441067
10,2.4991,2.79,6.3364,2.260450553620052
38,2.3069,4.0142,6.676,2.0319735125224607
55,2.4915,3.6091,3.4402,3.9103488486688742
12,2.1804,2.4006,2.6614,2.2235568449747074
25,2.3383,4.2536,7.242,2.033039637334197
51,1.5274,1.5138,1.7165,1.6384142955721215
20,2.4982,2.8519,3.2522,2.9148906933770187
91,2.6671,3.038,1.3361,2.561524385553492
26,2.4483,2.7032,2.9748,2.6513157931231697
22,2.4364,2.7516,3.0809,2.716958915910999
75,2.4,2.6144,4.55,2.284249338380916
144,2.3909,6.6914,7.5424,1.7198780248967738
128,2.2817,2.5189,2.7912,2.378149051515493
5,2.6982,4.883,5.7192,1.2842499105014467
67,2.3561,2.647,2.963,2.5429562557526655
83,2.358,2.6787,9.969,2.1281110237805128
196,2.4272,2.7475,3.084,2.708311484974102
138,2.4304,2.7911,1.6808,2.4692648524097094
59,2.4792,2.7917,3.1272,2.789000366640507
156,2.1968,2.4328,2.7118,2.25186291219765
62,2.6097,2.9862,3.3808,3.2098901595470317
72,2.3884,2.6987,3.0389,2.621794302146567
27,2.0555,2.4242,2.6797,2.0773675797094415
141,2.293,2.5594,2.8431,2.418994794648934
13,2.3823,2.6926,3.0238,2.6124376214564573
41,2.4218,6.5326,9.527,1.9326788705167914
44,2.3921,2.6388,2.8989,2.5559070175814553
131,2.2536,2.5246,2.8204,2.358298859479035
139,2.2828,2.5651,8.3843,2.121435531507482
147,2.5937,4.6157,3.3116,4.205837928299923
132,2.2816,2.566,2.8816,2.4116398655534987
167,2.472,2.8123,3.21,2.830347218164219
82,2.1389,4.4934,8.6505,1.5633491292307389
155,2.4721,2.7894,3.1261,2.7847654891264635
123,2.4464,2.7667,3.1047,2.7431967862772155
125,2.4448,2.5263,6.8629,2.181368475684475
66,2.7902,6.4411,9.8605,1.8748643503610851
71,2.3241,2.6237,2.4525,2.4348558980881405
191,2.4522,2.7516,3.4458,2.6743077979641483
174,5.6232,5.4655,4.1267,3.915172098391595
39,2.1837,2.4306,3.0705,2.1987999043491473
88,2.4385,2.7686,3.1464,2.743589044863931
90,2.5067,2.8375,8.4715,2.191973025654214
107,2.3444,2.4537,4.6474,2.2061848245731324
63,2.354,2.6598,3.5256,2.440000770826811
47,2.3094,2.5787,6.0468,2.1641231836644885
