config,dipole_l,dipole_m,dipole_h,muL_SCEE
61,2.4503,2.7368,3.0301,2.698065004667817
7,2.217,2.4924,2.8043,2.3004916999248595
142,2.2312,2.4532,2.6873,2.300330816460607
153,2.0929,2.319,2.5569,2.1027386622540094
60,2.2859,2.538,7.3686,2.131166920847986
31,1.7023,5.096,2.4541,3.395741362237386
197,2.1536,2.3561,2.575,2.184358978101432
42,2.4683,2.7541,3.0525,2.7265469690450184
158,2.4585,4.0787,4.4817,0.5780732459808597
122,2.3597,2.6651,3.0028,2.564386706675798
124,3.5306,4.248,5.6807,-0.7027233773769741
117,2.0365,2.2664,2.5163,2.0217953820547168
195,2.6439,3.0137,3.3947,3.253387538957827
4,2.3624,2.6864,6.5206,2.1827311500871214
14,2.4521,2.8098,3.1832,2.824852343640294
176,2.4525,3.6503,7.7935,2.1109172170659747
10,2.4673,2.7635,4.046,2.5581723095626674
181,2.2005,2.5028,7.2192,2.1078819166981373
12,2.1327,2.3589,2.628,2.1576694438965087
25,2.2876,5.3244,5.6161,1.5500493382006026
51,1.4753,1.4773,1.8629,1.6499792400135382
20,2.4691,2.8308,3.2417,2.8722267979173735
26,2.4169,2.685,2.968,2.618198233739298
22,2.4062,2.7303,3.0668,2.676379143649838
75,2.3702,2.1374,8.6545,2.1235858034956085
144,2.3585,2.7807,9.6581,2.134768494895121
128,2.2389,2.4848,2.7672,2.319220044643896
5,2.6675,1.9823,3.3771,2.2704652355753754
67,2.3177,2.6157,2.942,2.4845489594526873
83,2.3295,2.656,7.7444,2.144441026313124
196,2.3889,2.7163,3.0591,2.6491449035153747
138,2.4034,2.7763,7.1055,2.1910144407470695
59,2.4353,2.7479,3.078,2.710551579791108
156,2.1684,2.4182,2.7133,2.214449751794666
62,2.5784,2.9617,3.361,3.161793056363377
72,2.3606,2.6829,3.0383,2.586967379712794
27,2.0201,2.2553,2.6508,2.007183696095484
141,2.2637,2.5396,2.8323,2.379229912204085
13,2.3485,2.6678,3.0075,2.563604927402056
41,2.4007,5.4078,6.1883,1.6356755003592318
44,2.3375,2.583,2.8366,2.472843218160388
