config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.7097,3.0925,3.4926,3.26999378413992,0,1,1
2,2.6096,2.9257,3.256,2.9433284897089176,0,1,1
3,2.6354,2.9723,3.3255,3.0255531831095883,0,1,1
4,2.5459,2.841,3.1522,2.8081061143745063,1,1,2
5,2.4179,2.6562,2.9019,2.5571518766477763,2,0,2
6,2.627,2.951,3.2834,2.985734044342668,1,1,2
7,2.6552,2.9473,3.2452,2.9745010853259326,0,1,1
8,2.3621,2.558,2.7559,2.452244997748517,0,0,0
9,2.4387,2.7013,2.9767,2.607717477495888,2,1,3
10,2.714,3.0497,3.3925,3.1554138564542566,1,1,2
11,2.3527,2.5363,2.7255,2.432308601923457,1,1,2
12,2.6172,2.9478,3.3,2.982774767489602,1,1,2
13,2.4183,2.6661,2.9218,2.565620095477724,1,0,1
14,2.3024,2.4878,2.6781,2.368672028812729,0,0,0
15,2.1962,2.3265,2.4572,2.2197025060651367,1,1,2
16,2.4173,2.6688,2.9346,2.566260513212061,0,1,1
17,2.4401,2.6773,2.9261,2.586705944764896,1,1,2
18,2.3378,2.5567,2.7871,2.432054111571674,1,1,2
19,2.45,2.7,2.9542,2.6135966190821915,0,1,1
20,2.6751,3.0,3.3251,3.0657629974902543,2,0,2
21,2.3385,2.5281,2.7227,2.417399198174848,0,0,0
22,2.5743,2.8748,3.1869,2.8610715899440096,2,1,3
23,2.6355,2.9542,3.2826,2.990200841016173,0,0,0
24,2.4274,2.6615,2.9021,2.5671147390730886,2,0,2
25,2.4364,2.7215,3.0193,2.626574221242727,0,0,0
26,2.3114,2.4965,2.6862,2.380157364495733,1,1,2
27,2.5209,2.8023,3.0961,2.751556964805706,1,1,2
28,2.6125,2.911,3.2174,2.9183593328813444,0,0,0
29,2.4704,2.6943,2.9288,2.617100298431027,0,1,1
30,2.682,3.0243,3.3773,3.116178832703502,2,0,2
31,2.3089,2.4924,2.6859,2.3753732384812745,1,1,2
32,2.5538,2.8487,3.1556,2.8205190567354914,1,1,2
33,2.5832,2.8945,3.2199,2.8921790882583296,0,1,1
34,2.6388,2.9492,3.2612,2.979909081023873,0,1,1
35,2.6436,2.9614,3.2924,3.002266404776561,1,1,2
36,2.4904,2.7368,2.9845,2.668235922125986,1,1,2
37,2.6138,2.9294,3.2473,2.9487243225777595,1,1,2
38,2.67,2.9925,3.3301,3.055437191381324,0,1,1
39,2.5395,2.8586,3.1967,2.8326344573348488,1,1,2
40,2.3581,2.583,2.8155,2.4641643926171803,0,1,1
41,2.7263,3.0896,3.4707,3.248756595394246,1,0,1
42,2.4132,2.6471,2.8886,2.5469508031689387,0,0,0
43,2.486,2.7393,3.0029,2.667774420980314,1,1,2
44,2.4157,2.6578,2.9083,2.557029801233308,1,1,2
45,2.5694,2.8653,3.1682,2.846679174285052,0,1,1
46,2.324,2.5393,2.7658,2.411357589610249,0,1,1
47,2.3732,2.5984,2.8375,2.484016366791267,0,1,1
48,2.6661,2.9924,3.3351,3.0567344603407234,1,1,2
49,2.529,2.8215,3.1273,2.7783274875778745,0,1,1
50,2.4373,2.6891,2.9576,2.5949404915032,2,1,3
51,2.2675,2.4356,2.6058,2.317490095474508,0,1,1
52,2.5702,2.8628,3.1624,2.8431103639092834,1,1,2
53,2.4116,2.6517,2.8985,2.549882582055112,1,0,1
54,2.5403,2.8129,3.0905,2.770543574262749,0,0,0
55,2.4613,2.7124,2.9754,2.6296591448804527,1,0,1
56,2.5627,2.8766,3.2082,2.862819414347766,2,0,2
57,2.5685,2.8627,3.1672,2.84262707807449,1,0,1
58,2.8586,3.2935,3.7421,3.761465765161713,0,1,1
59,2.5865,2.8914,3.2055,2.887332591704172,1,1,2
60,2.3669,2.5981,2.8436,2.479367343650791,0,1,1
61,2.4966,2.7564,3.0245,2.690426916108408,0,0,0
62,2.3084,2.5248,2.7503,2.391226430809024,1,0,1
63,2.5112,2.7781,3.0567,2.719508991773395,0,0,0
64,2.2523,2.4386,2.635,2.3038557245612963,1,0,1
65,2.4002,2.6218,2.8578,2.5183568063059094,0,1,1
66,2.5264,2.8012,3.0848,2.75205535070483,1,1,2
67,2.4965,2.7908,3.0991,2.729814192789312,0,1,1
68,2.2836,2.4477,2.6184,2.335457375845358,0,1,1
69,2.4688,2.735,3.0065,2.656864207986434,1,1,2
70,2.5782,2.8731,3.1762,2.858919550963029,0,1,1
71,2.3628,2.5615,2.7633,2.4546856182711405,1,1,2
72,2.524,2.8092,3.106,2.7612121070160844,0,0,0
73,2.4415,2.6769,2.9143,2.5886678302888715,1,0,1
74,2.224,2.3863,2.5542,2.2608870622525585,1,0,1
75,2.3507,2.5434,2.7344,2.4356672370478187,1,0,1
76,2.2584,2.4464,2.645,2.312272966094429,0,0,0
77,2.6471,2.9643,3.2933,3.006749423020734,1,1,2
78,2.635,2.9654,3.3068,3.0114252813593505,0,1,1
79,2.6434,2.9951,3.3683,3.0713531832532683,0,1,1
80,2.7531,3.1236,3.5111,3.317844174982549,0,1,1
81,2.2743,2.4619,2.6576,2.3329623999877307,2,1,3
82,2.6181,2.9119,3.2072,2.919455099389334,1,1,2
83,2.4097,2.6449,2.8869,2.543241112275278,0,0,0
84,2.4649,2.7227,2.9924,2.6415054101186617,0,1,1
85,2.501,2.7705,3.0498,2.7075906531602185,1,0,1
86,2.4384,2.6965,2.9686,2.6028213176411223,0,0,0
87,2.6406,2.9629,3.2937,3.005134092557055,0,1,1
88,2.3551,2.5866,2.8288,2.4638228379084777,0,0,0
89,2.4577,2.6902,2.9285,2.6080749740098272,0,0,0
