Time,Temperature,Pressure,Density,Epsilon,Number of Honds,Percentage of H-bonds,Nearest Neighbour,Dipole Moment,State,donors,acceptors,nHB,Clusters
5,700,1000,646.845,27.2796285714286,822.337,0.00812552468673,1.82741555555556,2.31690080328174,supercritical,0.25,0.22,0.47,0.257193826861736
5,700,2000,759.868,33.9246428571429,928.515,0.00724353670843,2.06336666666667,2.34871266894957,supercritical,0.29,0.305,0.595,0.288363677485016
5,700,5000,912.044,43.5290571428571,1070.655,0.0133802105221799,2.37923333333333,2.42554269028268,supercritical,0.295,0.3,0.595,0.250080558162994
5,800,1,1.32042,1.00109428571429,6.84,0.33119688674511,0.0152,1.85557083316178,vapor,0,0,0,0
5,800,2,1.58587,1.00365285714286,6.126,0.3335664899313,0.0136133333333333,1.85566428946903,vapor,0,0,0,0
5,800,5,2.37438,1.01544428571429,8.054,0.33740337878606,0.0178977777777778,1.85598281415813,vapor,0,0,0,0
5,800,10,3.63427,1.03673714285714,10.619,0.35859080377029,0.0235977777777778,1.85606659363729,vapor,0,0,0,0
5,800,20,6.18139,1.08539857142857,16.311,0.34156622796265,0.0362466666666667,1.85678100517876,vapor,0.005,0,0.005,0.137943718962663
5,800,50,14.5877,1.22216857142857,33.749,0.37697235490987,0.0749977777777778,1.86687498807706,vapor,0.005,0.005,0.01,0.133337284067676
5,800,100,29.7763,1.49163857142857,65.437,0.41482827796956,0.145415555555556,1.87717098071236,vapor,0.015,0.02,0.035,0.240689518162507
5,800,200,61.2631,2.12475714285714,121.523,0.0089116591373201,0.270051111111111,1.91921517751348,vapor,0.01,0.035,0.045,0.16663512256939
5,800,500,232.175,7.07822571428572,354.697,0.0072036662056098,0.788215555555556,2.07936804719134,supercritical,0.09,0.135,0.225,0.285454909401545
5,800,1000,487.406,17.6389714285714,600.07,0.0087432633235899,1.33348888888889,2.21749159036391,supercritical,0.145,0.165,0.31,0.232472878164214
5,800,2000,658.454,25.8236571428571,759.603,0.0048100060184801,1.68800666666667,2.28803918127893,supercritical,0.195,0.235,0.43,0.254738330417336
5,800,5000,847.344,36.1478714285714,942.741,0.01351941890681,2.09498,2.36951591165213,supercritical,0.24,0.27,0.51,0.243439078177357
5,900,1,1.35884,1.00080571428571,5.974,0.25168331821734,0.0132755555555556,1.85578395591865,vapor,0,0,0,0
5,900,2,1.53304,1.00288285714286,5.483,0.25006945950299,0.0121844444444444,1.85514148190186,vapor,0,0,0,0
5,900,5,2.11861,1.01192428571429,6.196,0.26593601216799,0.0137688888888889,1.85597281865529,vapor,0,0,0,0
5,900,10,3.30506,1.03259571428571,8.569,0.32593394735429,0.0190422222222222,1.85541196173921,vapor,0,0,0,0
5,900,20,5.68044,1.07431285714286,12.754,0.3447971740684,0.0283422222222222,1.85309817773399,vapor,0,0,0,0
5,900,50,12.839,1.20285857142857,23.986,0.0081609148633601,0.0533022222222222,1.85537228304988,vapor,0.005,0,0.005,0.0938047194196615
5,900,100,25.4257,1.41233428571429,44.361,0.0083890506275199,0.09858,1.87094496057863,vapor,0.015,0.005,0.02,0.202880908906472
5,900,200,50.1518,1.88788142857143,80.695,0.0067194875154199,0.179322222222222,1.89389433504779,vapor,0.03,0.025,0.055,0.306710452940083
5,900,500,155.427,4.45578571428572,217.234,0.00448560045971,0.482742222222222,1.98838747421373,supercritical,0.045,0.03,0.075,0.155362420247291
5,900,1000,351.307,11.4447142857143,416.862,0.0017112694895999,0.92636,2.11067605251633,supercritical,0.1,0.11,0.21,0.22669372598126
5,900,2000,560.929,20.4096428571429,609.617,0.01222088394189,1.35470444444444,2.211821466419,supercritical,0.14,0.175,0.315,0.232523043156606
5,900,5000,784.648,31.2050142857143,827.07,0.0334398901769899,1.83793333333333,2.31554310720491,supercritical,0.29,0.245,0.535,0.291087816025246
5,1000,1,1.31801,1.00060714285714,5.098,0.0700255555511997,0.0113288888888889,1.856,vapor,0,0,0,0
5,1000,2,1.54276,1.00212857142857,4.978,0.15173868353646,0.0110622222222222,1.85594207873733,vapor,0,0,0,0
5,1000,5,2.05621,1.01012428571429,5.88,0.19617689556447,0.0130666666666667,1.85499743708376,vapor,0,0,0,0
5,1000,10,3.07048,1.02711714285714,6.972,0.21220581082461,0.0154933333333333,1.85539671127369,vapor,0,0,0,0
5,1000,20,5.11271,1.06310714285714,9.856,0.26085141123739,0.0219022222222222,1.85344003943989,vapor,0,0,0,0
5,1000,50,11.5469,1.17232857142857,18.339,0.00807083316178,0.0407533333333333,1.85912184115946,vapor,0.005,0.01,0.015,0.368068051693113
5,1000,100,21.6633,1.36494142857143,30.856,0.0079642894690301,0.0685688888888889,1.86401376861254,vapor,0.005,0,0.005,0.0729193673839772
5,1000,200,45.873,1.79932857142857,63.465,0.00748281415813,0.141033333333333,1.87622997429231,vapor,0.01,0.01,0.02,0.141810446702907
5,1000,500,117.434,3.52205,142.561,0.0062665936372898,0.316802222222222,1.94088990637574,supercritical,0.035,0.005,0.04,0.12626174058824
5,1000,1000,267.825,7.89454571428571,299.98,0.00438100517876,0.666622222222222,2.02439739149293,supercritical,0.05,0.13,0.18,0.27001800120008
5,1000,2000,476.329,15.8518,487.092,0.0048866465568,1.08242666666667,2.14140516794668,supercritical,0.11,0.14,0.25,0.230962528639353
5,1000,5000,725.829,27.5019285714286,725.533,0.0119760580978399,1.61229555555556,2.2678420731499,supercritical,0.195,0.195,0.39,0.241891133828509
