config,dipole_l,dipole_m,dipole_h,muL
178,2.3692,2.574,2.7822,2.466900650846733
188,2.4251,2.6725,2.9269,2.5751422047146932
26,2.3174,2.5291,2.7592,2.3993602229552806
30,2.5069,2.76,3.024,2.6977161153196048
169,2.66,3.0159,3.3887,3.109347397355246
158,2.3989,2.6256,2.857,2.5220272825951118
22,2.641,2.9859,3.3503,3.0521760365120416
15,2.6779,3.0164,3.3728,3.10277938269067
37,2.4661,2.7127,2.9596,2.633975199082901
47,2.5661,2.8618,3.1629,2.8413033981692637
7,2.6159,2.9231,3.2442,2.9383370525032286
163,2.5507,2.8316,3.12,2.796790424064965
173,2.3863,2.6033,2.8289,2.4971139047010085
46,2.4846,2.7746,3.0766,2.7063300689081804
148,2.4313,2.642,2.8525,2.554521735210696
57,2.289,2.4598,2.6339,2.345409051604998
65,2.5461,2.8433,3.1518,2.8117306965132354
44,2.268,2.4319,2.5984,2.3164848990872207
12,2.5995,2.9155,3.2474,2.9266216832155663
121,2.4041,2.6232,2.8541,2.5222621972375223
197,2.3153,2.529,2.7509,2.3992479721939373
40,2.4626,2.7121,2.9691,2.630664764261738
60,2.4556,2.7147,2.9864,2.6291167020625656
111,2.2738,2.4533,2.6424,2.3288455937977295
155,2.4528,2.7124,2.9843,2.625564311189751
189,2.3935,2.612,2.8385,2.5080504010228366
154,2.1517,2.2903,2.4347,2.167730632118396
139,2.6404,2.9547,3.2842,2.9907764110236483
174,2.3602,2.5751,2.7989,2.460357059598485
106,2.4627,2.6933,2.9309,2.6131138861659804
25,2.7275,3.0991,3.4858,3.271596853322067
141,2.22,2.3664,2.5141,2.252046745508025
191,2.4946,2.7704,3.0578,2.70501245161317
76,2.614,2.942,3.2852,2.9719382610759495
4,2.5406,2.8126,3.0978,2.769429231962453
198,2.2451,2.406,2.5724,2.286632593263439
107,2.366,2.5804,2.8043,2.4677618685041924
115,2.2566,2.4294,2.6088,2.304920540394017
187,2.2453,2.4094,2.5787,2.2879589995804586
100,2.6448,2.9544,3.2811,2.9896235111126357
42,2.3986,2.6072,2.8168,2.5090353327599324
144,2.5171,2.7806,3.0454,2.7255468590403025
85,2.4822,2.7317,2.9826,2.6596854784868986
195,2.1076,2.2127,2.3195,2.112995772943295
58,2.361,2.5403,2.7171,2.441198485694623
