config,dipole_l,dipole_m,dipole_h,muL
178,2.4928,2.7173,2.9417,2.649981221187341
188,1.978,2.0417,2.1087,1.970560882688153
26,2.2509,2.441,2.6435,2.3031312774306434
30,2.4029,2.6221,2.8434,2.5223395176109666
169,2.1928,2.3338,2.48,2.2175110125065585
158,2.5996,2.9059,3.2195,2.910497482018973
22,2.7556,3.1287,3.5101,3.3235850495957013
15,2.3853,2.6096,2.8471,2.500117998349896
37,2.4818,2.7382,2.9988,2.665815568115362
47,2.4244,2.6528,2.8865,2.5584398622936972
7,2.2018,2.3558,2.5187,2.231020672138665
163,2.2708,2.4372,2.6056,2.3209955277657977
173,2.3523,2.5558,2.7625,2.4437055753710673
46,2.3195,2.4982,2.6784,2.3878918804947054
148,2.2423,2.4069,2.5751,2.284576799037732
57,2.3603,2.5742,2.7964,2.459957489632866
65,2.4434,2.7245,3.0286,2.6314195481949207
44,2.1736,2.3256,2.4999,2.1951078650753684
12,2.3807,2.5674,2.753,2.4709923813804178
121,2.4099,2.6321,2.8567,2.5340974748370355
197,2.2914,2.4954,2.7085,2.3623442833749513
40,2.1847,2.3302,2.4817,2.208610475678205
60,2.2606,2.4405,2.6271,2.312572656272167
111,2.5624,2.8342,3.1158,2.8021721889986106
155,2.2184,2.3652,2.5124,2.2503028138893706
189,2.5643,2.8651,3.1741,2.8458253155275504
154,2.3306,2.5431,2.768,2.4184764363836506
139,2.4459,2.7006,2.9602,2.612013919077974
174,2.1045,2.2118,2.3222,2.1095322937624252
106,2.3099,2.5134,2.7245,2.3868258264437845
25,2.7755,3.1509,3.5419,3.3733386623399686
141,2.4719,2.7357,3.0089,2.6583017611203874
191,2.3285,2.5403,2.7578,2.41635761793788
76,2.4714,2.7225,2.9856,2.6441948119448178
4,2.6225,2.932,3.2463,2.9524304776328476
198,2.221,2.3888,2.5656,2.2583448681370832
107,2.2662,2.446,2.6319,2.319754091127846
115,2.2604,2.4512,2.6554,2.3155450635004233
187,2.3262,2.5304,2.7404,2.409076983967789
100,2.3408,2.5744,2.8302,2.44332494010452
42,2.317,2.5185,2.7242,2.395722267849466
144,2.5145,2.7867,3.065,2.731360197659571
85,2.357,2.5752,2.8082,2.457127909416642
195,2.4045,2.6428,2.8914,2.537818479750044
58,2.32,2.4992,2.6808,2.388638686289543
200,2.5181,2.8022,3.0979,2.7507600436581225
88,2.4927,2.7677,3.0532,2.701378453080542
116,2.3347,2.5325,2.7349,2.4169886472967805
184,2.412,2.6545,2.9159,2.550313311807547
165,2.5994,2.8966,3.1997,2.895680680809459
159,2.3909,2.5969,2.806,2.4966014968106807
175,2.489,2.7603,3.046,2.691086982681432
110,2.7458,3.1133,3.5031,3.299337974542708
117,2.0331,2.1131,2.1967,2.029240540316431
69,2.439,2.6703,2.9067,2.5811251645803606
152,2.4171,2.6519,2.8946,2.5530729954830695
92,2.341,2.5434,2.7599,2.42633052475327
33,2.2826,2.4628,2.6488,2.3408750206089652
72,2.6498,2.9736,3.3043,3.0229876892200105
91,2.508,2.7787,3.0567,2.7197360010357867
133,2.3445,2.5668,2.7967,2.4438916513497273
96,2.4594,2.7126,2.9733,2.629660627799516
164,2.5338,2.8393,3.1578,2.8038155992237503
135,2.73,3.0905,3.4594,3.243143196093653
112,2.379,2.5951,2.8192,2.486708278016364
49,2.1881,2.3264,2.4661,2.211629392826868
77,2.4365,2.6977,2.9754,2.6025386330715663
64,2.463,2.7088,2.9575,2.628385237911433
146,2.2859,2.4725,2.666,2.3476674362679892
104,2.3161,2.5126,2.7161,2.3915319035359115
134,2.3345,2.5441,2.7615,2.422811153690065
27,2.2485,2.397,2.5457,2.2874489188252567
73,2.6548,2.9939,3.3456,3.0627991294485843
28,2.3722,2.5696,2.7669,2.466731865230617
78,2.4641,2.711,2.965,2.6303560744246326
105,2.4789,2.7331,3.0031,2.657609321606358
29,2.402,2.6314,2.8647,2.528492387303485
101,2.3297,2.53,2.7335,2.4120014243669043
102,2.5684,2.871,3.1893,2.8547106289489403
