config,dipole_l,dipole_m,dipole_h,muL,donors,acceptors,nHB
1,2.4907,2.7528,3.0211,2.684588364992204,0,1,1
2,2.7058,3.0508,3.4095,3.1647704237484326,1,0,1
3,2.4932,2.7607,3.0358,2.694034095205162,0,0,0
4,2.3489,2.5553,2.7663,2.440689569482971,0,0,0
5,2.5548,2.8438,3.1429,2.8139168153850966,1,1,2
6,2.488,2.7409,3.004,2.6702625141081464,0,0,0
7,2.2486,2.4169,2.592,2.293279874843948,0,0,0
8,2.673,3.0276,3.3966,3.1289889783471767,0,1,1
9,2.4632,2.7323,3.015,2.6503099116294835,2,0,2
10,2.3067,2.4937,2.6892,2.3744250131438407,1,1,2
11,2.4285,2.6783,2.9372,2.581760935938818,1,0,1
12,2.3061,2.5031,2.709,2.3783909871063966,1,1,2
13,2.3359,2.5371,2.7483,2.419583516933352,1,0,1
14,2.4728,2.7241,2.9842,2.646900414700133,0,1,1
15,2.6247,2.9882,3.3699,3.062463337906996,0,1,1
16,2.3612,2.5674,2.776,2.4573083122827564,0,0,0
17,2.5302,2.8042,3.0889,2.756572059169603,1,1,2
18,2.2095,2.3511,2.4925,2.238259120904838,0,1,1
19,2.4075,2.6408,2.8793,2.5389370462316454,1,1,2
20,2.7116,3.0808,3.4708,3.23859169830838,0,1,1
21,2.4866,2.761,3.053,2.69052083199582,2,1,3
22,2.3334,2.5575,2.7974,2.428418317149557,1,0,1
23,2.7966,3.1932,3.6073,3.484664433164413,0,0,0
24,2.285,2.4638,2.6461,2.343672362456412,1,1,2
25,2.3571,2.5807,2.8173,2.4610263205539726,1,1,2
26,2.4328,2.6697,2.9161,2.576544367500287,0,0,0
27,2.8213,3.2467,3.6933,3.652829582728822,2,1,3
28,2.5825,2.8916,3.2169,2.8874936315954414,0,1,1
29,2.659,2.9796,3.3072,3.0320880438931384,1,1,2
30,2.4989,2.7685,3.0491,2.7044166055302115,0,1,1
31,2.6581,2.9974,3.3497,3.068992643037257,1,1,2
32,2.3914,2.663,2.9464,2.5460485078578468,0,0,0
33,2.4698,2.7272,2.9945,2.6485492219677327,2,1,3
34,2.4048,2.6557,2.9221,2.547560003962316,0,0,0
35,2.6449,3.0051,3.3835,3.092039935413561,0,1,1
36,2.4251,2.6716,2.9284,2.5737991192042364,1,0,1
37,2.6931,3.03,3.3779,3.123604006317501,1,1,2
38,2.2943,2.4877,2.6854,2.3619633326770937,0,1,1
39,2.5802,2.8892,3.2141,2.8836123981279744,0,0,0
40,2.516,2.7705,3.0274,2.713529400048486,0,1,1
41,2.3886,2.5974,2.8162,2.494301393489814,1,1,2
42,2.6052,2.9379,3.2849,2.96560410712414,2,1,3
43,2.4813,2.7372,2.9976,2.664525362369606,0,0,0
44,2.668,2.9887,3.318,3.047385654154915,0,1,1
45,2.392,2.6187,2.8564,2.511443215523021,2,0,2
46,2.4943,2.779,3.081,2.71425711275234,0,0,0
47,2.8568,3.2574,3.6687,3.610598071752327,0,0,0
48,2.4485,2.7083,2.9802,2.619504522736776,1,0,1
49,2.1703,2.3108,2.4577,2.1902861576315007,1,1,2
50,2.2848,2.4497,2.6149,2.338132024958631,1,1,2
51,2.4956,2.7654,3.0437,2.7000639163058016,1,0,1
52,2.3884,2.6143,2.8489,2.506297835721758,2,1,3
53,2.4224,2.6732,2.934,2.5737288285994406,1,0,1
54,2.4483,2.6934,2.9456,2.606135658755223,0,1,1
55,2.56,2.8426,3.1329,2.813247028885725,0,1,1
56,2.4739,2.7116,2.9588,2.6350170152230743,0,0,0
57,2.6122,2.9146,3.2331,2.9244390044791557,1,0,1
58,2.643,2.9898,3.3538,3.059231974433012,1,0,1
59,2.2307,2.3805,2.529,2.266234355237989,1,1,2
60,2.2361,2.3943,2.5522,2.275306775923416,0,0,0
